image_id,n_ground_truth,n_predicted,nutrient_matches,qty_acc_pct,unit_acc_pct,ctx_acc_pct,f1_3field_pct,f1_4field_pct,tp,fp,fn,precision,recall,f1
101.png,11,10,10,100,100,100,100,100,10,0,1,1.0,0.9091,1.0
104.jpeg,18,11,11,100,100,100,100,100,11,0,7,1.0,0.6111,1.0
106.png,2,2,2,100,100,100,100,100,2,0,0,1.0,1.0,1.0
110.jpeg,6,3,3,100,100,100,100,100,3,0,3,1.0,0.5,1.0
111.jpeg,1,1,1,100,100,100,100,100,1,0,0,1.0,1.0,1.0
12.png,16,12,12,100,100,100,100,100,12,0,4,1.0,0.75,1.0
17.png,4,4,3,100,100,100,100,100,3,1,1,0.75,0.75,1.0
27.png,13,12,12,100,100,100,100,100,12,0,1,1.0,0.9231,1.0
35.jpeg,4,2,2,100,100,100,100,100,2,0,2,1.0,0.5,1.0
6.png,6,6,6,100,100,100,100,100,6,0,0,1.0,1.0,1.0
