image_id,nutrient,quantity,unit,context
1.png,Magnesium,400,mg,per_daily_dose
1.png,Magnesiumsalze der Citronensäure,420,mg,per_daily_dose
1.png,Magnesiumoxid,400,mg,per_daily_dose
1.png,Magnesiumbisglycinat,333,mg,per_daily_dose
1.png,Magnesiummalat,350,mg,per_daily_dose
2.png,Energy,1195,281,per_100g
2.png,Fat,0,g,per_100g
2.png,Saturated Fats,0,g,per_100g
2.png,Carbohydrate,70,g,per_100g
2.png,Sugars,33,g,per_100g
2.png,Protein,0,g,per_100g
2.png,Salt,0.43,g,per_100g
2.png,Energy,837,197,per_daily_dose
4.png,Energy,9542,kcal,per_100g
4.png,Fat,0.0,g,per_100g
4.png,Saturated Fats,5.6,g,per_100g
4.png,Carbohydrate,6.9,g,of which sugars
4.png,Protein,0.14,g,per_100g
4.png,Salt,0.12,g,per_100g
6.png,Vitamin C,28,mg,per_serving
6.png,Magnesium,56,mg,per_serving
6.png,Potassium,70,mg,per_serving
6.png,Calcium,9,mg,per_serving
6.png,Sodium,200,mg,per_serving
6.png,Green Tea,1,mg,per_serving
8.png,Energy,892,kJ/kcal,per_serving
8.png,Protein,2.2,g,per_serving
8.png,Fat,4.8,g,per_serving
8.png,Saturated Fats,3.4,g,per_serving
8.png,Carbohydrate,41,g,per_serving
8.png,Sugars,21,g,per_serving
8.png,Fibre,1.9,g,per_serving
8.png,Sodium,42,mg,per_serving
8.png,Energy,213,kJ/kcal,per_100g
8.png,Protein,3.7,g,per_100g
8.png,Fat,7.9,g,per_100g
8.png,Saturated Fats,5.7,g,per_100g
8.png,Carbohydrate,69,g,per_100g
8.png,Sugars,35,g,per_100g
8.png,Fibre,3.2,g,per_100g
8.png,Sodium,72,mg,per_100g
9.jpeg,Zinc,5,mg,per_serving
9.jpeg,Vitamin C,30,mg,per_serving
9.jpeg,Zinc,10,mg,per_serving
12.png,Energy,547,kJ,per_100ml
12.png,Energy,328,kJ,per_serving
12.png,Fat,0.0,g,per_100ml
12.png,Fat,0.0,g,per_serving
12.png,Carbohydrate,32,g,per_100ml
12.png,Carbohydrate,19,g,per_serving
