tag,image_id,gt_nutrient,gt_quantity,gt_unit,gt_context,pred_nutrient,pred_quantity,pred_unit,pred_context,reason
missing,1.png,Magnesiumsalze der Citronensäure,420,mg,per_daily_dose,,,,,nutrient not found in predictions
incorrect,101.png,Energy,383,kcal,per_100g,Energy,383,kj,per_100g,unit: got kj expected kcal
incorrect,101.png,Vitamin B1,0.44,mg,per_100g,Vitamin B1,,,per_100g,qty: got None expected 0.44 | unit: got None expected mg
incorrect,102.png,Sugars,3.9,g,per_serving (1 Riegel* (12.5 g)),Sugars,3.9,g,per_100g,context: got per_100g expected per_serving (1 Riegel* (12.5 g))
incorrect,102.png,Fibre,0.6,g,per_serving (1 Riegel* (12.5 g)),Fibre,0.6,g,per_100g,context: got per_100g expected per_serving (1 Riegel* (12.5 g))
incorrect,102.png,Energy,356,kcal,per_100g,Energy,356,kj,per_100g,unit: got kj expected kcal
incorrect,102.png,Carbohydrate,7.9,g,per_serving (1 Riegel* (12.5 g)),Carbohydrate,31,g,per_100g,qty: got 31 expected 7.9 | context: got per_100g expected per_serving (1 Riegel* (12.5 g))
incorrect,102.png,Protein,0.7,g,per_serving (1 Riegel* (12.5 g)),Protein,0.14,g,per_100g,qty: got 0.14 expected 0.7 | context: got per_100g expected per_serving (1 Riegel* (12.5 g))
incorrect,102.png,Energy,188,kJ,per_serving (1 Riegel* (12.5 g)),Energy,7.7,g,per_100g,qty: got 7.7 expected 188 | unit: got g expected kJ | context: got per_100g expected per_serving (1 Riegel* (12.5 g))
missing,102.png,Saturated Fats,1.1,g,per_100g,,,,,nutrient not found in predictions
missing,102.png,Energy,45,kcal,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
missing,102.png,Fat,1.0,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
missing,102.png,Saturated Fats,0.1,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
missing,102.png,Salt,0.02,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
incorrect,103.jpeg,Fat,0.4,g,per_serving (pro Port. (12g)),Fat,0.4,g,per_100g,context: got per_100g expected per_serving (pro Port. (12g))
