image_id,n_ground_truth,n_predicted,nutrient_matches,qty_acc_pct,unit_acc_pct,ctx_acc_pct,f1_3field_pct,f1_4field_pct,tp,fp,fn,precision,recall,f1
1.png,5,7,4,100,100,100,100,100,4,3,1,0.5714,0.8,1.0
109.jpeg,9,12,9,100,100,100,100,100,9,3,0,0.75,1.0,1.0
110.jpeg,6,4,4,100,100,100,100,100,4,0,2,1.0,0.6667,1.0
116.jpeg,18,12,12,100,100,100,100,100,12,0,6,1.0,0.6667,1.0
15.png,42,9,9,100,100,100,100,100,9,0,33,1.0,0.2143,1.0
6.png,6,6,6,100,100,100,100,100,6,0,0,1.0,1.0,1.0
61.png,22,24,19,100,100,100,100,100,19,5,3,0.7917,0.8636,1.0
34.png,40,62,39,95,100,97,95,92,36,26,4,0.5806,0.9,0.92
101.png,11,12,11,91,91,100,91,91,10,2,1,0.8333,0.9091,0.91
115.png,9,16,8,88,88,100,88,88,7,9,2,0.4375,0.7778,0.88
