image_id,n_ground_truth,n_predicted,nutrient_matches,qty_acc_pct,unit_acc_pct,ctx_acc_pct,f1_3field_pct,f1_4field_pct,tp,fp,fn,precision,recall,f1
106.png,2,7,2,100,50,0,50,0,0,7,2,0.0,0.0,0.0
111.jpeg,1,2,1,100,0,0,0,0,0,2,1,0.0,0.0,0.0
112.jpeg,1,2,1,100,0,0,0,0,0,2,1,0.0,0.0,0.0
118.jpeg,20,12,11,9,100,27,0,0,0,12,20,0.0,0.0,0.0
119.jpeg,20,12,10,0,100,20,0,0,0,12,20,0.0,0.0,0.0
51.png,18,17,11,73,82,55,0,0,0,17,18,0.0,0.0,0.0
53.png,18,16,13,100,85,54,0,0,0,16,18,0.0,0.0,0.0
67.jpeg,4,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0
68.jpeg,34,11,2,0,100,50,0,0,0,11,34,0.0,0.0,0.0
78.jpeg,2,9,2,0,0,50,0,0,0,9,2,0.0,0.0,0.0
