image_id,n_ground_truth,n_predicted,tp,fp,fn,precision,recall,f1,fast_rule_decision,likely_failure_source,descriptive_summary
1.png,5,7,4,3,1,0.5714,0.8,1.0,n/a,none,"Image: 1.png. GT=5, predicted=7, TP=4, FP=3, FN=1. Precision=0.57, recall=0.80, F1=1.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Magnesium (gesamt 400 mg [per_daily_dose]; Magnesiumoxid 400 mg [per_daily_dose]; Magnesiumbisglycinat 350 mg [per_daily_dose]  (+1 more)"
2.png,16,14,4,10,12,0.2857,0.25,0.31,n/a,none,"Image: 2.png. GT=16, predicted=14, TP=4, FP=10, FN=12. Precision=0.29, recall=0.25, F1=0.31. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Carbohydrate 70 g [per_100g]; Sugars 33 g [per_100g]; Protein 0 g [per_100g]  (+10 more)"
4.png,8,31,5,26,3,0.1613,0.625,0.71,n/a,none,"Image: 4.png. GT=8, predicted=31, TP=5, FP=26, FN=3. Precision=0.16, recall=0.62, F1=0.71. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Fat 0 g [per_100g]; Saturated Fats 0 g [per_100g]; Carbohydrate 56 g [per_100g]  (+4 more)"
6.png,6,6,6,0,0,1.0,1.0,1.0,n/a,none,"Image: 6.png. GT=6, predicted=6, TP=6, FP=0, FN=0. Precision=1.00, recall=1.00, F1=1.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Vitamin C 28 mg [per_serving]; Magnesium 56 mg [per_serving]; Potassium 70 mg [per_serving]  (+3 more)"
8.png,18,12,1,11,17,0.0833,0.0556,0.09,n/a,none,"Image: 8.png. GT=18, predicted=12, TP=1, FP=11, FN=17. Precision=0.08, recall=0.06, F1=0.09. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Protein 2.2 g [per_serving]; Protein 3.7  [per_100g]; Saturated Fats 7.9 g [per_100g]  (+8 more)"
9.jpeg,4,15,0,15,4,0.0,0.0,0.0,n/a,none,"Image: 9.jpeg. GT=4, predicted=15, TP=0, FP=15, FN=4. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Zinc 5 mg [per_daily_dose]; Vitamin C 30 mg [per_daily_dose]; Vitamin C 60 mg [per_serving]  (+1 more)"
12.png,16,17,8,9,8,0.4706,0.5,0.73,n/a,none,"Image: 12.png. GT=16, predicted=17, TP=8, FP=9, FN=8. Precision=0.47, recall=0.50, F1=0.73. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Energy 547 kj [per_100ml]; Energy 129 kcal [per_100ml]; Carbohydrate 32 g [per_100ml]  (+8 more)"
15.png,42,9,9,0,33,1.0,0.2143,1.0,n/a,none,"Image: 15.png. GT=42, predicted=9, TP=9, FP=0, FN=33. Precision=1.00, recall=0.21, F1=1.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Chloride 4762 mg [per_100g]; Magnesium 670 mg [per_100g]; Calcium 1428 mg [per_100g]  (+6 more)"
17.png,4,7,3,4,1,0.4286,0.75,0.75,n/a,none,"Image: 17.png. GT=4, predicted=7, TP=3, FP=4, FN=1. Precision=0.43, recall=0.75, F1=0.75. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Caffeine 100 mg [per_serving]; Niacin 2.4 mg ne [per_serving]; Vitamin B6 0.22 mg [per_serving]  (+1 more)"
20.png,48,69,8,61,40,0.1159,0.1667,0.21,n/a,none,"Image: 20.png. GT=48, predicted=69, TP=8, FP=61, FN=40. Precision=0.12, recall=0.17, F1=0.21. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Carbohydrate 78.1 g [per_100g]; Sodium 667 mg [per_100g]; Calcium 800 mg [per_100g]  (+36 more)"
