image_id,match_status,predicted_nutrient,predicted_quantity,predicted_unit,predicted_context,gt_nutrient,gt_quantity,gt_unit,gt_context
1.png,TP,Magnesium (gesamt,400,mg,per_daily_dose,Magnesium (gesamt),,mg,per_daily_dose
1.png,TP,Magnesiumoxid,400,mg,per_daily_dose,Magnesiumoxid,,mg,per_daily_dose
1.png,TP,Magnesiumbisglycinat,350,mg,per_daily_dose,Magnesiumbisglycinat,,mg,per_daily_dose
1.png,TP,Magnesiummalat,333,mg,per_daily_dose,Magnesiummalat,,mg,per_daily_dose
101.png,TP,Energy,1625,kj,per_100g,Energy,,kJ,per_100g
101.png,TP,Energy,383,kcal,per_100g,Energy,,kcal,per_100g
101.png,TP,Fat,0.8,g,per_100g,Fat,,g,per_100g
101.png,TP,Saturated Fats,<0.1,g,per_100g,Saturated Fats,,g,per_100g
101.png,TP,Carbohydrate,86.1,g,per_100g,Carbohydrate,,g,per_100g
101.png,TP,Sugars,8.9,g,per_100g,Sugars,,g,per_100g
101.png,TP,Fibre,3.0,g,per_100g,Fibre,,g,per_100g
101.png,TP,Protein,6.3,g,per_100g,Protein,,g,per_100g
101.png,TP,Salt,0.09,g,per_100g,Salt,,g,per_100g
101.png,TP,Sodium,36,mg,per_100g,Sodium,,mg,per_100g
101.png,TP,Vitamin B1,6.3,g,per_100g,Vitamin B1,,mg,per_100g
102.png,TP,Energy,1502,kj,per_100g,Energy,,kJ,per_100g
102.png,TP,Energy,356,kcal,per_100g,Energy,,kcal,per_100g
102.png,TP,Fat,7.7,g,per_100g,Fat,,g,per_100g
102.png,TP,Carbohydrate,63,g,per_100g,Carbohydrate,,g,per_100g
102.png,TP,Sugars,31,g,per_100g,Sugars,,g,per_100g
102.png,TP,Fibre,5.1,g,per_100g,Fibre,,g,per_100g
102.png,TP,Protein,5.9,g,per_100g,Protein,,g,per_100g
102.png,TP,Salt,0.14,g,per_100g,Salt,,g,per_100g
102.png,TP,Sugars,3.9,g,per_daily_dose,Sugars,,g,per_serving (1 Riegel* (12.5 g))
102.png,TP,Fibre,0.6,g,per_daily_dose,Fibre,,g,per_serving (1 Riegel* (12.5 g))
102.png,TP,Carbohydrate,31,g,per_100g,Carbohydrate,,g,per_serving (1 Riegel* (12.5 g))
