image_id,n_ground_truth,n_predicted,nutrient_matches,qty_acc_pct,unit_acc_pct,ctx_acc_pct,f1_3field_pct,f1_4field_pct,tp,fp,fn,precision,recall,f1
104.jpeg,18,12,12,100,100,100,100,100,12,0,6,1.0,0.6667,1.0
111.jpeg,1,1,1,100,100,100,100,100,1,0,0,1.0,1.0,1.0
112.jpeg,1,1,1,100,100,100,100,100,1,0,0,1.0,1.0,1.0
12.png,16,12,12,100,100,100,100,100,12,0,4,1.0,0.75,1.0
17.png,4,4,3,100,100,100,100,100,3,1,1,0.75,0.75,1.0
27.png,13,12,12,100,100,100,100,100,12,0,1,1.0,0.9231,1.0
45_2.png,8,7,7,100,100,100,100,100,7,0,1,1.0,0.875,1.0
53.png,18,8,8,100,100,100,100,100,8,0,10,1.0,0.4444,1.0
6.png,6,6,6,100,100,100,100,100,6,0,0,1.0,1.0,1.0
67.jpeg,4,1,1,100,100,100,100,100,1,0,3,1.0,0.25,1.0
