image_id,n_ground_truth,n_predicted,tp,fp,fn,precision,recall,f1,fast_rule_decision,likely_failure_source,descriptive_summary
2.png,16,8,6,2,10,0.75,0.375,0.75,n/a,none,"Image: 2.png. GT=16, predicted=8, TP=6, FP=2, FN=10. Precision=0.75, recall=0.38, F1=0.75. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Fat 0 g [per_100g]; Saturated Fats 0 g [per_100g]; Carbohydrate 70 g [per_100g]  (+5 more)"
6.png,6,6,6,0,0,1.0,1.0,1.0,n/a,none,"Image: 6.png. GT=6, predicted=6, TP=6, FP=0, FN=0. Precision=1.00, recall=1.00, F1=1.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Vitamin C 28 mg [per_serving]; Magnesium 56 mg [per_serving]; Potassium 70 mg [per_serving]  (+3 more)"
9.jpeg,4,4,4,0,0,1.0,1.0,1.0,n/a,none,"Image: 9.jpeg. GT=4, predicted=4, TP=4, FP=0, FN=0. Precision=1.00, recall=1.00, F1=1.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Zinc 5 mg [per_serving]; Vitamin C 30 mg [per_serving]; Zinc 10 mg [per_daily_dose]  (+1 more)"
12.png,16,12,12,0,4,1.0,0.75,1.0,n/a,none,"Image: 12.png. GT=16, predicted=12, TP=12, FP=0, FN=4. Precision=1.00, recall=0.75, F1=1.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Energy 547 kJ [per_100ml]; Fat 0.0 g [per_100ml]; Carbohydrate 32 g [per_100ml]  (+9 more)"
17.png,4,4,3,1,1,0.75,0.75,1.0,n/a,none,"Image: 17.png. GT=4, predicted=4, TP=3, FP=1, FN=1. Precision=0.75, recall=0.75, F1=1.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Caffeine 100 mg [per_serving]; Vitamin B6 0.22 mg [per_serving]; Vitamin B12 0.38 µg [per_serving]"
26.png,8,6,5,1,3,0.8333,0.625,0.83,n/a,none,"Image: 26.png. GT=8, predicted=6, TP=5, FP=1, FN=3. Precision=0.83, recall=0.62, F1=0.83. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Energy 942 kJ [per_100g]; Fat 0 g [per_100g]; Saturated Fats 0 g [per_100g]  (+3 more)"
27.png,13,12,12,0,1,1.0,0.9231,1.0,n/a,none,"Image: 27.png. GT=13, predicted=12, TP=12, FP=0, FN=1. Precision=1.00, recall=0.92, F1=1.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Energy 1254 kJ [per_100g]; Protein <0.1 g [per_100g]; Carbohydrate 49 g [per_100g]  (+9 more)"
33.png,26,30,21,9,5,0.7,0.8077,0.91,n/a,none,"Image: 33.png. GT=26, predicted=30, TP=21, FP=9, FN=5. Precision=0.70, recall=0.81, F1=0.91. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Fat 0 g [per_100g]; Saturated Fats 0 g [per_100g]; Carbohydrate 97 g [per_100g]  (+20 more)"
34.png,40,25,18,7,22,0.72,0.45,0.9,n/a,none,"Image: 34.png. GT=40, predicted=25, TP=18, FP=7, FN=22. Precision=0.72, recall=0.45, F1=0.90. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Fat 0 g [per_100g]; Carbohydrate 80 g [per_100g]; Sugars 77 g [per_100g]  (+17 more)"
41.png,8,7,6,1,2,0.8571,0.75,0.86,n/a,none,"Image: 41.png. GT=8, predicted=7, TP=6, FP=1, FN=2. Precision=0.86, recall=0.75, F1=0.86. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Fat 0 g [per_100g]; Saturated Fats 0 g [per_100g]; Carbohydrate 36 g [per_100g]  (+4 more)"
42.png,18,14,11,3,7,0.7857,0.6111,0.79,n/a,none,"Image: 42.png. GT=18, predicted=14, TP=11, FP=3, FN=7. Precision=0.79, recall=0.61, F1=0.79. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Fat 0 g [per_serving]; Saturated Fats 0 g [per_serving]; Carbohydrate 44 g [per_serving]  (+11 more)"
51.png,18,12,8,4,10,0.6667,0.4444,0.8,n/a,none,"Image: 51.png. GT=18, predicted=12, TP=8, FP=4, FN=10. Precision=0.67, recall=0.44, F1=0.80. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Fat <0.5 g [per_100g]; Carbohydrate 84 g [per_100g]; Protein 6.7 g [per_100g]  (+7 more)"
53.png,18,8,8,0,10,1.0,0.4444,1.0,n/a,none,"Image: 53.png. GT=18, predicted=8, TP=8, FP=0, FN=10. Precision=1.00, recall=0.44, F1=1.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Energy 1541 kJ [per_100g]; Fat <0.5 g [per_100g]; Saturated Fats <0.5 g [per_100g]  (+5 more)"
56.jpeg,10,4,3,1,7,0.75,0.3,0.75,n/a,none,"Image: 56.jpeg. GT=10, predicted=4, TP=3, FP=1, FN=7. Precision=0.75, recall=0.30, F1=0.75. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Protein 83 g [per_100g]; Carbohydrate 3.67 g [per_100g]; Fat 4.3 g [per_100g]  (+1 more)"
57.jpeg,10,8,5,3,5,0.625,0.5,0.83,n/a,none,"Image: 57.jpeg. GT=10, predicted=8, TP=5, FP=3, FN=5. Precision=0.62, recall=0.50, F1=0.83. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Energy 383 kcal [per_100g]; Protein 83 g [per_100g]; Carbohydrate 3.67 g [per_100g]  (+3 more)"
63.png,22,20,15,5,7,0.75,0.6818,0.75,n/a,none,"Image: 63.png. GT=22, predicted=20, TP=15, FP=5, FN=7. Precision=0.75, recall=0.68, F1=0.75. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Energy 427 kJ [per_serving]; Energy 102 kcal [per_serving]; Fat 0 g [per_serving]  (+17 more)"
64.png,8,8,7,1,1,0.875,0.875,0.88,n/a,none,"Image: 64.png. GT=8, predicted=8, TP=7, FP=1, FN=1. Precision=0.88, recall=0.88, F1=0.88. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Vitamin B2 0.6 mg [per_daily_dose]; Niacin 7.0 mg [per_daily_dose]; Vitamin B6 0.6 mg [per_daily_dose]  (+5 more)"
67.jpeg,4,1,1,0,3,1.0,0.25,1.0,n/a,none,"Image: 67.jpeg. GT=4, predicted=1, TP=1, FP=0, FN=3. Precision=1.00, recall=0.25, F1=1.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Vitamin D3 1000 I.E. [per_daily_dose]"
82.jpeg,12,4,3,1,9,0.75,0.25,0.75,n/a,none,"Image: 82.jpeg. GT=12, predicted=4, TP=3, FP=1, FN=9. Precision=0.75, recall=0.25, F1=0.75. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Protein 0 g [per_serving]; Carbohydrate 0 g [per_serving]; Fat 0 g [per_serving]  (+1 more)"
90.png,17,8,6,2,11,0.75,0.3529,0.75,n/a,none,"Image: 90.png. GT=17, predicted=8, TP=6, FP=2, FN=11. Precision=0.75, recall=0.35, F1=0.75. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Fat <0.1 g [per_100ml]; Saturated Fats <0.1 g [per_100ml]; Carbohydrate 10 g [per_100ml]  (+5 more)"
101.png,11,10,9,1,2,0.9,0.8182,0.9,n/a,none,"Image: 101.png. GT=11, predicted=10, TP=9, FP=1, FN=2. Precision=0.90, recall=0.82, F1=0.90. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Energy 1625 kJ [per_100g]; Fat 0.8 g [per_100g]; Saturated Fats <0.1 g [per_100g]  (+7 more)"
103.jpeg,18,10,8,2,10,0.8,0.4444,0.8,n/a,none,"Image: 103.jpeg. GT=18, predicted=10, TP=8, FP=2, FN=10. Precision=0.80, recall=0.44, F1=0.80. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Energy 1383 kJ [per_100g]; Fat 3.7 g [per_100g]; Carbohydrate 51 g [per_100g]  (+7 more)"
