image_id,n_ground_truth,n_predicted,nutrient_matches,qty_acc_pct,unit_acc_pct,ctx_acc_pct,f1_3field_pct,f1_4field_pct,tp,fp,fn,precision,recall,f1
30.png,18,8,8,100,0,100,0,0,0,8,18,0.0,0.0,0.0
78.jpeg,2,2,2,50,0,100,0,0,0,2,2,0.0,0.0,0.0
119.jpeg,20,17,15,13,87,13,7,7,1,16,19,0.0588,0.05,0.07
91.png,16,14,14,64,100,14,64,7,1,13,15,0.0714,0.0625,0.07
118.jpeg,20,15,12,8,92,25,8,8,1,14,19,0.0667,0.05,0.08
4.png,8,6,6,17,100,100,17,17,1,5,7,0.1667,0.125,0.17
20.png,48,21,20,35,75,90,30,25,5,16,43,0.2381,0.1042,0.25
68.jpeg,34,12,11,36,100,82,36,27,3,9,31,0.25,0.0882,0.27
15.png,42,7,7,43,57,71,43,29,2,5,40,0.2857,0.0476,0.29
8.png,18,8,8,88,50,100,38,38,3,5,15,0.375,0.1667,0.38
