image_id,n_ground_truth,n_predicted,nutrient_matches,qty_acc_pct,unit_acc_pct,ctx_acc_pct,f1_3field_pct,f1_4field_pct,tp,fp,fn,precision,recall,f1
1.png,5,5,4,50,100,100,50,50,2,3,3,0.4,0.4,0.5
101.png,11,10,10,90,90,100,90,90,9,1,2,0.9,0.8182,0.9
102.png,18,16,14,64,100,64,64,43,6,10,12,0.375,0.3333,0.43
103.jpeg,18,10,10,90,100,90,90,80,8,2,10,0.8,0.4444,0.8
104.jpeg,18,12,12,100,100,100,100,100,12,0,6,1.0,0.6667,1.0
105.png,18,9,8,75,100,75,75,75,6,3,12,0.6667,0.3333,0.75
106.png,2,2,2,100,50,100,50,50,1,1,1,0.5,0.5,0.5
107.png,10,10,10,40,50,100,40,40,4,6,6,0.4,0.4,0.4
108.jpeg,11,10,10,100,100,90,100,90,9,1,2,0.9,0.8182,0.9
109.jpeg,9,8,8,88,100,100,88,88,7,1,2,0.875,0.7778,0.88
110.jpeg,6,4,4,75,100,75,75,75,3,1,3,0.75,0.5,0.75
111.jpeg,1,1,1,100,100,100,100,100,1,0,0,1.0,1.0,1.0
112.jpeg,1,1,1,100,100,100,100,100,1,0,0,1.0,1.0,1.0
113.jpeg,20,15,15,67,87,100,53,53,8,7,12,0.5333,0.4,0.53
114.jpeg,20,14,14,93,100,100,93,93,13,1,7,0.9286,0.65,0.93
115.png,9,9,7,57,100,100,57,57,4,5,5,0.4444,0.4444,0.57
116.jpeg,18,21,14,64,93,100,57,57,8,13,10,0.381,0.4444,0.57
117.jpeg,9,7,6,100,83,100,83,83,5,2,4,0.7143,0.5556,0.83
118.jpeg,20,15,12,8,92,25,8,8,1,14,19,0.0667,0.05,0.08
119.jpeg,20,17,15,13,87,13,7,7,1,16,19,0.0588,0.05,0.07
12.png,16,12,12,100,100,100,100,100,12,0,4,1.0,0.75,1.0
120.jpeg,26,25,25,76,88,100,72,72,18,7,8,0.72,0.6923,0.72
121.jpeg,20,18,16,88,88,88,75,69,11,7,9,0.6111,0.55,0.69
15.png,42,7,7,43,57,71,43,29,2,5,40,0.2857,0.0476,0.29
17.png,4,4,3,100,100,100,100,100,3,1,1,0.75,0.75,1.0
2.png,16,8,8,100,75,88,75,75,6,2,10,0.75,0.375,0.75
20.png,48,21,20,35,75,90,30,25,5,16,43,0.2381,0.1042,0.25
201.jpeg,16,19,14,71,100,71,71,50,7,12,9,0.3684,0.4375,0.5
26.png,8,6,6,83,100,100,83,83,5,1,3,0.8333,0.625,0.83
27.png,13,12,12,100,100,100,100,100,12,0,1,1.0,0.9231,1.0
30.png,18,8,8,100,0,100,0,0,0,8,18,0.0,0.0,0.0
33.png,26,30,23,100,91,96,91,91,21,9,5,0.7,0.8077,0.91
34.png,40,25,20,100,95,95,95,90,18,7,22,0.72,0.45,0.9
35.jpeg,4,4,4,100,100,50,100,50,2,2,2,0.5,0.5,0.5
4.png,8,6,6,17,100,100,17,17,1,5,7,0.1667,0.125,0.17
41.png,8,7,7,100,86,100,86,86,6,1,2,0.8571,0.75,0.86
42.png,18,14,14,86,93,100,79,79,11,3,7,0.7857,0.6111,0.79
45_1.png,18,8,8,100,100,75,100,75,6,2,12,0.75,0.3333,0.75
45_2.png,8,7,7,100,100,100,100,100,7,0,1,1.0,0.875,1.0
51.png,18,12,10,100,80,90,80,80,8,4,10,0.6667,0.4444,0.8
53.png,18,8,8,100,100,100,100,100,8,0,10,1.0,0.4444,1.0
56.jpeg,10,4,4,75,100,75,75,75,3,1,7,0.75,0.3,0.75
57.jpeg,10,8,6,100,100,83,100,83,5,3,5,0.625,0.5,0.83
59.png,28,20,16,75,88,69,75,50,8,12,20,0.4,0.2857,0.5
6.png,6,6,6,100,100,100,100,100,6,0,0,1.0,1.0,1.0
61.png,22,14,14,79,93,71,71,43,6,8,16,0.4286,0.2727,0.43
63.png,22,20,20,75,95,100,75,75,15,5,7,0.75,0.6818,0.75
64.png,8,8,8,100,100,88,100,88,7,1,1,0.875,0.875,0.88
67.jpeg,4,1,1,100,100,100,100,100,1,0,3,1.0,0.25,1.0
68.jpeg,34,12,11,36,100,82,36,27,3,9,31,0.25,0.0882,0.27
78.jpeg,2,2,2,50,0,100,0,0,0,2,2,0.0,0.0,0.0
8.png,18,8,8,88,50,100,38,38,3,5,15,0.375,0.1667,0.38
82.jpeg,12,4,4,75,100,75,75,75,3,1,9,0.75,0.25,0.75
88.png,16,20,9,78,100,89,78,67,6,14,10,0.3,0.375,0.67
9.jpeg,4,4,4,100,100,100,100,100,4,0,0,1.0,1.0,1.0
90.png,17,8,8,88,88,75,88,75,6,2,11,0.75,0.3529,0.75
91.png,16,14,14,64,100,14,64,7,1,13,15,0.0714,0.0625,0.07
