image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full3f_pct,full4f_pct
1.png,5,5,4,50,100,100,50,50
101.png,11,10,10,90,90,100,90,90
102.png,18,16,14,64,100,64,64,43
103.jpeg,18,10,10,90,100,90,90,80
104.jpeg,18,12,12,100,100,100,100,100
105.png,18,9,8,75,100,75,75,75
106.png,2,2,2,100,50,100,50,50
107.png,10,10,10,40,50,100,40,40
108.jpeg,11,10,10,100,100,90,100,90
109.jpeg,9,8,8,88,100,100,88,88
110.jpeg,6,4,4,75,100,75,75,75
111.jpeg,1,1,1,100,100,100,100,100
112.jpeg,1,1,1,100,100,100,100,100
113.jpeg,20,15,15,67,87,100,53,53
114.jpeg,20,14,14,93,100,100,93,93
115.png,9,9,7,57,100,100,57,57
116.jpeg,18,21,14,64,93,100,57,57
117.jpeg,9,7,6,100,83,100,83,83
118.jpeg,20,15,12,8,92,25,8,8
119.jpeg,20,17,15,13,87,13,7,7
12.png,16,12,12,100,100,100,100,100
120.jpeg,26,25,25,76,88,100,72,72
121.jpeg,20,18,16,88,88,88,75,69
15.png,42,7,7,43,57,71,43,29
17.png,4,4,3,100,100,100,100,100
2.png,16,8,8,100,75,88,75,75
20.png,48,21,20,35,75,90,30,25
201.jpeg,16,19,14,71,100,71,71,50
26.png,8,6,6,83,100,100,83,83
27.png,13,12,12,100,100,100,100,100
30.png,18,8,8,100,0,100,0,0
33.png,26,30,23,100,91,96,91,91
34.png,40,25,20,100,95,95,95,90
35.jpeg,4,4,4,100,100,50,100,50
4.png,8,6,6,17,100,100,17,17
41.png,8,7,7,100,86,100,86,86
42.png,18,14,14,86,93,100,79,79
45_1.png,18,8,8,100,100,75,100,75
45_2.png,8,7,7,100,100,100,100,100
51.png,18,12,10,100,80,90,80,80
53.png,18,8,8,100,100,100,100,100
56.jpeg,10,4,4,75,100,75,75,75
57.jpeg,10,8,6,100,100,83,100,83
59.png,28,20,16,75,88,69,75,50
6.png,6,6,6,100,100,100,100,100
61.png,22,14,14,79,93,71,71,43
63.png,22,20,20,75,95,100,75,75
64.png,8,8,8,100,100,88,100,88
67.jpeg,4,1,1,100,100,100,100,100
68.jpeg,34,12,11,36,100,82,36,27
78.jpeg,2,2,2,50,0,100,0,0
8.png,18,8,8,88,50,100,38,38
82.jpeg,12,4,4,75,100,75,75,75
88.png,16,20,9,78,100,89,78,67
9.jpeg,4,4,4,100,100,100,100,100
90.png,17,8,8,88,88,75,88,75
91.png,16,14,14,64,100,14,64,7
