tag,image_id,gt_nutrient,gt_quantity,gt_unit,gt_context,pred_nutrient,pred_quantity,pred_unit,pred_context,reason
incorrect,1.png,Magnesiumoxid,400,mg,per_daily_dose,Magnesiumoxid,400,,,unit: got None expected mg | context: got None expected per_daily_dose
incorrect,1.png,Magnesiumbisglycinat,350,mg,per_daily_dose,Magnesiumbisglycinat,350,,,unit: got None expected mg | context: got None expected per_daily_dose
incorrect,1.png,Magnesiummalat,333,mg,per_daily_dose,Magnesiummalat,333,,,unit: got None expected mg | context: got None expected per_daily_dose
missing,1.png,Magnesium (gesamt),400,mg,per_daily_dose,,,,,nutrient not found in predictions
missing,1.png,Magnesiumsalze der Citronensäure,420,mg,per_daily_dose,,,,,nutrient not found in predictions
incorrect,101.png,Salt,0.09,g,per_100g,Salt,0.09,,,unit: got None expected g | context: got None expected per_100g
incorrect,101.png,Sodium,36,mg,per_100g,Sodium,36,,,unit: got None expected mg | context: got None expected per_100g
incorrect,101.png,Fat,0.8,g,per_100g,Fat,,,,qty: got None expected 0.8 | unit: got None expected g | context: got None expected per_100g
incorrect,101.png,Saturated Fats,< 0.1,g,per_100g,Saturated Fats,,,,qty: got None expected < 0.1 | unit: got None expected g | context: got None expected per_100g
incorrect,101.png,Carbohydrate,86.1,g,per_100g,Carbohydrate,,,,qty: got None expected 86.1 | unit: got None expected g | context: got None expected per_100g
incorrect,101.png,Sugars,8.9,g,per_100g,Sugars,,,,qty: got None expected 8.9 | unit: got None expected g | context: got None expected per_100g
incorrect,101.png,Fibre,3.0,g,per_100g,Fibre,,,,qty: got None expected 3.0 | unit: got None expected g | context: got None expected per_100g
incorrect,101.png,Protein,6.3,g,per_100g,Protein,,,,qty: got None expected 6.3 | unit: got None expected g | context: got None expected per_100g
incorrect,101.png,Vitamin B1,0.44,mg,per_100g,Vitamin B1,,,,qty: got None expected 0.44 | unit: got None expected mg | context: got None expected per_100g
missing,101.png,Energy,1625,kJ,per_100g,,,,,nutrient not found in predictions
missing,101.png,Energy,383,kcal,per_100g,,,,,nutrient not found in predictions
incorrect,102.png,Salt,0.14,g,per_100g,Salt,0.14,,,unit: got None expected g | context: got None expected per_100g
incorrect,102.png,Fibre,0.6,g,per_serving (1 Riegel* (12.5 g)),Fibre,0.6,,,unit: got None expected g | context: got None expected per_serving (1 Riegel* (12.5 g))
