image_id,n_ground_truth,n_predicted,nutrient_matches,qty_acc_pct,unit_acc_pct,ctx_acc_pct,f1_3field_pct,f1_4field_pct,tp,fp,fn,precision,recall,f1
1.png,5,7,3,100,0,0,0,0.0,0,7,5,0.0,0.0,0.0
101.png,11,11,9,22,0,0,0,0.0,0,11,11,0.0,0.0,0.0
102.png,18,18,12,17,0,0,0,0.0,0,18,18,0.0,0.0,0.0
103.jpeg,18,15,12,25,0,0,0,0.0,0,15,18,0.0,0.0,0.0
104.jpeg,18,15,8,12,0,0,0,0.0,0,15,18,0.0,0.0,0.0
105.png,18,15,11,9,0,0,0,0.0,0,15,18,0.0,0.0,0.0
106.png,2,2,2,0,0,0,0,0.0,0,2,2,0.0,0.0,0.0
107.png,10,15,10,20,0,0,0,0.0,0,15,10,0.0,0.0,0.0
108.jpeg,11,20,10,50,0,0,0,0.0,0,20,11,0.0,0.0,0.0
109.jpeg,9,16,7,86,0,0,0,0.0,0,16,9,0.0,0.0,0.0
