image_id,gt_nutrient,pred_nutrient,gt_quantity,pred_quantity,gt_unit,pred_unit,gt_context,pred_context,nutrient_match,quantity_match,unit_match,context_match,full_match_3f,full_match_4f,eval_method,nutrient_reason,quantity_reason,unit_reason,context_reason
1.png,Magnesiumoxid,Magnesiumoxid,400,400,mg,,per_daily_dose,,True,True,False,False,False,False,fast,substring match,numeric match,mismatch,mismatch
1.png,Magnesiumbisglycinat,Magnesiumbisglycinat,350,350,mg,,per_daily_dose,,True,True,False,False,False,False,fast,substring match,numeric match,mismatch,mismatch
1.png,Magnesiummalat,Magnesiummalat,333,333,mg,,per_daily_dose,,True,True,False,False,False,False,fast,substring match,numeric match,mismatch,mismatch
101.png,Salt,Salt,0.09,0.09,g,,per_100g,,True,True,False,False,False,False,fast,substring match,numeric match,mismatch,mismatch
101.png,Sodium,Sodium,36,36,mg,,per_100g,,True,True,False,False,False,False,fast,substring match,numeric match,mismatch,mismatch
101.png,Fat,Fat,0.8,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
101.png,Saturated Fats,Saturated Fats,< 0.1,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
101.png,Carbohydrate,Carbohydrate,86.1,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
101.png,Sugars,Sugars,8.9,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
101.png,Fibre,Fibre,3.0,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
101.png,Protein,Protein,6.3,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
101.png,Vitamin B1,Vitamin B1,0.44,,mg,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
102.png,Salt,Salt,0.14,0.14,g,,per_100g,,True,True,False,False,False,False,fast,substring match,numeric match,mismatch,mismatch
102.png,Fibre,Fibre,0.6,0.6,g,,per_serving (1 Riegel* (12.5 g)),,True,True,False,False,False,False,fast,substring match,numeric match,mismatch,mismatch
102.png,Energy,Energy,1502,1.0,kJ,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
102.png,Energy,Energy,356,g,kcal,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
102.png,Fat,Fat,7.7,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
102.png,Carbohydrate,Carbohydrate,63,,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
102.png,Sugars,Sugars,31,0.6,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
102.png,Fibre,Fibre,5.1,0.7,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
102.png,Protein,Protein,5.9,0.14,g,,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
102.png,Sugars,Sugars,3.9,g,g,,per_serving (1 Riegel* (12.5 g)),,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
102.png,Protein,Protein,0.7,g,g,,per_serving (1 Riegel* (12.5 g)),,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
102.png,Salt,Salt,0.02,g,g,,per_serving (1 Riegel* (12.5 g)),,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
103.jpeg,Saturated Fats,Saturated Fats,0.4,0.4,g,,per_100g,,True,True,False,False,False,False,fast,substring match,numeric match,mismatch,mismatch
103.jpeg,Protein,Protein,7.7,7.7,g,,per_100g,,True,True,False,False,False,False,fast,substring match,numeric match,mismatch,mismatch
