image_id,gt_nutrient,pred_nutrient,gt_qty,pred_qty,gt_unit,pred_unit,gt_context,pred_context,qty_match,unit_match,ctx_match,full_match_3f,full_match_4f
1.png,Magnesiumoxid,Magnesiumoxid,400,400,mg,,per_daily_dose,,True,False,False,False,False
1.png,Magnesiumbisglycinat,Magnesiumbisglycinat,350,350,mg,,per_daily_dose,,True,False,False,False,False
1.png,Magnesiummalat,Magnesiummalat,333,333,mg,,per_daily_dose,,True,False,False,False,False
101.png,Salt,Salt,0.09,0.09,g,,per_100g,,True,False,False,False,False
101.png,Sodium,Sodium,36,36,mg,,per_100g,,True,False,False,False,False
101.png,Fat,Fat,0.8,,g,,per_100g,,False,False,False,False,False
101.png,Saturated Fats,Saturated Fats,< 0.1,,g,,per_100g,,False,False,False,False,False
101.png,Carbohydrate,Carbohydrate,86.1,,g,,per_100g,,False,False,False,False,False
101.png,Sugars,Sugars,8.9,,g,,per_100g,,False,False,False,False,False
101.png,Fibre,Fibre,3.0,,g,,per_100g,,False,False,False,False,False
101.png,Protein,Protein,6.3,,g,,per_100g,,False,False,False,False,False
101.png,Vitamin B1,Vitamin B1,0.44,,mg,,per_100g,,False,False,False,False,False
102.png,Salt,Salt,0.14,0.14,g,,per_100g,,True,False,False,False,False
102.png,Fibre,Fibre,0.6,0.6,g,,per_serving (1 Riegel* (12.5 g)),,True,False,False,False,False
102.png,Energy,Energy,1502,1.0,kJ,,per_100g,,False,False,False,False,False
102.png,Energy,Energy,356,g,kcal,,per_100g,,False,False,False,False,False
102.png,Fat,Fat,7.7,,g,,per_100g,,False,False,False,False,False
102.png,Carbohydrate,Carbohydrate,63,,g,,per_100g,,False,False,False,False,False
102.png,Sugars,Sugars,31,0.6,g,,per_100g,,False,False,False,False,False
102.png,Fibre,Fibre,5.1,0.7,g,,per_100g,,False,False,False,False,False
102.png,Protein,Protein,5.9,0.14,g,,per_100g,,False,False,False,False,False
102.png,Sugars,Sugars,3.9,g,g,,per_serving (1 Riegel* (12.5 g)),,False,False,False,False,False
102.png,Protein,Protein,0.7,g,g,,per_serving (1 Riegel* (12.5 g)),,False,False,False,False,False
102.png,Salt,Salt,0.02,g,g,,per_serving (1 Riegel* (12.5 g)),,False,False,False,False,False
103.jpeg,Saturated Fats,Saturated Fats,0.4,0.4,g,,per_100g,,True,False,False,False,False
103.jpeg,Protein,Protein,7.7,7.7,g,,per_100g,,True,False,False,False,False
103.jpeg,Fat,Fat,0.4,0.4,g,,per_serving (pro Port. (12g)),,True,False,False,False,False
103.jpeg,Fat,Fat,3.7,g,g,,per_100g,,False,False,False,False,False
103.jpeg,Carbohydrate,Carbohydrate,51,,g,,per_100g,,False,False,False,False,False
103.jpeg,Sugars,Sugars,51,,g,,per_100g,,False,False,False,False,False
103.jpeg,Fibre,Fibre,16,7.7,g,,per_100g,,False,False,False,False,False
103.jpeg,Salt,Salt,0,7.7,g,,per_100g,,False,False,False,False,False
103.jpeg,Saturated Fats,Saturated Fats,0,g,g,,per_serving (pro Port. (12g)),,False,False,False,False,False
103.jpeg,Fibre,Fibre,1.9,g,g,,per_serving (pro Port. (12g)),,False,False,False,False,False
103.jpeg,Protein,Protein,0.9,g,g,,per_serving (pro Port. (12g)),,False,False,False,False,False
103.jpeg,Salt,Salt,0,g,g,,per_serving (pro Port. (12g)),,False,False,False,False,False
104.jpeg,Salt,Salt,0.1,0.1,g,,per_100g,,True,False,False,False,False
104.jpeg,Fat,Fat,2.6,,g,,per_100g,,False,False,False,False,False
104.jpeg,Saturated Fats,Saturated Fats,0.6,60,g,,per_100g,,False,False,False,False,False
104.jpeg,Carbohydrate,Carbohydrate,72,60,g,,per_100g,,False,False,False,False,False
104.jpeg,Sugars,Sugars,72,,g,,per_100g,,False,False,False,False,False
104.jpeg,Fibre,Fibre,10,3.2,g,,per_100g,,False,False,False,False,False
104.jpeg,Fibre,Fibre,1.4,g,g,,per_serving (pro Port. (14g)),,False,False,False,False,False
104.jpeg,Salt,Salt,0,3.2,g,,per_serving (pro Port. (14g)),,False,False,False,False,False
105.png,Salt,Salt,0.03,0.03,g,,per_100g,,True,False,False,False,False
105.png,Fat,Fat,2.7,,g,,per_100g,,False,False,False,False,False
105.png,Carbohydrate,Carbohydrate,52.1,,g,,per_100g,,False,False,False,False,False
105.png,Sugars,Sugars,51.4,1.9,g,,per_100g,,False,False,False,False,False
105.png,Fibre,Fibre,15.5,0.8,g,,per_100g,,False,False,False,False,False
105.png,Protein,Protein,7.0,0.00,g,,per_100g,,False,False,False,False,False
105.png,Sugars,Sugars,6.2,g,g,,per_serving (1 Portion* (12 g)),,False,False,False,False,False
105.png,Fibre,Fibre,1.9,g,g,,per_serving (1 Portion* (12 g)),,False,False,False,False,False
105.png,Protein,Protein,0.8,g,g,,per_serving (1 Portion* (12 g)),,False,False,False,False,False
105.png,Salt,Salt,0.00,g,g,,per_serving (1 Portion* (12 g)),,False,False,False,False,False
105.png,Energy,g,1320,g,kJ,,per_100g,,False,False,False,False,False
106.png,Vitamin E,Vitamin E,12,,mg α-TE,,per_serving (Pro Stick),,False,False,False,False,False
106.png,Magnesium,Magnesium,250,,mg,,per_serving (Pro Stick),,False,False,False,False,False
107.png,Biotin,Biotin,50,50,µg,,per_daily_dose (1 Tablette (4.3 g)*),,True,False,False,False,False
107.png,Folic Acid,Folic Acid,200,200,µg,,per_daily_dose (1 Tablette (4.3 g)*),,True,False,False,False,False
107.png,Vitamin B1,Vitamin B1,1.1,,mg,,per_daily_dose (1 Tablette (4.3 g)*),,False,False,False,False,False
107.png,Vitamin B2,Vitamin B2,1.4,,mg,,per_daily_dose (1 Tablette (4.3 g)*),,False,False,False,False,False
107.png,Vitamin B6,Vitamin B6,1.4,,mg,,per_daily_dose (1 Tablette (4.3 g)*),,False,False,False,False,False
107.png,Vitamin B12,Vitamin B12,2.5,,µg,,per_daily_dose (1 Tablette (4.3 g)*),,False,False,False,False,False
107.png,Vitamin C,Vitamin C,80,,mg,,per_daily_dose (1 Tablette (4.3 g)*),,False,False,False,False,False
107.png,Vitamin E,Vitamin E,12,,mg α-TE,,per_daily_dose (1 Tablette (4.3 g)*),,False,False,False,False,False
107.png,Niacin,Niacin,16,50,mg NE,,per_daily_dose (1 Tablette (4.3 g)*),,False,False,False,False,False
107.png,Pantothenic Acid,Pantothenic Acid,6,,mg,,per_daily_dose (1 Tablette (4.3 g)*),,False,False,False,False,False
108.jpeg,Magnesium,Magnesium,240,240,mg,,per_daily_dose (1 Tablette (5.6 g)*),,True,False,False,False,False
108.jpeg,Vitamin B1,Vitamin B1,1.1,1.1,mg,,per_daily_dose (1 Tablette (5.6 g)*),,True,False,False,False,False
108.jpeg,Vitamin B2,Vitamin B2,1.4,1.4,mg,,per_daily_dose (1 Tablette (5.6 g)*),,True,False,False,False,False
