image_id,n_ground_truth,n_predicted,tp,fp,fn,precision,recall,f1,fast_rule_decision,likely_failure_source,descriptive_summary
1.png,5,7,0,7,5,0.0,0.0,0.0,n/a,none,"Image: 1.png. GT=5, predicted=7, TP=0, FP=7, FN=5. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Magnesiumoxid 400  []; Magnesiumbisglycinat 350  []; Magnesiummalat 333  []"
2.png,16,12,0,12,16,0.0,0.0,0.0,n/a,none,"Image: 2.png. GT=16, predicted=12, TP=0, FP=12, FN=16. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Protein 0  []; Salt 0.43  []; Carbohydrate 50  []  (+8 more)"
4.png,8,8,0,8,8,0.0,0.0,0.0,n/a,none,"Image: 4.png. GT=8, predicted=8, TP=0, FP=8, FN=8. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Fat   []; Saturated Fats   []; Carbohydrate   []  (+3 more)"
6.png,6,12,0,12,6,0.0,0.0,0.0,n/a,none,"Image: 6.png. GT=6, predicted=12, TP=0, FP=12, FN=6. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Vitamin C 28  []; Magnesium 56  []; Potassium 70  []  (+3 more)"
8.png,18,7,0,7,18,0.0,0.0,0.0,n/a,none,"Image: 8.png. GT=18, predicted=7, TP=0, FP=7, FN=18. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Protein   []; Saturated Fats   []; Carbohydrate   []  (+4 more)"
9.jpeg,4,6,0,6,4,0.0,0.0,0.0,n/a,none,"Image: 9.jpeg. GT=4, predicted=6, TP=0, FP=6, FN=4. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Zinc 5  []; Vitamin C 30  []; Zinc 30  []  (+1 more)"
12.png,16,5,0,5,16,0.0,0.0,0.0,n/a,none,"Image: 12.png. GT=16, predicted=5, TP=0, FP=5, FN=16. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Carbohydrate 19  []; Protein 0.0  []; Carbohydrate g  []  (+2 more)"
15.png,42,2,0,2,42,0.0,0.0,0.0,n/a,none,"Image: 15.png. GT=42, predicted=2, TP=0, FP=2, FN=42. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Salt   []; Caffeine   []"
17.png,4,10,0,10,4,0.0,0.0,0.0,n/a,none,"Image: 17.png. GT=4, predicted=10, TP=0, FP=10, FN=4. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Caffeine 100  []; Niacin 2.4  []; Vitamin B6 0.22  []  (+1 more)"
20.png,48,17,0,17,48,0.0,0.0,0.0,n/a,none,"Image: 20.png. GT=48, predicted=17, TP=0, FP=17, FN=48. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Carbohydrate   []; Sodium   []; Calcium   []  (+14 more)"
26.png,8,11,0,11,8,0.0,0.0,0.0,n/a,none,"Image: 26.png. GT=8, predicted=11, TP=0, FP=11, FN=8. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Fat   []; Saturated Fats   []; Carbohydrate   []  (+4 more)"
27.png,13,6,0,6,13,0.0,0.0,0.0,n/a,none,"Image: 27.png. GT=13, predicted=6, TP=0, FP=6, FN=13. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Calcium   []; Magnesium   []; Zinc   []  (+2 more)"
30.png,18,6,0,6,18,0.0,0.0,0.0,n/a,none,"Image: 30.png. GT=18, predicted=6, TP=0, FP=6, FN=18. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Sodium 70  []; Sodium 130  []; Protein   []  (+3 more)"
33.png,26,18,0,18,26,0.0,0.0,0.0,n/a,none,"Image: 33.png. GT=26, predicted=18, TP=0, FP=18, FN=26. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Sodium 210  []; Chloride 140  []; Sodium 158  []  (+12 more)"
34.png,40,18,0,18,40,0.0,0.0,0.0,n/a,none,"Image: 34.png. GT=40, predicted=18, TP=0, FP=18, FN=40. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Fat   []; Carbohydrate   []; Sugars   []  (+15 more)"
35.jpeg,4,4,0,4,4,0.0,0.0,0.0,n/a,none,"Image: 35.jpeg. GT=4, predicted=4, TP=0, FP=4, FN=4. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Vitamin C 2.1  []; Magnesium 2.1  []; Magnesium g  []  (+1 more)"
41.png,8,8,0,8,8,0.0,0.0,0.0,n/a,none,"Image: 41.png. GT=8, predicted=8, TP=0, FP=8, FN=8. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Saturated Fats 0  []; Protein 0  []; Salt 0.10  []  (+2 more)"
42.png,18,8,0,8,18,0.0,0.0,0.0,n/a,none,"Image: 42.png. GT=18, predicted=8, TP=0, FP=8, FN=18. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Sodium 240  []; Sodium 500  []; Protein   []  (+5 more)"
51.png,18,5,0,5,18,0.0,0.0,0.0,n/a,none,"Image: 51.png. GT=18, predicted=5, TP=0, FP=5, FN=18. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: CarbohydrateKohlenhydrateGlucidesKoolhydraten   []; ProteinEiweiBProtéinesElwitten   []; SaltSalzSelZout   []"
53.png,18,6,0,6,18,0.0,0.0,0.0,n/a,none,"Image: 53.png. GT=18, predicted=6, TP=0, FP=6, FN=18. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Vitamin B6Vitamine B6 0.35  []; Vitamin B6Vitamine B6 0.21  []; CarbohydrateKohlenhydrateGlucidesKoolhydraten   []  (+2 more)"
56.jpeg,10,6,0,6,10,0.0,0.0,0.0,n/a,none,"Image: 56.jpeg. GT=10, predicted=6, TP=0, FP=6, FN=10. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Fat 4.3  []; Fat 3.67  []"
57.jpeg,10,10,0,10,10,0.0,0.0,0.0,n/a,none,"Image: 57.jpeg. GT=10, predicted=10, TP=0, FP=10, FN=10. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Fat 3.67  []; Fat g  []; proteines 83  []  (+1 more)"
59.png,28,10,0,10,28,0.0,0.0,0.0,n/a,none,"Image: 59.png. GT=28, predicted=10, TP=0, FP=10, FN=28. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Carbohydrate   []; Fructose   []; Fat   []  (+7 more)"
61.png,22,9,0,9,22,0.0,0.0,0.0,n/a,none,"Image: 61.png. GT=22, predicted=9, TP=0, FP=9, FN=22. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Fat   []; Saturated Fats   []; Carbohydrate   []  (+6 more)"
63.png,22,9,0,9,22,0.0,0.0,0.0,n/a,none,"Image: 63.png. GT=22, predicted=9, TP=0, FP=9, FN=22. Precision=0.00, recall=0.00, F1=0.00. Likely failure source: none. Fast-rule decision: n/a.
  Correctly extracted: Calcium 166.7  []; Fat   []; Saturated Fats   []  (+6 more)"
