image_id,nutrient,quantity,unit,context
1.png,Magnesiumoxid,400,,
1.png,Magnesiumoxid,mg,,
1.png,Magnesiumbisglycinat,333,,
1.png,Magnesiumbisglycinat,350,,
1.png,Magnesiumbisglycinat,mg,,
1.png,Magnesiummalat,333,,
1.png,Magnesiummalat,mg,,
2.png,Energy,,,
2.png,Fat,1616,,
2.png,Saturated Fats,,,
2.png,Carbohydrate,50,,
2.png,Carbohydrate,g,,
2.png,Sugars,25,,
2.png,Sugars,g,,
2.png,Protein,0,,
2.png,Protein,g,,
2.png,Salt,0.43,,
2.png,Salt,g,,
2.png,Salt,0.30,,
4.png,Fat,,,
4.png,Saturated Fats,,,
4.png,Carbohydrate,,,
4.png,Sugars,,,
4.png,Protein,,,
4.png,proteines,,,
4.png,proteins,,,
4.png,Salt,,,
6.png,Vitamin C,28,,
6.png,Vitamin C,mg,,
6.png,Magnesium,56,,
6.png,Magnesium,mg,,
6.png,Potassium,70,,
6.png,Potassium,mg,,
6.png,Calcium,9,,
6.png,Calcium,mg,,
6.png,Sodium,200,,
6.png,Sodium,mg,,
6.png,Green Tea,1,,
6.png,Green Tea,mg,,
8.png,Protein,,,
8.png,Saturated Fats,,,
8.png,Carbohydrate,,,
8.png,Sugars,21271,,
8.png,Sugars,2823232,,
8.png,Fibre,,,
8.png,Sodium,,,
9.jpeg,Zinc,5,,
9.jpeg,Zinc,30,,
9.jpeg,Zinc,mg,,
9.jpeg,Vitamin C,5,,
9.jpeg,Vitamin C,30,,
9.jpeg,Vitamin C,mg,,
12.png,Carbohydrate,19,,
12.png,Carbohydrate,g,,
12.png,Sugars,,,
12.png,Protein,0.0,,
12.png,Protein,g,,
15.png,Salt,,,
15.png,Caffeine,,,
17.png,Caffeine,100,,
17.png,Caffeine,mg,,
17.png,Niacin,2.4,,
17.png,Niacin,15,,
17.png,Vitamin B6,0.22,,
17.png,Vitamin B6,mg,,
17.png,Vitamin B6,15,,
17.png,Vitamin B12,0.38,,
17.png,Vitamin B12,g,,
17.png,Vitamin B12,15,,
20.png,Carbohydrate,,,
20.png,Sodium,,,
20.png,Calcium,,,
20.png,Magnesium,,,
20.png,Chloride,,,
20.png,Phosphorus,,,
20.png,Selenium,,,
20.png,Caffeine,,,
20.png,Vitamin C,,,
20.png,Niacin,,,
20.png,Vitamin E,,,
20.png,Pantothenic Acid,,,
20.png,Vitamin B6,,,
20.png,Vitamin B1,,,
20.png,Folic Acid,,,
20.png,Vitamin B12,,,
20.png,Vitamin A,,,
26.png,Fat,,,
26.png,OFWHICH,,,
26.png,Saturated Fats,,,
26.png,Carbohydrate,,,
26.png,7,,,
26.png,g,,,
26.png,OFWHICHSUGARS,,,
26.png,3.5,,,
26.png,Protein,,,
26.png,0.11,,,
26.png,Salt,,,
27.png,Calcium,,,
27.png,Magnesium,,,
27.png,Zinc,,,
27.png,Chromium,15,,
27.png,Chromium,mg,,
27.png,Vitamin D,,,
30.png,Protein,,,
30.png,Carbohydrate,,,
30.png,Sugars,,,
30.png,Fibre,,,
