image_id,gt_nutrient,pred_nutrient,gt_quantity,pred_quantity,gt_unit,pred_unit,gt_context,pred_context,nutrient_match,quantity_match,unit_match,context_match,full_match_3f,full_match_4f,eval_method,nutrient_reason,quantity_reason,unit_reason,context_reason
1.png,Magnesium (gesamt),Magnesium (gesamt),400,400,mg,mg,per_daily_dose,per_serving,True,True,True,False,True,False,fast,substring match,numeric match,alias match,mismatch
1.png,Magnesiumoxid,Magnesiumoxid,400,400,mg,mg,per_daily_dose,per_serving,True,True,True,False,True,False,fast,substring match,numeric match,alias match,mismatch
1.png,Magnesiumbisglycinat,Magnesiumbisglycinat,350,350,mg,mg,per_daily_dose,per_serving,True,True,True,False,True,False,fast,substring match,numeric match,alias match,mismatch
1.png,Magnesiummalat,Magnesiummalat,333,333,mg,mg,per_daily_dose,per_serving,True,True,True,False,True,False,fast,substring match,numeric match,alias match,mismatch
101.png,Energy,Energy,1625,1625,kJ,kJ,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Energy,Energy,383,383,kcal,kcal,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Fat,Fat,0.8,0.8,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Saturated Fats,Saturated Fats,< 0.1,<0.1,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Carbohydrate,Carbohydrate,86.1,86.1,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Sugars,Sugars,8.9,8.9,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Fibre,Fibre,3.0,3.0,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Protein,Protein,6.3,6.3,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
