image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full3f_pct,full4f_pct
1.png,5,5,4,100,100,25,100,25
101.png,11,11,11,100,100,100,100,100
102.png,18,16,16,75,100,100,75,75
103.jpeg,18,13,13,100,100,46,100,46
104.jpeg,18,8,8,62,100,100,62,62
105.png,18,13,13,85,100,100,85,85
106.png,2,2,2,100,50,0,50,0
107.png,10,10,10,90,80,0,80,0
108.jpeg,11,11,11,82,91,0,82,0
109.jpeg,9,8,7,100,100,71,100,71
110.jpeg,6,5,5,100,60,0,60,0
111.jpeg,1,1,1,100,100,0,100,0
112.jpeg,1,2,1,100,100,0,100,0
113.jpeg,20,16,12,58,100,67,58,42
114.jpeg,20,17,14,86,93,57,86,57
115.png,9,8,7,29,100,57,29,29
116.jpeg,18,13,13,92,100,54,92,54
117.jpeg,9,8,6,100,100,0,100,0
118.jpeg,20,18,16,38,100,19,38,12
119.jpeg,20,20,14,21,100,43,21,21
12.png,16,14,14,0,100,100,0,0
120.jpeg,26,26,26,81,81,0,73,0
121.jpeg,20,17,15,93,87,53,60,27
15.png,42,12,10,40,100,30,40,10
17.png,4,4,4,100,75,75,75,50
2.png,16,10,10,90,100,50,90,50
20.png,48,22,20,60,85,50,60,40
201.jpeg,16,7,7,43,100,0,43,0
26.png,8,8,8,62,100,100,62,62
27.png,13,12,10,0,50,0,0,0
30.png,18,14,14,79,100,43,79,29
33.png,26,21,21,100,100,52,100,52
34.png,40,19,19,95,100,37,95,32
35.jpeg,4,4,4,100,100,75,100,75
4.png,8,5,4,0,100,0,0,0
41.png,8,7,7,100,86,100,86,86
42.png,18,13,13,100,100,100,100,100
45_1.png,18,15,15,100,100,100,100,100
45_2.png,8,8,8,100,100,100,100,100
51.png,18,15,13,100,100,46,100,46
53.png,18,15,15,100,100,53,100,53
56.jpeg,10,5,4,100,100,0,100,0
57.jpeg,10,8,4,75,100,75,75,50
59.png,28,22,19,47,58,16,42,11
6.png,6,6,6,100,100,100,100,100
61.png,22,19,19,95,95,100,95,95
63.png,22,21,21,95,100,90,95,86
64.png,8,8,8,100,100,0,100,0
67.jpeg,4,2,0,0,0,0,0,0
68.jpeg,34,16,13,38,100,38,38,23
78.jpeg,2,3,2,100,100,100,100,100
8.png,18,16,16,94,88,50,81,44
82.jpeg,12,6,6,100,83,83,83,83
88.png,16,10,10,100,100,50,100,50
9.jpeg,4,4,4,100,100,0,100,0
90.png,17,12,11,64,91,36,64,36
91.png,16,13,11,82,100,55,82,55
