image_id,status,predicted_tuples,vlm_time_s,total_processing_time_s,error
1.png,ok,5,5.891,6.034,
2.png,ok,10,6.062,6.197,
4.png,ok,5,3.406,3.546,
6.png,ok,6,3.586,3.721,
8.png,ok,16,9.011,9.206,
9.jpeg,ok,4,3.009,3.018,
12.png,ok,14,7.572,7.65,
15.png,ok,12,6.599,6.745,
17.png,ok,4,2.964,3.126,
20.png,ok,22,11.306,11.441,
26.png,ok,8,5.107,5.186,
27.png,ok,12,8.719,8.873,
30.png,ok,14,8.254,8.445,
33.png,ok,21,10.789,10.972,
34.png,ok,19,10.389,10.568,
35.jpeg,ok,4,3.805,3.824,
41.png,ok,7,4.407,4.544,
42.png,ok,13,6.763,6.899,
51.png,ok,15,8.361,8.494,
53.png,ok,15,8.282,8.475,
56.jpeg,ok,5,3.512,3.531,
57.jpeg,ok,8,4.943,4.956,
59.png,ok,22,11.923,12.058,
61.png,ok,19,9.905,10.025,
63.png,ok,21,10.861,10.997,
64.png,ok,8,5.022,5.195,
67.jpeg,ok,2,2.406,2.44,
68.jpeg,ok,16,9.206,9.22,
78.jpeg,ok,3,2.555,2.594,
82.jpeg,ok,6,3.717,3.729,
88.png,ok,10,5.558,5.693,
90.png,ok,12,6.707,6.868,
91.png,ok,13,7.159,7.289,
101.png,ok,11,6.355,6.494,
102.png,ok,16,8.486,8.619,
103.jpeg,ok,13,6.966,6.985,
104.jpeg,ok,8,4.811,4.832,
105.png,ok,13,7.113,7.249,
106.png,ok,2,2.416,2.593,
107.png,ok,10,5.699,5.868,
108.jpeg,ok,11,6.15,6.194,
109.jpeg,ok,8,4.75,4.796,
110.jpeg,ok,5,3.411,3.456,
111.jpeg,ok,1,1.774,1.802,
112.jpeg,ok,2,2.137,2.149,
113.jpeg,ok,16,8.818,8.871,
114.jpeg,ok,17,9.245,9.298,
115.png,ok,8,4.984,5.129,
116.jpeg,ok,13,7.192,7.24,
117.jpeg,ok,8,4.849,4.892,
118.jpeg,ok,18,9.291,9.324,
119.jpeg,ok,20,10.339,10.373,
120.jpeg,ok,26,13.599,13.646,
121.jpeg,ok,17,8.863,8.889,
201.jpeg,ok,7,4.192,4.241,
45_1.png,ok,15,7.763,7.898,
45_2.png,ok,8,4.953,5.107,
