image_id,nutrient,quantity,unit,context
1.png,Magnesium (gesamt),400,mg,per_daily_dose
1.png,Magnesiumsalze der Zitronensäure,420,mg,per_serving
1.png,Magnesiumoxid,400,mg,per_serving
1.png,Magnesiumbisglycinat,350,mg,per_serving
1.png,Magnesiummalat,333,mg,per_serving
2.png,Energy,1195,kJ,per_100g
2.png,Energy,837,kJ,per_100g
2.png,Fat,0,g,per_100g
2.png,Fat,0,g,per_100g
2.png,Sugars,70,g,per_100g
2.png,Sugars,33,g,per_100g
2.png,Protein,0,g,per_100g
2.png,Protein,0,g,per_100g
2.png,Salt,0.43,g,per_100g
2.png,Salt,0.30,g,per_100g
4.png,Sugars,34.0,g,per_serving
4.png,Potassium,180.0,mg,per_serving
4.png,Protein,12.0,g,per_serving
4.png,Fat,1.7,g,per_serving
4.png,Salt,1.0,g,per_serving
6.png,Vitamin C,28,mg,per_serving
6.png,Magnesium,56,mg,per_serving
6.png,Potassium,70,mg,per_serving
6.png,Calcium,9,mg,per_serving
6.png,Sodium,200,mg,per_serving
6.png,Green Tea,1,mg,per_serving
8.png,Energy,892,kJ/kcal,per_bar_60g
8.png,Energy,1486,kJ/kcal,per_100g
8.png,Protein,2.2,g,per_bar_60g
8.png,Protein,3.7,g,per_100g
8.png,Fat,4.8,g,per_bar_60g
8.png,Saturated Fats,3.4,g,per_bar_60g
8.png,Saturated Fats,5.7,g,per_100g
8.png,Fat,7.9,g,per_100g
8.png,Carbohydrate,41,g,per_bar_60g
8.png,Carbohydrate,69,g,per_100g
8.png,Sugars,21,g,per_bar_60g
8.png,Sugars,35,g,per_100g
8.png,Fibre,1.9,g,per_bar_60g
8.png,Fibre,3.2,g,per_100g
8.png,Sodium,42,mg,per_bar_60g
8.png,Sodium,72,mg,per_100g
9.jpeg,Zinc,5,mg,pro 1 Tablette
9.jpeg,Zinc,10,mg,pro 2 Tabletten
9.jpeg,Vitamin C,30,mg,pro 1 Tablette
9.jpeg,Vitamin C,60,mg,pro 2 Tabletten
12.png,Energy,547 kJ,kJ,per_100ml
12.png,Energy,129 kcal,kcal,per_100ml
12.png,Fat,0.0g,g,per_100ml
12.png,Carbohydrate,32 g,g,per_100ml
12.png,Sugars,1.1 g,g,per_100ml
12.png,Protein,0.1 g,g,per_100ml
12.png,Salt,0.6 g,g,per_100ml
12.png,Energy,60 kJ,kJ,per_serving
12.png,Energy,77 kcal,kcal,per_serving
12.png,Fat,0.0g,g,per_serving
12.png,Carbohydrate,19 g,g,per_serving
12.png,Sugars,0.7 g,g,per_serving
12.png,Protein,0.0g,g,per_serving
12.png,Salt,0.4 g,g,per_serving
15.png,Sugars,12.5,g,per_100g
15.png,Fat,0.7,g,per_100g
15.png,Carbohydrate,13.1,g,per_100g
15.png,Iron,3571,mg,per_serving
15.png,Sodium,5962,mg,per_serving
15.png,Potassium,84,mg,per_serving
15.png,Magnesium,670,mg,per_serving
15.png,Chloride,4762,mg,per_serving
15.png,Calcium,1428,mg,per_serving
15.png,Protein,28.1,g,per_serving
