image_id,n_ground_truth,n_predicted,nutrient_matches,qty_acc_pct,unit_acc_pct,ctx_acc_pct,f1_3field_pct,f1_4field_pct,tp,fp,fn,precision,recall,f1
112.jpeg,1,1,1,100,100,0,100,0,0,1,1,0.0,0.0,0.0
78.jpeg,2,2,2,50,0,100,0,0,0,2,2,0.0,0.0,0.0
118.jpeg,20,17,13,8,92,54,8,8,1,16,19,0.0588,0.05,0.08
119.jpeg,20,14,13,31,92,69,31,23,3,11,17,0.2143,0.15,0.23
121.jpeg,20,9,8,75,75,75,50,25,2,7,18,0.2222,0.1,0.25
68.jpeg,34,13,11,36,100,82,36,27,3,10,31,0.2308,0.0882,0.27
20.png,48,24,24,38,79,92,33,29,7,17,41,0.2917,0.1458,0.29
59.png,28,26,23,52,74,74,52,30,7,19,21,0.2692,0.25,0.3
4.png,8,6,6,33,100,83,33,33,2,4,6,0.3333,0.25,0.33
88.png,16,13,9,44,100,78,44,33,3,10,13,0.2308,0.1875,0.33
