image_id,n_ground_truth,n_predicted,nutrient_matches,qty_acc_pct,unit_acc_pct,ctx_acc_pct,f1_3field_pct,f1_4field_pct,tp,fp,fn,precision,recall,f1
1.png,5,5,4,50,100,100,50,50,2,3,3,0.4,0.4,0.5
101.png,11,10,10,100,100,100,100,100,10,0,1,1.0,0.9091,1.0
102.png,18,16,14,64,100,64,64,43,6,10,12,0.375,0.3333,0.43
103.jpeg,18,9,9,89,100,100,89,89,8,1,10,0.8889,0.4444,0.89
104.jpeg,18,11,11,100,100,100,100,100,11,0,7,1.0,0.6111,1.0
105.png,18,10,10,60,100,70,60,60,6,4,12,0.6,0.3333,0.6
106.png,2,2,2,100,100,100,100,100,2,0,0,1.0,1.0,1.0
107.png,10,10,10,40,50,100,40,40,4,6,6,0.4,0.4,0.4
108.jpeg,11,11,11,82,100,55,82,55,6,5,5,0.5455,0.5455,0.55
109.jpeg,9,8,8,88,100,100,88,88,7,1,2,0.875,0.7778,0.88
110.jpeg,6,3,3,100,100,100,100,100,3,0,3,1.0,0.5,1.0
111.jpeg,1,1,1,100,100,100,100,100,1,0,0,1.0,1.0,1.0
112.jpeg,1,1,1,100,100,0,100,0,0,1,1,0.0,0.0,0.0
113.jpeg,20,15,15,67,87,100,53,53,8,7,12,0.5333,0.4,0.53
114.jpeg,20,25,18,78,94,78,72,61,11,14,9,0.44,0.55,0.61
115.png,9,9,7,57,100,100,57,57,4,5,5,0.4444,0.4444,0.57
116.jpeg,18,15,15,80,80,93,73,73,11,4,7,0.7333,0.6111,0.73
117.jpeg,9,6,6,100,83,100,83,83,5,1,4,0.8333,0.5556,0.83
118.jpeg,20,17,13,8,92,54,8,8,1,16,19,0.0588,0.05,0.08
119.jpeg,20,14,13,31,92,69,31,23,3,11,17,0.2143,0.15,0.23
12.png,16,12,12,100,100,100,100,100,12,0,4,1.0,0.75,1.0
120.jpeg,26,30,25,84,84,56,76,40,10,20,16,0.3333,0.3846,0.4
121.jpeg,20,9,8,75,75,75,50,25,2,7,18,0.2222,0.1,0.25
15.png,42,7,7,57,86,71,57,43,3,4,39,0.4286,0.0714,0.43
17.png,4,4,3,100,100,100,100,100,3,1,1,0.75,0.75,1.0
2.png,16,8,8,100,75,88,75,75,6,2,10,0.75,0.375,0.75
20.png,48,24,24,38,79,92,33,29,7,17,41,0.2917,0.1458,0.29
201.jpeg,16,11,8,88,100,50,88,50,4,7,12,0.3636,0.25,0.5
26.png,8,6,6,50,100,100,50,50,3,3,5,0.5,0.375,0.5
27.png,13,12,12,100,100,100,100,100,12,0,1,1.0,0.9231,1.0
30.png,18,8,8,100,88,100,88,88,7,1,11,0.875,0.3889,0.88
33.png,26,24,24,100,92,100,92,92,22,2,4,0.9167,0.8462,0.92
34.png,40,27,23,100,100,100,96,96,22,5,18,0.8148,0.55,0.96
35.jpeg,4,2,2,100,100,100,100,100,2,0,2,1.0,0.5,1.0
4.png,8,6,6,33,100,83,33,33,2,4,6,0.3333,0.25,0.33
41.png,8,7,7,100,86,100,86,86,6,1,2,0.8571,0.75,0.86
42.png,18,18,16,88,38,88,38,38,6,12,12,0.3333,0.3333,0.38
45_1.png,18,16,16,100,88,94,88,88,14,2,4,0.875,0.7778,0.88
45_2.png,8,7,7,100,100,71,100,71,5,2,3,0.7143,0.625,0.71
51.png,18,13,11,100,82,91,73,73,8,5,10,0.6154,0.4444,0.73
53.png,18,10,10,100,90,80,90,80,8,2,10,0.8,0.4444,0.8
56.jpeg,10,4,4,75,100,75,75,75,3,1,7,0.75,0.3,0.75
57.jpeg,10,9,7,100,100,86,100,86,6,3,4,0.6667,0.6,0.86
59.png,28,26,23,52,74,74,52,30,7,19,21,0.2692,0.25,0.3
6.png,6,6,6,100,100,100,100,100,6,0,0,1.0,1.0,1.0
61.png,22,21,16,75,94,50,75,38,6,15,16,0.2857,0.2727,0.38
63.png,22,20,20,75,95,100,75,75,15,5,7,0.75,0.6818,0.75
64.png,8,8,8,100,100,88,100,88,7,1,1,0.875,0.875,0.88
67.jpeg,4,1,1,100,100,100,100,100,1,0,3,1.0,0.25,1.0
68.jpeg,34,13,11,36,100,82,36,27,3,10,31,0.2308,0.0882,0.27
78.jpeg,2,2,2,50,0,100,0,0,0,2,2,0.0,0.0,0.0
8.png,18,16,16,94,88,94,81,81,13,3,5,0.8125,0.7222,0.81
82.jpeg,12,5,5,100,80,60,60,60,3,2,9,0.6,0.25,0.6
88.png,16,13,9,44,100,78,44,33,3,10,13,0.2308,0.1875,0.33
9.jpeg,4,3,3,100,100,67,100,67,2,1,2,0.6667,0.5,0.67
90.png,17,8,8,88,88,88,88,88,7,1,10,0.875,0.4118,0.88
91.png,16,14,14,43,93,93,36,36,5,9,11,0.3571,0.3125,0.36
