image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full3f_pct,full4f_pct
1.png,5,5,4,50,100,100,50,50
101.png,11,10,10,100,100,100,100,100
102.png,18,16,14,64,100,64,64,43
103.jpeg,18,9,9,89,100,100,89,89
104.jpeg,18,11,11,100,100,100,100,100
105.png,18,10,10,60,100,70,60,60
106.png,2,2,2,100,100,100,100,100
107.png,10,10,10,40,50,100,40,40
108.jpeg,11,11,11,82,100,55,82,55
109.jpeg,9,8,8,88,100,100,88,88
110.jpeg,6,3,3,100,100,100,100,100
111.jpeg,1,1,1,100,100,100,100,100
112.jpeg,1,1,1,100,100,0,100,0
113.jpeg,20,15,15,67,87,100,53,53
114.jpeg,20,25,18,78,94,78,72,61
115.png,9,9,7,57,100,100,57,57
116.jpeg,18,15,15,80,80,93,73,73
117.jpeg,9,6,6,100,83,100,83,83
118.jpeg,20,17,13,8,92,54,8,8
119.jpeg,20,14,13,31,92,69,31,23
12.png,16,12,12,100,100,100,100,100
120.jpeg,26,30,25,84,84,56,76,40
121.jpeg,20,9,8,75,75,75,50,25
15.png,42,7,7,57,86,71,57,43
17.png,4,4,3,100,100,100,100,100
2.png,16,8,8,100,75,88,75,75
20.png,48,24,24,38,79,92,33,29
201.jpeg,16,11,8,88,100,50,88,50
26.png,8,6,6,50,100,100,50,50
27.png,13,12,12,100,100,100,100,100
30.png,18,8,8,100,88,100,88,88
33.png,26,24,24,100,92,100,92,92
34.png,40,27,23,100,100,100,96,96
35.jpeg,4,2,2,100,100,100,100,100
4.png,8,6,6,33,100,83,33,33
41.png,8,7,7,100,86,100,86,86
42.png,18,18,16,88,38,88,38,38
45_1.png,18,16,16,100,88,94,88,88
45_2.png,8,7,7,100,100,71,100,71
51.png,18,13,11,100,82,91,73,73
53.png,18,10,10,100,90,80,90,80
56.jpeg,10,4,4,75,100,75,75,75
57.jpeg,10,9,7,100,100,86,100,86
59.png,28,26,23,52,74,74,52,30
6.png,6,6,6,100,100,100,100,100
61.png,22,21,16,75,94,50,75,38
63.png,22,20,20,75,95,100,75,75
64.png,8,8,8,100,100,88,100,88
67.jpeg,4,1,1,100,100,100,100,100
68.jpeg,34,13,11,36,100,82,36,27
78.jpeg,2,2,2,50,0,100,0,0
8.png,18,16,16,94,88,94,81,81
82.jpeg,12,5,5,100,80,60,60,60
88.png,16,13,9,44,100,78,44,33
9.jpeg,4,3,3,100,100,67,100,67
90.png,17,8,8,88,88,88,88,88
91.png,16,14,14,43,93,93,36,36
