image_id,match_status,predicted_nutrient,predicted_quantity,predicted_unit,predicted_context,gt_nutrient,gt_quantity,gt_unit,gt_context
1.png,TP,Magnesiumsalze der Citronensäure,420,mg,per_daily_dose,Magnesiumsalze der Citronensäure,,mg,per_daily_dose
1.png,TP,Magnesium,400,mg,per_daily_dose,Magnesiumoxid,,mg,per_daily_dose
1.png,TP,Magnesiumbisglycinat,333,mg,per_daily_dose,Magnesiumbisglycinat,,mg,per_daily_dose
1.png,TP,Magnesiummalat,350,mg,per_daily_dose,Magnesiummalat,,mg,per_daily_dose
101.png,TP,Energy,1625,kJ,per_100g,Energy,,kJ,per_100g
101.png,TP,Fat,0.8,g,per_100g,Fat,,g,per_100g
101.png,TP,Saturated Fats,<0.1,g,per_100g,Saturated Fats,,g,per_100g
101.png,TP,Carbohydrate,86.1,g,per_100g,Carbohydrate,,g,per_100g
101.png,TP,Sugars,8.9,g,per_100g,Sugars,,g,per_100g
101.png,TP,Fibre,3.0,g,per_100g,Fibre,,g,per_100g
101.png,TP,Protein,6.3,g,per_100g,Protein,,g,per_100g
101.png,TP,Salt,0.09,g,per_100g,Salt,,g,per_100g
101.png,TP,Vitamin B1,0.44,mg,per_100g,Vitamin B1,,mg,per_100g
101.png,TP,Sodium,36,mg,per_100g,Sodium,,mg,per_100g
102.png,TP,Energy,1502,kJ,per_100g,Energy,,kJ,per_100g
102.png,TP,Energy,356,kcal,per_100g,Energy,,kcal,per_100g
102.png,TP,Fat,7.7,g,per_100g,Fat,,g,per_100g
102.png,TP,Saturated Fats,1.1,g,per_100g,Saturated Fats,,g,per_100g
102.png,TP,Fibre,5.1,g,per_100g,Fibre,,g,per_100g
102.png,TP,Salt,0.14,g,per_100g,Salt,,g,per_100g
102.png,TP,Energy,188,kJ,per_100g,Energy,,kJ,per_serving (1 Riegel* (12.5 g))
102.png,TP,Fat,1.0,g,per_100g,Fat,,g,per_serving (1 Riegel* (12.5 g))
102.png,TP,Saturated Fats,0.1,g,per_100g,Saturated Fats,,g,per_serving (1 Riegel* (12.5 g))
102.png,TP,Carbohydrate,31,g,per_100g,Carbohydrate,,g,per_100g
102.png,TP,Sugars,0.6,g,per_100g,Sugars,,g,per_100g
102.png,TP,Protein,0.02,g,per_100g,Protein,,g,per_100g
102.png,TP,Carbohydrate,3.9,g,per_100g,Carbohydrate,,g,per_serving (1 Riegel* (12.5 g))
102.png,TP,Fibre,0.7,g,per_100g,Fibre,,g,per_serving (1 Riegel* (12.5 g))
103.jpeg,TP,Energy,1383,kJ,per_100g,Energy,,kJ,per_100g
103.jpeg,TP,Energy,328,kcal,per_100g,Energy,,kcal,per_100g
103.jpeg,TP,Fat,3.7,g,per_100g,Fat,,g,per_100g
103.jpeg,TP,Saturated Fats,0.4,g,per_100g,Saturated Fats,,g,per_100g
103.jpeg,TP,Carbohydrate,51,g,per_100g,Carbohydrate,,g,per_100g
103.jpeg,TP,Sugars,51,g,per_100g,Sugars,,g,per_100g
103.jpeg,TP,Fibre,16,g,per_100g,Fibre,,g,per_100g
103.jpeg,TP,Salt,0,g,per_100g,Salt,,g,per_100g
103.jpeg,TP,Protein,66.0,g,per_100g,Protein,,g,per_100g
104.jpeg,TP,Energy,1528,kJ,per_100g,Energy,,kJ,per_100g
104.jpeg,TP,Fat,2.6,g,per_100g,Fat,,g,per_100g
104.jpeg,TP,Saturated Fats,0.6,g,per_100g,Saturated Fats,,g,per_100g
104.jpeg,TP,Carbohydrate,72,g,per_100g,Carbohydrate,,g,per_100g
104.jpeg,TP,Sugars,72,g,per_100g,Sugars,,g,per_100g
104.jpeg,TP,Fibre,10,g,per_100g,Fibre,,g,per_100g
104.jpeg,TP,Salt,0.1,g,per_100g,Salt,,g,per_100g
104.jpeg,TP,Energy,214,kJ,per_serving,Energy,,kJ,per_serving (pro Port. (14g))
104.jpeg,TP,Fat,0,g,per_serving,Fat,,g,per_serving (pro Port. (14g))
