image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full3f_pct,full4f_pct
1.png,5,8,3,100,100,100,100,100
101.png,11,9,9,89,89,100,89,89
102.png,18,17,13,62,92,62,62,62
103.jpeg,18,12,12,75,100,92,75,75
104.jpeg,18,19,12,83,92,83,83,83
105.png,18,12,10,60,100,60,60,50
106.png,2,5,2,100,50,0,50,0
107.png,10,16,10,90,50,100,50,50
108.jpeg,11,18,10,70,70,100,70,70
109.jpeg,9,12,9,100,100,100,100,100
110.jpeg,6,6,6,100,100,100,100,100
111.jpeg,1,2,1,100,0,0,0,0
112.jpeg,1,2,1,100,0,0,0,0
113.jpeg,20,27,17,53,88,88,53,53
114.jpeg,20,25,13,77,100,77,77,77
115.png,9,12,8,50,75,100,50,50
116.jpeg,18,14,12,100,100,100,100,100
117.jpeg,9,5,5,40,40,100,20,20
118.jpeg,20,16,11,9,100,45,0,0
119.jpeg,20,18,10,40,100,70,30,30
12.png,16,8,8,75,88,100,75,75
120.jpeg,26,52,24,96,62,100,58,58
121.jpeg,20,16,10,90,100,100,90,90
15.png,42,9,9,100,100,100,100,100
17.png,4,7,4,100,75,100,75,75
2.png,16,14,13,69,69,54,54,31
20.png,48,53,36,42,58,86,31,31
201.jpeg,16,4,4,100,100,50,100,50
26.png,8,11,6,83,100,100,67,67
27.png,13,5,5,0,40,100,0,0
30.png,18,12,10,100,70,100,70,70
33.png,26,20,20,100,90,100,90,90
34.png,40,42,34,100,100,100,100,100
35.jpeg,4,2,2,100,100,100,100,100
4.png,8,13,6,83,100,100,83,83
41.png,8,6,6,67,83,100,67,67
42.png,18,9,9,100,56,89,56,56
45_1.png,18,11,11,64,91,100,55,55
45_2.png,8,6,6,67,67,100,67,67
51.png,18,11,6,67,100,50,0,0
53.png,18,11,10,100,80,40,0,0
56.jpeg,10,3,2,0,100,50,0,0
57.jpeg,10,9,4,75,100,50,75,25
59.png,28,25,19,68,68,100,63,63
6.png,6,6,6,100,100,100,100,100
61.png,22,20,19,100,100,100,100,100
63.png,22,20,17,94,100,94,94,94
64.png,8,8,8,100,75,100,75,75
67.jpeg,4,0,0,0,0,0,0,0
68.jpeg,34,0,0,0,0,0,0,0
78.jpeg,2,2,2,0,0,0,0,0
8.png,18,13,13,15,69,100,8,8
82.jpeg,12,6,6,17,33,67,0,0
88.png,16,17,10,90,100,100,90,90
9.jpeg,4,4,3,100,100,0,100,0
90.png,17,18,16,81,75,81,69,62
91.png,16,23,14,100,86,100,86,86
