image_id,nutrient,quantity,unit,context
1.png,Magnesiumoxid,400,mg,per_daily_dose
1.png,Magnesiumoxid,420,mg,per_daily_dose
1.png,Magnesiumoxid,350,mg,per_daily_dose
1.png,Magnesiumbisglycinat,333,mg,per_daily_dose
1.png,Magnesiumbisglycinat,400,mg,per_daily_dose
1.png,Magnesiumbisglycinat,350,mg,per_daily_dose
1.png,Magnesiummalat,333,mg,per_daily_dose
1.png,Magnesiummalat,350,mg,per_daily_dose
2.png,Energy,1195,,per_100g
2.png,Energy,837,,per_daily_dose
2.png,Fat,1616,,per_100g
2.png,Saturated Fats,1616,,per_100g
2.png,Saturated Fats,33,g,per_100g
2.png,Saturated Fats,25,g,per_daily_dose
2.png,Carbohydrate,70,g,per_100g
2.png,Carbohydrate,50,g,per_daily_dose
2.png,Carbohydrate,25,g,per_daily_dose
2.png,Sugars,33,g,per_100g
2.png,Sugars,25,g,per_daily_dose
2.png,Protein,0,g,per_100g
2.png,Salt,0.43,g,per_100g
2.png,Salt,0.30,g,per_daily_dose
4.png,Fat,0,g,per_100g
4.png,Saturated Fats,0,g,per_100g
4.png,Saturated Fats,56,g,per_100g
4.png,Carbohydrate,56,g,per_100g
4.png,Carbohydrate,6.7,g,per_100g
4.png,Sugars,6.7,g,per_100g
4.png,Protein,,,
4.png,proteines,,,
4.png,proteins,,,
4.png,PROTEINES,,,
4.png,Protein,0.12,g,per_100g
4.png,Salt,0.12,g,per_100g
4.png,Salt,,,
6.png,Vitamin C,28,mg,per_serving
6.png,Magnesium,56,mg,per_serving
6.png,Potassium,70,mg,per_serving
6.png,Calcium,9,mg,per_serving
6.png,Sodium,200,mg,per_serving
6.png,Green Tea,1,mg,per_serving
8.png,Energy,2.2,g,per_serving
8.png,Protein,2.2,g,per_serving
8.png,Protein,3.7,,per_100g
8.png,Saturated Fats,21271,g,per_serving
8.png,Saturated Fats,2823232,g,per_100g
8.png,Carbohydrate,21271,g,per_serving
8.png,Carbohydrate,2823232,g,per_100g
8.png,Sugars,21271,g,per_serving
8.png,Sugars,2823232,g,per_100g
8.png,Fibre,21271,g,per_serving
8.png,Fibre,2823232,g,per_100g
8.png,Sodium,21271,g,per_serving
8.png,Sodium,2823232,g,per_100g
9.jpeg,Vitamin Czuachten,,,
9.jpeg,Zinc,5,mg,per_daily_dose
9.jpeg,Vitamin C,30,mg,per_daily_dose
9.jpeg,Vitamin C,60,mg,per_serving
12.png,Energy,547,kj,per_100ml
12.png,Energy,328,kj,per_serving
12.png,Carbohydrate,32,g,per_100ml
12.png,Carbohydrate,19,g,per_serving
12.png,Sugars,77,kcal,per_serving
12.png,Sugars,0.0,g,per_100ml
12.png,Protein,0.1,g,per_100ml
12.png,Protein,0.0,g,per_serving
15.png,Chloride,4762,mg,per_100g
15.png,Chloride,200,mg,per_serving
15.png,Chloride,400,mg,per_daily_dose
15.png,Calcium,1428,mg,per_100g
15.png,Calcium,60,mg,per_serving
15.png,Calcium,120,mg,per_daily_dose
15.png,Magnesium,670,mg,per_100g
15.png,Magnesium,28.1,mg,per_serving
15.png,Magnesium,56.3,mg,per_daily_dose
17.png,Caffeine,100,mg,per_serving
17.png,Niacin,2.4,mg ne,per_serving
17.png,Niacin,15,mg ne,per_serving
17.png,Vitamin B6,0.22,mg,per_serving
17.png,Vitamin B6,15,mg,per_serving
17.png,Vitamin B12,0.38,g,per_serving
17.png,Vitamin B12,15,g,per_serving
20.png,Carbohydrate,78.1,g,per_100g
20.png,Carbohydrate,100,mg,per_daily_dose
20.png,Carbohydrate,<0.1,g,per_daily_dose
20.png,Sodium,667,mg,per_100g
20.png,Sodium,<0.5,g,per_100g
20.png,Sodium,100,mg,per_daily_dose
20.png,Potassium,667,mg,per_100g
20.png,Potassium,120,mg,per_daily_dose
20.png,Potassium,45,mg,per_daily_dose
20.png,Calcium,800,mg,per_100g
20.png,Calcium,45,mg,per_daily_dose
20.png,Calcium,756,mg,per_daily_dose
20.png,Magnesium,800,mg,per_100g
20.png,Magnesium,300,mg,per_100g
20.png,Magnesium,120,mg,per_daily_dose
20.png,Chloride,667,mg,per_100g
20.png,Chloride,120,mg,per_daily_dose
20.png,Chloride,360,mg,per_daily_dose
20.png,Phosphorus,667,mg,per_100g
20.png,Phosphorus,800,mg,per_100g
20.png,Phosphorus,33,g,per_daily_dose
20.png,Selenium,800,mg,per_100g
20.png,Selenium,200,g,per_100g
20.png,Selenium,37.5,mg,per_daily_dose
20.png,Caffeine,200,g,per_100g
20.png,Caffeine,37.5,mg,per_daily_dose
20.png,Vitamin C,250,mg,per_100g
20.png,Vitamin C,10,mg a-te,per_daily_dose
20.png,Vitamin C,22576,mg,per_daily_dose
20.png,Niacin,800,mg,per_100g
20.png,Niacin,10,mg a-te,per_daily_dose
20.png,Niacin,6,mg,per_daily_dose
20.png,Vitamin E,240,mg ne,per_100g
20.png,Vitamin E,1,mg,per_daily_dose
20.png,Vitamin E,1256,mg,per_daily_dose
20.png,Pantothenic Acid,40,mg,per_100g
20.png,Pantothenic Acid,1.6,mg,per_daily_dose
20.png,Pantothenic Acid,66706,mg,per_daily_dose
20.png,Vitamin B6,40,mg,per_100g
20.png,Vitamin B6,200,g,per_daily_dose
20.png,Vitamin B6,1606,g,per_daily_dose
20.png,Vitamin B1,13.3,mg,per_100g
20.png,Vitamin B1,200,g,per_daily_dose
20.png,Vitamin B1,66706,g,per_daily_dose
20.png,Vitamin B1,10.7,mg,per_100g
20.png,Vitamin B1,1,g,per_daily_dose
20.png,Folic Acid,9.3,mg,per_100g
20.png,Folic Acid,1333,g,per_100g
20.png,Folic Acid,153,g,per_daily_dose
20.png,Vitamin B12,1333,g,per_100g
20.png,Vitamin B12,6.7,g,per_100g
20.png,Biotin,6.7,g,per_100g
20.png,Vitamin A,1000,g,per_100g
26.png,Fat,0,g,per_100g
26.png,Fat,2,g,
26.png,OFWHICH,0,g,per_100g
26.png,Saturated Fats,0,g,per_100g
26.png,Saturated Fats,56,g,per_100g
26.png,Carbohydrate,7,g,per_100g
26.png,OFWHICHSUGARS,7,g,per_100g
26.png,OFWHICHSUGARS,3.5,g,per_100g
26.png,Protein,0.11,g,per_100g
26.png,Protein,3.5,g,per_100g
26.png,Salt,0.11,g,per_100g
27.png,Calcium,<0.5,g,per_100g
27.png,Magnesium,4000,mg,per_100g
27.png,Zinc,2000,mg,per_100g
27.png,Chromium,15,mg,per_100g
27.png,Vitamin D,251,g,per_100g
30.png,Protein,907,kj/kcal,per_serving
30.png,Protein,2.7,g,per_serving
30.png,Protein,4.8,g,per_100g
30.png,Carbohydrate,39,g,per_serving
30.png,Carbohydrate,71,,per_100g
30.png,Sugars,39,g,per_serving
30.png,Sugars,19,g,per_serving
30.png,Sugars,35,g,per_100g
30.png,Fibre,2.0,,per_serving
30.png,Fibre,3.6,,per_100g
30.png,Sodium,70,mg,per_serving
30.png,Sodium,130,mg,per_100g
33.png,Energy,1660,,per_100g
33.png,Energy,1245,g,per_serving
33.png,Fat,0,g,per_100g
33.png,Saturated Fats,0,g,per_100g
33.png,Carbohydrate,97,g,per_100g
33.png,Carbohydrate,73,g,per_serving
33.png,Sugars,42,g,per_serving
33.png,Protein,0,g,per_100g
33.png,Salt,0.53,g,per_100g
33.png,Salt,0.40,g,per_serving
33.png,Sodium,210,mg,per_100g
33.png,Sodium,158,mg,per_serving
33.png,Calcium,35,mg,per_100g
33.png,Calcium,26,mg,per_serving
33.png,Magnesium,25,mg,per_100g
33.png,Magnesium,19,mg,per_serving
33.png,Potassium,55,mg,per_100g
33.png,Potassium,41,mg,per_serving
33.png,Chloride,140,mg,per_100g
33.png,Chloride,105,mg,per_serving
34.png,Fat,0,g,per_100g
34.png,Carbohydrate,80,g,per_100g
34.png,Carbohydrate,20,g,per_serving
34.png,Sugars,77,g,per_100g
34.png,Sugars,19,g,per_serving
34.png,Fibre,5,g,per_100g
34.png,Fibre,1.2,g,per_serving
34.png,Vitamin C,0,g,per_100g
34.png,Protein,0,g,per_100g
34.png,Salt,3.5,g,per_100g
34.png,Salt,0.9,g,per_serving
34.png,minerals,3.5,g,per_100g
34.png,minerals,400,mg,per_100g
34.png,minerals,0,g,per_100g
34.png,Minerals,,,per_100g
34.png,Calcium,400,mg,per_100g
34.png,Calcium,100,mg,per_serving
34.png,Potassium,400,mg,per_100g
34.png,Potassium,100,mg,per_serving
34.png,Magnesium,100,mg,per_100g
34.png,Magnesium,25,mg,per_serving
34.png,Zinc,2.6,mg,per_100g
34.png,Zinc,0.7,mg,per_serving
34.png,vitamins,2.6,mg,per_100g
34.png,vitamins,72,mg,per_100g
34.png,Vitamins,,,per_100g
34.png,Vitamin C,72,mg,per_100g
34.png,Vitamin C,18,mg,per_serving
34.png,Niacin,12,mg,per_100g
34.png,Niacin,3.0,mg,per_serving
34.png,Vitamin B6,3.2,mg,per_100g
34.png,Vitamin B6,0.8,mg,per_serving
34.png,Pantothenic Acid,2.9,mg,per_100g
34.png,Pantothenic Acid,0.7,mg,per_serving
34.png,Vitamin B1,0.8,mg,per_100g
34.png,Vitamin B1,0.2,mg,per_serving
34.png,Vitamin B2,0.8,mg,per_100g
34.png,Vitamin B2,0.2,mg,per_serving
34.png,Folic Acid,34,ug,per_100g
34.png,Folic Acid,8.4,ug,per_serving
34.png,Vitamin B12,3.5,ug,per_100g
34.png,Vitamin B12,0.9,ug,per_serving
35.jpeg,Magnesium,4.7,g,per_100g
35.jpeg,Vitamin C,2.1,g,per_100g
41.png,Energy,0,g,per_100g
41.png,Fat,0,g,per_100g
41.png,Saturated Fats,0,g,per_100g
41.png,Carbohydrate,16156,g,per_100g
41.png,Protein,0,g,per_100g
41.png,Salt,0.10,g,per_100g
42.png,Protein,0,,per_serving
42.png,Protein,0.1,,per_100g
42.png,Fat,0,g,per_100g
42.png,Saturated Fats,0,g,per_100g
42.png,Carbohydrate,94,,per_100g
42.png,Sugars,38,g,per_100g
42.png,Fibre,0,,per_100g
42.png,Sodium,240,mg,per_serving
42.png,Sodium,500,mg,per_100g
51.png,CarbohydrateKohlenhydrateGlucidesKoolhydraten,84,g,per_100g
51.png,CarbohydrateKohlenhydrateGlucidesKoolhydraten,<0.5,g,
51.png,CarbohydrateKohlenhydrateGlucidesKoolhydraten,50,g,
51.png,ProteinEiweiBProtéinesElwitten,6.7,g,per_100g
51.png,ProteinEiweiBProtéinesElwitten,62,g,per_100g
51.png,ProteinEiweiBProtéinesElwitten,37,g,
51.png,SaltSalzSelZout,0.13,g,per_100g
51.png,SaltSalzSelZout,6.7,g,per_100g
51.png,SaltSalzSelZout,4.0,g,
51.png,Vitamin B1,0.13,g,per_100g
51.png,Vitamin B1,0.08,g,
53.png,Energy,1541,,per_100g
53.png,Energy,925,,
53.png,CarbohydrateKohlenhydrateGlucidesKoolhydraten,84,g,per_100g
53.png,CarbohydrateKohlenhydrateGlucidesKoolhydraten,50,g,
53.png,CarbohydrateKohlenhydrateGlucidesKoolhydraten,37,g,
53.png,ProteinEiweiBProteinesEiwitten,6.7,g,per_100g
53.png,ProteinEiweiBProteinesEiwitten,4.0,g,
53.png,SaltSalzSelZout,0.13,g,per_100g
53.png,SaltSalzSelZout,0.08,g,
53.png,Vitamin B6Vitamine B6,0.35,mg,
53.png,Vitamin B6Vitamine B6,0.21,mg,
56.jpeg,Fat,3.67,g,per_100g
56.jpeg,Fat,0.228,g,
56.jpeg,Fat,0.268,g,
57.jpeg,Eineid,1604,,per_100g
57.jpeg,Eineid,96.2,,per_100g
57.jpeg,Eineid,4.99,,per_100g
57.jpeg,proteines,83,g,per_100g
57.jpeg,proteines,0.228,g,per_100g
57.jpeg,proteines,4.99,g,per_100g
57.jpeg,Fat,3.67,g,per_100g
57.jpeg,Fat,43,g,per_100g
57.jpeg,Fat,0.26,g,per_100g
59.png,Carbohydrate,66.6,g,per_100g
59.png,Carbohydrate,13.3,g,per_daily_dose
59.png,Carbohydrate,0.14,g,per_daily_dose
59.png,Fructose,64.4,g,per_100g
59.png,Fructose,12.7,g,per_daily_dose
59.png,Fructose,12.9,g,per_daily_dose
59.png,Fat,0.3,g,per_100g
59.png,Fat,<0.1,g,per_daily_dose
59.png,Fat,12.7,g,per_daily_dose
59.png,Saturated Fats,<0.3,g,per_100g
59.png,Saturated Fats,<0.1,g,per_daily_dose
59.png,Fibre,25,g,per_100g
59.png,Fibre,5,g,per_daily_dose
59.png,Sodium,<0.1,g,per_100g
59.png,Sodium,25,g,per_100g
59.png,Sodium,<0.02,g,per_daily_dose
59.png,Selenium,<0.1,g,per_100g
59.png,Selenium,<0.02,g,per_daily_dose
