image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full3f_pct,full4f_pct
1.png,5,7,4,100,100,100,100,100
101.png,11,12,11,91,82,100,82,82
102.png,18,22,13,77,85,62,69,54
103.jpeg,18,31,17,59,82,53,47,35
104.jpeg,18,28,15,73,67,53,53,40
105.png,18,18,13,69,85,54,54,46
106.png,2,7,2,100,50,0,50,0
107.png,10,16,10,80,50,100,50,50
108.jpeg,11,18,10,70,70,100,70,70
109.jpeg,9,12,9,100,89,100,89,89
110.jpeg,6,4,4,100,100,50,100,50
111.jpeg,1,2,1,100,0,0,0,0
112.jpeg,1,2,1,100,0,0,0,0
113.jpeg,20,22,14,36,79,43,36,0
114.jpeg,20,19,15,60,87,47,53,13
115.png,9,16,8,88,62,100,62,62
116.jpeg,18,12,12,100,100,50,100,50
117.jpeg,9,8,7,57,14,100,14,14
118.jpeg,20,11,10,0,90,60,0,0
119.jpeg,20,11,9,0,89,56,0,0
12.png,16,15,11,82,82,55,73,36
120.jpeg,26,60,22,86,55,68,45,36
121.jpeg,20,22,11,64,82,55,64,27
15.png,42,5,4,0,0,100,0,0
17.png,4,7,4,100,75,100,75,75
2.png,16,11,11,73,64,73,64,36
20.png,48,68,39,49,51,54,21,21
201.jpeg,16,14,7,100,86,0,86,0
26.png,8,7,6,17,67,100,17,17
27.png,13,21,12,75,67,100,25,25
30.png,18,14,12,100,50,50,50,25
33.png,26,32,23,74,91,57,74,48
34.png,40,63,39,62,85,51,49,41
35.jpeg,4,5,3,67,67,67,67,67
4.png,8,31,7,71,86,100,71,71
41.png,8,7,6,67,83,100,67,67
42.png,18,9,9,100,56,67,56,44
45_1.png,18,10,10,70,70,50,60,40
45_2.png,8,7,6,67,67,100,67,67
51.png,18,17,11,55,82,64,0,0
53.png,18,16,13,85,85,62,0,0
56.jpeg,10,6,4,50,100,50,50,50
57.jpeg,10,12,4,50,100,50,50,25
59.png,28,38,25,72,68,56,48,24
6.png,6,6,6,100,100,100,100,100
61.png,22,25,19,84,89,53,79,37
63.png,22,23,19,95,89,53,74,42
64.png,8,8,8,100,75,100,75,75
67.jpeg,4,0,0,0,0,0,0,0
68.jpeg,34,13,2,0,100,50,0,0
78.jpeg,2,9,2,0,0,0,0,0
8.png,18,12,11,36,36,27,9,0
82.jpeg,12,7,5,20,40,20,0,0
88.png,16,13,9,78,100,44,78,22
9.jpeg,4,15,4,75,100,50,75,25
90.png,17,20,16,75,75,50,62,38
91.png,16,23,15,87,80,47,73,33
