image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full3f_pct,full4f_pct
1.png,5,4,3,100,100,100,100,100
101.png,11,9,9,89,89,100,89,89
102.png,18,21,13,77,85,62,69,54
103.jpeg,18,17,14,57,86,50,50,36
104.jpeg,18,24,12,67,75,50,58,42
105.png,18,12,10,60,90,60,50,50
106.png,2,4,2,100,50,0,50,0
107.png,10,16,10,80,50,100,50,50
108.jpeg,11,18,10,70,70,100,70,70
109.jpeg,9,12,9,100,89,100,89,89
110.jpeg,6,6,6,100,100,50,100,50
111.jpeg,1,2,1,100,0,0,0,0
112.jpeg,1,2,1,100,0,0,0,0
113.jpeg,20,25,14,36,79,43,36,0
114.jpeg,20,24,13,54,85,46,46,8
115.png,9,15,8,88,62,100,62,62
116.jpeg,18,12,12,100,100,50,100,50
117.jpeg,9,5,5,40,20,100,20,20
118.jpeg,20,11,10,0,90,60,0,0
119.jpeg,20,12,9,0,89,56,0,0
12.png,16,7,7,86,86,57,86,43
120.jpeg,26,64,24,92,54,67,50,42
121.jpeg,20,16,11,64,82,55,64,27
15.png,42,2,2,0,0,100,0,0
17.png,4,7,4,100,75,100,75,75
2.png,16,11,11,73,64,73,64,36
20.png,48,54,37,54,51,51,27,24
201.jpeg,16,4,4,100,100,0,100,0
26.png,8,7,6,17,83,100,17,17
27.png,13,8,5,60,80,100,60,60
30.png,18,10,10,100,60,50,60,30
33.png,26,29,23,74,91,57,74,48
34.png,40,64,36,58,92,50,53,44
35.jpeg,4,3,3,67,67,67,67,67
4.png,8,13,6,83,100,100,83,83
41.png,8,6,6,67,83,100,67,67
42.png,18,9,9,100,56,67,56,44
45_1.png,18,10,10,70,70,50,60,40
45_2.png,8,6,6,67,67,100,67,67
51.png,18,8,6,50,100,50,0,0
53.png,18,11,10,80,80,60,0,0
56.jpeg,10,3,2,50,100,50,50,50
57.jpeg,10,9,4,50,100,50,50,25
59.png,28,25,19,74,68,53,63,32
6.png,6,6,6,100,100,100,100,100
61.png,22,23,19,84,89,53,79,37
63.png,22,21,17,94,88,53,82,47
64.png,8,8,8,100,75,100,75,75
67.jpeg,4,0,0,0,0,0,0,0
68.jpeg,34,0,0,0,0,0,0,0
78.jpeg,2,2,2,0,0,0,0,0
8.png,18,9,9,22,33,22,11,0
82.jpeg,12,6,6,17,33,17,0,0
88.png,16,13,9,78,100,44,78,22
9.jpeg,4,7,4,75,100,50,75,25
90.png,17,19,16,75,75,50,62,38
91.png,16,24,15,87,80,47,73,33
