image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full3f_pct,full4f_pct
1.png,5,5,4,50,100,100,50,50
101.png,11,10,9,100,100,100,100,100
102.png,18,9,9,100,100,78,100,78
103.jpeg,18,9,9,89,100,89,89,78
104.jpeg,18,8,8,100,100,0,100,0
105.png,18,14,10,90,100,80,90,70
106.png,2,2,2,100,100,100,100,100
107.png,10,10,10,40,50,100,40,40
108.jpeg,11,11,11,82,100,55,82,55
109.jpeg,9,8,8,88,100,100,88,88
110.jpeg,6,3,3,100,100,100,100,100
111.jpeg,1,1,1,100,100,100,100,100
112.jpeg,1,1,1,100,100,100,100,100
113.jpeg,20,25,17,82,94,59,76,41
114.jpeg,20,24,14,57,100,93,57,50
115.png,9,8,7,57,100,100,57,57
116.jpeg,18,21,14,64,93,100,57,57
117.jpeg,9,5,5,100,100,100,100,100
118.jpeg,20,18,17,24,82,88,12,12
119.jpeg,20,18,15,27,93,47,20,20
12.png,16,12,12,100,100,100,100,100
120.jpeg,26,32,25,76,76,56,64,36
121.jpeg,20,16,14,79,86,86,71,71
15.png,42,2,2,100,100,100,100,100
17.png,4,4,3,100,100,100,100,100
2.png,16,8,8,100,75,88,75,75
20.png,48,19,18,22,83,100,22,22
201.jpeg,16,7,6,83,100,67,83,50
26.png,8,6,5,20,100,100,20,20
27.png,13,7,5,100,100,100,100,100
30.png,18,7,7,100,100,71,100,71
33.png,26,24,24,100,92,100,92,92
34.png,40,39,31,100,100,100,100,100
35.jpeg,4,2,2,100,100,100,100,100
4.png,8,9,6,83,100,100,83,83
41.png,8,7,7,100,86,100,86,86
42.png,18,14,14,93,93,100,86,86
45_1.png,18,8,8,100,100,75,100,75
45_2.png,8,6,6,100,100,100,100,100
51.png,18,8,6,100,100,83,100,83
53.png,18,8,8,100,88,100,88,88
56.jpeg,10,10,8,62,88,75,62,62
57.jpeg,10,7,6,67,100,50,67,50
59.png,28,25,14,64,71,93,64,57
6.png,6,6,6,100,100,100,100,100
61.png,22,21,16,75,94,50,75,38
63.png,22,18,18,67,89,83,61,61
64.png,8,8,8,100,100,88,100,88
67.jpeg,4,1,1,100,100,100,100,100
68.jpeg,34,11,2,0,100,0,0,0
78.jpeg,2,2,2,100,50,100,50,50
8.png,18,16,16,94,88,94,81,81
82.jpeg,12,6,6,83,83,67,50,50
88.png,16,22,9,78,100,89,78,67
9.jpeg,4,3,3,100,100,67,100,67
90.png,17,8,8,88,88,88,88,88
91.png,16,13,11,82,100,0,82,0
