image_id,gt_nutrient,pred_nutrient,gt_quantity,pred_quantity,gt_unit,pred_unit,gt_context,pred_context,nutrient_match,quantity_match,unit_match,context_match,full_match_3f,full_match_4f,eval_method,nutrient_reason,quantity_reason,unit_reason,context_reason
1.png,Magnesium (gesamt),Magnesium (gesamt),400,400,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
1.png,Magnesiumoxid,Magnesiumoxid,400,400,mg,mg,per_daily_dose,per_serving,True,True,True,False,True,False,fast,substring match,numeric match,alias match,mismatch
1.png,Magnesiumbisglycinat,Magnesiumbisglycinat,350,350,mg,mg,per_daily_dose,per_serving,True,True,True,False,True,False,fast,substring match,numeric match,alias match,mismatch
1.png,Magnesiummalat,Magnesiummalat,333,333,mg,mg,per_daily_dose,per_serving,True,True,True,False,True,False,fast,substring match,numeric match,alias match,mismatch
101.png,Energy,Energy,1625,1625,kJ,kJ,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Energy,Energy,383,383,kcal,kcal,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Fat,Fat,0.8,0.8,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Saturated Fats,Saturated Fats,< 0.1,<0.1,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Carbohydrate,Carbohydrate,86.1,86.1,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Sugars,Sugars,8.9,8.9,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Fibre,Fibre,3.0,3.0,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Protein,Protein,6.3,6.3,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Salt,Salt,0.09,0.09,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Vitamin B1,Vitamin B1,0.44,0.44,mg,mg,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.png,Sodium,Sodium,36,36,mg,mg,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.png,Energy,Energy,1502,1502,kJ,kJ,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.png,Fat,Fat,7.7,7.7,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.png,Saturated Fats,Saturated Fats,1.1,1.1,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.png,Carbohydrate,Carbohydrate,63,63,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.png,Sugars,Sugar,31,31,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.png,Protein,Protein,5.9,5.9,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.png,Salt,Salt,0.14,0.14,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.png,Energy,Energy,188,188,kJ,kJ,per_serving (1 Riegel* (12.5 g)),per_serving,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.png,Protein,Protein,0.7,0.7,g,g,per_serving (1 Riegel* (12.5 g)),per_serving,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.png,Salt,Salt,0.02,0.02,g,g,per_serving (1 Riegel* (12.5 g)),per_serving,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.png,Fat,Fat,1.0,0.1,g,g,per_serving (1 Riegel* (12.5 g)),per_serving,True,False,True,True,False,False,fast,substring match,mismatch,alias match,alias match
102.png,Saturated Fats,Saturated Fats,0.1,0.79,g,g,per_serving (1 Riegel* (12.5 g)),per_serving,True,False,True,True,False,False,fast,substring match,mismatch,alias match,alias match
102.png,Carbohydrate,Carbohydrate,7.9,3.9,g,g,per_serving (1 Riegel* (12.5 g)),per_serving,True,False,True,True,False,False,fast,substring match,mismatch,alias match,alias match
102.png,Sugars,Sugar,3.9,0.6,g,g,per_serving (1 Riegel* (12.5 g)),per_serving,True,False,True,True,False,False,fast,substring match,mismatch,alias match,alias match
103.jpeg,Energy,Energy,1383,1383,kJ,kJ,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
