image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full3f_pct,full4f_pct
1.png,5,5,4,100,100,25,100,25
101.png,11,11,11,100,100,100,100,100
102.png,18,16,14,71,100,100,71,71
103.jpeg,18,14,14,100,100,43,100,43
104.jpeg,18,8,8,62,100,100,62,62
105.png,18,13,13,85,100,100,85,85
106.png,2,2,2,100,50,0,50,0
107.png,10,10,10,90,80,0,80,0
108.jpeg,11,11,11,73,91,0,73,0
109.jpeg,9,8,7,100,100,71,100,71
110.jpeg,6,5,5,100,60,0,60,0
111.jpeg,1,1,1,100,100,0,100,0
112.jpeg,1,2,1,100,100,0,100,0
113.jpeg,20,13,12,92,100,75,83,67
114.jpeg,20,17,14,86,93,57,86,57
115.png,9,8,7,29,100,57,29,29
116.jpeg,18,15,14,100,100,57,100,57
117.jpeg,9,8,6,100,100,0,100,0
118.jpeg,20,13,10,10,100,0,10,0
119.jpeg,20,20,12,25,100,50,25,25
12.png,16,14,14,0,100,100,0,0
120.jpeg,26,25,25,72,80,0,68,0
121.jpeg,20,16,14,64,86,36,57,29
15.png,42,12,10,50,100,50,50,30
17.png,4,4,4,100,75,75,75,50
2.png,16,10,10,90,100,50,90,50
20.png,48,32,28,46,61,71,46,43
201.jpeg,16,7,7,43,100,0,43,0
26.png,8,7,7,57,100,100,57,57
27.png,13,12,10,0,50,0,0,0
30.png,18,14,14,79,100,43,79,29
33.png,26,21,21,100,100,52,100,52
34.png,40,19,19,95,100,79,95,74
35.jpeg,4,4,4,100,100,75,100,75
4.png,8,5,4,0,100,0,0,0
41.png,8,5,5,100,80,80,80,60
42.png,18,13,13,100,100,100,100,100
45_1.png,18,15,15,100,87,100,87,87
45_2.png,8,8,8,100,100,100,100,100
51.png,18,15,13,100,100,46,100,46
53.png,18,13,13,92,100,100,92,92
56.jpeg,10,6,4,75,100,0,75,0
57.jpeg,10,6,4,75,100,50,75,50
59.png,28,20,17,53,65,18,47,12
6.png,6,6,6,100,100,100,100,100
61.png,22,18,18,94,100,100,94,94
63.png,22,21,21,95,100,90,95,86
64.png,8,8,8,100,100,0,100,0
67.jpeg,4,2,0,0,0,0,0,0
68.jpeg,34,16,15,40,100,47,40,27
78.jpeg,2,3,2,100,100,100,100,100
8.png,18,16,16,94,88,50,81,44
82.jpeg,12,6,6,100,83,83,83,83
88.png,16,12,10,60,100,50,60,30
9.jpeg,4,4,4,100,100,0,100,0
90.png,17,12,11,55,91,36,55,36
91.png,16,14,12,83,100,50,83,50
