image_id,status,predicted_tuples,vlm_time_s,total_processing_time_s,error
1.png,ok,5,6.863,7.013,
2.png,ok,10,6.591,6.767,
4.png,ok,5,4.064,4.234,
6.png,ok,6,4.235,4.406,
8.png,ok,16,10.053,10.27,
9.jpeg,ok,4,3.395,3.403,
12.png,ok,14,8.382,8.473,
15.png,ok,12,7.62,7.776,
17.png,ok,4,3.708,3.911,
20.png,ok,32,20.202,20.398,
26.png,ok,7,5.072,5.186,
27.png,ok,12,10.619,10.804,
30.png,ok,14,9.335,9.547,
33.png,ok,21,12.407,12.592,
34.png,ok,19,11.71,11.906,
35.jpeg,ok,4,4.312,4.32,
41.png,ok,5,3.78,3.958,
42.png,ok,13,7.647,7.876,
51.png,ok,15,9.158,9.34,
53.png,ok,13,8.159,8.34,
56.jpeg,ok,6,4.486,4.495,
57.jpeg,ok,6,4.467,4.477,
59.png,ok,20,11.566,11.749,
61.png,ok,18,11.973,12.199,
63.png,ok,21,12.236,12.414,
64.png,ok,8,5.378,5.562,
67.jpeg,ok,2,2.94,2.96,
68.jpeg,ok,16,9.433,9.452,
78.jpeg,ok,3,3.07,3.096,
82.jpeg,ok,6,4.094,4.103,
88.png,ok,12,7.214,7.421,
90.png,ok,12,7.676,7.873,
91.png,ok,14,8.377,8.617,
101.png,ok,11,7.432,7.621,
102.png,ok,16,9.447,9.65,
103.jpeg,ok,14,9.101,9.228,
104.jpeg,ok,8,5.616,5.623,
105.png,ok,13,8.171,8.343,
106.png,ok,2,2.863,3.065,
107.png,ok,10,6.257,6.436,
108.jpeg,ok,11,7.228,7.285,
109.jpeg,ok,8,5.464,5.509,
110.jpeg,ok,5,3.815,3.87,
111.jpeg,ok,1,2.039,2.07,
112.jpeg,ok,2,2.387,2.404,
113.jpeg,ok,13,7.967,8.069,
114.jpeg,ok,17,10.441,10.519,
115.png,ok,8,5.711,5.886,
116.jpeg,ok,15,9.64,9.712,
117.jpeg,ok,8,5.551,5.589,
118.jpeg,ok,13,7.619,7.68,
119.jpeg,ok,20,11.549,11.599,
120.jpeg,ok,25,15.077,15.142,
121.jpeg,ok,16,9.436,9.473,
201.jpeg,ok,7,4.745,4.807,
45_1.png,ok,15,8.648,8.84,
45_2.png,ok,8,5.623,5.823,
