image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full3f_pct,full4f_pct
1.png,5,4,3,100,100,100,100,100
101.png,11,9,9,89,89,100,89,89
102.png,18,21,13,77,92,62,77,62
103.jpeg,18,17,14,71,86,86,64,57
104.jpeg,18,24,12,83,92,83,83,83
105.png,18,12,10,60,100,60,60,50
106.png,2,4,2,100,50,0,50,0
107.png,10,16,10,80,50,100,50,50
108.jpeg,11,18,10,70,70,100,70,70
109.jpeg,9,12,9,100,100,100,100,100
110.jpeg,6,6,6,100,100,100,100,100
111.jpeg,1,2,1,100,0,0,0,0
112.jpeg,1,2,1,100,0,0,0,0
113.jpeg,20,25,14,50,100,86,50,50
114.jpeg,20,25,13,77,100,77,77,77
115.png,9,15,8,88,88,100,88,88
116.jpeg,18,12,12,100,100,100,100,100
117.jpeg,9,5,5,40,40,100,20,20
118.jpeg,20,13,11,9,100,27,0,0
119.jpeg,20,16,10,0,100,20,0,0
12.png,16,8,8,75,88,100,75,75
120.jpeg,26,67,24,96,62,100,58,58
121.jpeg,20,17,11,82,91,91,82,82
15.png,42,9,9,100,100,100,100,100
17.png,4,7,4,100,75,100,75,75
2.png,16,14,13,69,77,54,54,31
20.png,48,56,37,43,57,84,30,30
201.jpeg,16,4,4,100,100,50,100,50
26.png,8,7,6,33,100,100,33,33
27.png,13,8,5,60,80,100,60,60
30.png,18,10,10,100,60,100,60,60
33.png,26,28,22,95,91,95,86,86
34.png,40,63,36,94,100,97,94,92
35.jpeg,4,3,3,67,67,67,67,67
4.png,8,13,6,83,100,100,83,83
41.png,8,6,6,67,83,100,67,67
42.png,18,9,9,100,56,89,56,56
45_1.png,18,10,10,70,80,90,60,60
45_2.png,8,6,6,67,67,100,67,67
51.png,18,8,6,50,100,50,0,0
53.png,18,11,10,100,80,50,0,0
56.jpeg,10,3,2,0,100,50,0,0
57.jpeg,10,9,4,75,100,50,75,25
59.png,28,25,19,68,68,95,63,63
6.png,6,6,6,100,100,100,100,100
61.png,22,20,19,100,100,100,100,100
63.png,22,21,17,94,100,94,94,94
64.png,8,8,8,100,75,100,75,75
67.jpeg,4,0,0,0,0,0,0,0
68.jpeg,34,0,0,0,0,0,0,0
78.jpeg,2,2,2,0,0,0,0,0
8.png,18,9,9,22,56,78,11,11
82.jpeg,12,6,6,17,33,67,0,0
88.png,16,13,9,78,100,100,78,78
9.jpeg,4,7,4,75,100,25,75,0
90.png,17,18,16,81,75,81,69,62
91.png,16,24,15,93,80,93,80,80
