image_id,gt_nutrient,pred_nutrient,gt_quantity,pred_quantity,gt_unit,pred_unit,gt_context,pred_context,nutrient_match,quantity_match,unit_match,context_match,full_match_3f,full_match_4f,eval_method,nutrient_reason,quantity_reason,unit_reason,context_reason
30.png,Protein,Protein,2.7,2.7,g,g,per_serving (Per Bar 55g),per_serving,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
30.png,Carbohydrate,Carbohydrate,39,39,g,g,per_serving (Per Bar 55g),per_serving,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
30.png,Sugars,Sugars,19,19,g,g,per_serving (Per Bar 55g),per_serving,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
30.png,Sodium,Sodium,70,70,mg,mg,per_serving (Per Bar 55g),per_serving,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
30.png,Protein,Protein,4.8,4.8,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
30.png,Carbohydrate,Carbohydrate,71,71,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
30.png,Sugars,Sugars,35,35,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
30.png,Sodium,Sodium,130,130,mg,mg,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
30.png,Fibre,Fibre,2.0,2.0,g,mg,per_serving (Per Bar 55g),per_serving,True,True,False,True,False,False,fast,substring match,numeric match,mismatch,alias match
30.png,Fibre,Fibre,3.6,3.6,g,mg,per_100g,per_100g,True,True,False,True,False,False,fast,substring match,numeric match,mismatch,alias match
33.png,Fat,Fat,0,0,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
33.png,Saturated Fats,Saturated Fats,0,0,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
33.png,Carbohydrate,Carbohydrate,97,97,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
33.png,Sugars,Sugars,56,56,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
33.png,Protein,Protein,0,0,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
33.png,Salt,Salt,0.53,0.53,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
33.png,Sodium,Sodium,210,210,mg,mg,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
33.png,Calcium,Calcium,35,35,mg,mg,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
33.png,Magnesium,Magnesium,25,25,mg,mg,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
33.png,Potassium,Potassium,55,55,mg,mg,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
33.png,Chloride,Chloride,140,140,mg,mg,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
33.png,Carbohydrate,Carbohydrate,73,73,g,g,per_serving (75 g (300 ml)),per_serving,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
33.png,Sugars,Sugars,42,42,g,g,per_serving (75 g (300 ml)),per_serving,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
33.png,Salt,Salt,0.40,0.40,g,g,per_serving (75 g (300 ml)),per_serving,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
33.png,Sodium,Sodium,158,158,mg,mg,per_serving (75 g (300 ml)),per_serving,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
33.png,Calcium,Calcium,26,26,mg,mg,per_serving (75 g (300 ml)),per_serving,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
33.png,Magnesium,Magnesium,19,19,mg,mg,per_serving (75 g (300 ml)),per_serving,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
33.png,Potassium,Potassium,41,41,mg,mg,per_serving (75 g (300 ml)),per_serving,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
33.png,Chloride,Chloride,105,105,mg,mg,per_serving (75 g (300 ml)),per_serving,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
33.png,Energy,Energy,1660,1660,kJ,g,per_100g,per_100g,True,True,False,True,False,False,fast,substring match,numeric match,mismatch,alias match
33.png,Energy,Energy,1245,1245,kJ,g,per_serving (75 g (300 ml)),per_serving,True,True,False,True,False,False,fast,substring match,numeric match,mismatch,alias match
33.png,Protein,Protein,0,0.53,g,g,per_serving (75 g (300 ml)),per_100g,True,False,True,False,False,False,fast,substring match,mismatch,alias match,mismatch
