image_id,nutrient,quantity,unit,context
30.png,Protein,907,kj/kcal,per_serving
30.png,Protein,2.7,g,per_serving
30.png,Protein,4.8,g,per_100g
30.png,Carbohydrate,215,kj/kcal,per_serving
30.png,Carbohydrate,39,g,per_serving
30.png,Carbohydrate,71,g,per_100g
30.png,Sugars,2.7,g,per_serving
30.png,Sugars,19,g,per_serving
30.png,Sugars,35,g,per_100g
30.png,Fibre,5.0,mg,per_serving
30.png,Fibre,2.0,mg,per_serving
30.png,Fibre,3.6,mg,per_100g
30.png,Sodium,2.7,mg,per_serving
30.png,Sodium,70,mg,per_serving
30.png,Sodium,130,mg,per_100g
33.png,Energy,1660,g,per_100g
33.png,Energy,1245,g,per_serving
33.png,Fat,0,g,per_100g
33.png,Saturated Fats,0,g,per_100g
33.png,Carbohydrate,56,g,per_100g
33.png,Carbohydrate,97,g,per_100g
33.png,Carbohydrate,73,g,per_serving
33.png,Sugars,56,g,per_100g
33.png,Sugars,0,g,per_100g
33.png,Sugars,42,g,per_serving
33.png,Protein,0.53,g,per_100g
33.png,Protein,0,g,per_100g
33.png,Salt,0.53,g,per_100g
33.png,Salt,0.40,g,per_serving
33.png,Salt,73,g,per_serving
33.png,Sodium,210,mg,per_100g
33.png,Sodium,35,mg,per_100g
33.png,Sodium,158,mg,per_serving
33.png,Calcium,35,mg,per_100g
33.png,Calcium,25,mg,per_100g
33.png,Calcium,26,mg,per_serving
33.png,Magnesium,25,mg,per_100g
33.png,Magnesium,55,mg,per_100g
33.png,Magnesium,19,mg,per_serving
33.png,Potassium,55,mg,per_100g
33.png,Potassium,105,mg,per_serving
33.png,Potassium,41,mg,per_serving
33.png,Chloride,140,mg,per_100g
33.png,Chloride,0.53,g,per_100g
33.png,Chloride,105,mg,per_serving
34.png,Fat,0,g,per_100g
34.png,Fat,20,g,per_serving
34.png,Carbohydrate,80,g,per_100g
34.png,Carbohydrate,20,g,per_serving
34.png,Carbohydrate,19,g,per_serving
34.png,Sugars,77,g,per_100g
34.png,Sugars,19,g,per_serving
34.png,Sugars,1.2,g,per_serving
34.png,Fibre,5,g,per_100g
34.png,Fibre,0,g,per_serving
34.png,Fibre,1.2,g,per_serving
34.png,Vitamin C,0,g,per_100g
34.png,Vitamin C,0.9,g,per_serving
34.png,Protein,0,g,per_100g
34.png,Protein,0.9,g,per_serving
34.png,Salt,0,g,per_100g
34.png,Salt,3.5,g,per_100g
34.png,Salt,0.9,g,per_serving
34.png,minerals,3.5,g,per_100g
34.png,minerals,400,mg,per_100g
34.png,minerals,100,mg,per_serving
34.png,Minerals,3.5,g,per_100g
34.png,Minerals,400,mg,per_100g
34.png,Minerals,100,mg,per_serving
34.png,Calcium,400,mg,per_100g
34.png,Calcium,100,mg,per_serving
34.png,Potassium,400,mg,per_100g
34.png,Potassium,100,mg,per_100g
34.png,Magnesium,100,mg,per_100g
34.png,Magnesium,25,mg,per_serving
34.png,Magnesium,0.7,mg,per_serving
34.png,Zinc,2.6,mg,per_100g
34.png,Zinc,100,mg,per_100g
34.png,Zinc,0.7,mg,per_serving
34.png,vitamins,72,mg,per_100g
34.png,vitamins,2.6,mg,per_100g
34.png,vitamins,0.7,mg,per_serving
34.png,Vitamins,72,mg,per_100g
34.png,Vitamins,2.6,mg,per_100g
34.png,Vitamins,0.7,mg,per_serving
34.png,Vitamin C,72,mg,per_100g
34.png,Vitamin C,12,mg,per_100g
34.png,Vitamin C,18,mg,per_serving
34.png,Niacin,12,mg,per_100g
34.png,Niacin,18,mg,per_serving
34.png,Niacin,3.0,mg,per_serving
34.png,Vitamin B6,3.2,mg,per_100g
34.png,Vitamin B6,3.0,mg,per_serving
34.png,Vitamin B6,0.8,mg,per_serving
34.png,Pantothenic Acid,2.9,mg,per_100g
34.png,Pantothenic Acid,0.8,mg,per_serving
34.png,Pantothenic Acid,0.7,mg,per_serving
34.png,Vitamin B1,0.8,mg,per_100g
34.png,Vitamin B1,0.7,mg,per_serving
34.png,Vitamin B1,0.2,mg,per_serving
34.png,Vitamin B2,0.8,mg,per_100g
34.png,Vitamin B2,0.2,mg,per_serving
34.png,Folic Acid,34,ug,per_100g
34.png,Folic Acid,8.4,ug,per_serving
34.png,Folic Acid,0.2,mg,per_serving
34.png,Vitamin B12,3.5,ug,per_100g
34.png,Vitamin B12,8.4,ug,per_serving
34.png,Vitamin B12,0.9,ug,per_serving
