image_id,error
107.png,RuntimeError: could not create a primitive
108.jpeg,RuntimeError: could not create a primitive
109.jpeg,RuntimeError: could not create a primitive
110.jpeg,RuntimeError: could not create a primitive
113.jpeg,RuntimeError: could not create a primitive
114.jpeg,RuntimeError: could not create a primitive
115.png,RuntimeError: could not create a primitive
116.jpeg,RuntimeError: could not create a primitive
117.jpeg,RuntimeError: could not create a primitive
118.jpeg,RuntimeError: could not create a primitive
119.jpeg,RuntimeError: could not create a primitive
120.jpeg,RuntimeError: could not create a primitive
121.jpeg,RuntimeError: could not create a primitive
201.jpeg,RuntimeError: could not create a primitive
45_1.png,RuntimeError: could not create a primitive
45_2.png,RuntimeError: could not create a primitive
