image_id,gt_nutrient,pred_nutrient,gt_quantity,pred_quantity,gt_unit,pred_unit,gt_context,pred_context,nutrient_match,quantity_match,unit_match,context_match,full_match_3f,full_match_4f,eval_method,nutrient_reason,quantity_reason,unit_reason,context_reason
1.png,Magnesiumoxid,Magnesiumoxid,400,400,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
1.png,Magnesiumbisglycinat,Magnesiumbisglycinat,350,420,mg,mg,per_daily_dose,per_daily_dose,True,False,True,True,False,False,fast,substring match,mismatch,alias match,alias match
1.png,Magnesiummalat,Magnesiummalat,333,400,mg,mg,per_daily_dose,per_daily_dose,True,False,True,True,False,False,fast,substring match,mismatch,alias match,alias match
101.png,Sugars,Sugars,8.9,0.8,g,g,per_100g,per_100g,True,False,True,True,False,False,fast,substring match,mismatch,alias match,alias match
101.png,Fibre,Fibre,3.0,<0.1,g,g,per_100g,per_100g,True,False,True,True,False,False,fast,substring match,mismatch,alias match,alias match
101.png,Protein,Protein,6.3,86.1,g,g,per_100g,per_100g,True,False,True,True,False,False,fast,substring match,mismatch,alias match,alias match
101.png,Salt,Salt,0.09,8.9,g,g,per_100g,per_100g,True,False,True,True,False,False,fast,substring match,mismatch,alias match,alias match
101.png,Fat,Fat,0.8,1625,g,kj,per_100g,per_100g,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
101.png,Saturated Fats,Saturated Fats,< 0.1,1625,g,kj,per_100g,per_100g,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
101.png,Carbohydrate,Carbohydrate,86.1,383,g,kcal,per_100g,per_100g,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
101.png,Vitamin B1,Vitamin B1,0.44,3.0,mg,g,per_100g,per_100g,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
101.png,Sodium,Sodium,36,6.3,mg,g,per_100g,per_100g,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
102.png,Energy,Energy,1502,1502,kJ,kj,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.png,Energy,Energy,188,188,kJ,kj,per_serving (1 Riegel* (12.5 g)),per_daily_dose,True,True,True,False,True,False,fast,substring match,numeric match,alias match,mismatch
102.png,Carbohydrate,Carbohydrate,63,1.1,g,g,per_100g,per_100g,True,False,True,True,False,False,fast,substring match,mismatch,alias match,alias match
102.png,Sugars,Sugars,31,63,g,g,per_100g,per_100g,True,False,True,True,False,False,fast,substring match,mismatch,alias match,alias match
102.png,Fibre,Fibre,5.1,31,g,g,per_100g,per_100g,True,False,True,True,False,False,fast,substring match,mismatch,alias match,alias match
102.png,Protein,Protein,5.9,5.1,g,g,per_100g,per_100g,True,False,True,True,False,False,fast,substring match,mismatch,alias match,alias match
102.png,Salt,Salt,0.14,5.9,g,g,per_100g,per_100g,True,False,True,True,False,False,fast,substring match,mismatch,alias match,alias match
102.png,Carbohydrate,Carbohydrate,7.9,0.1,g,g,per_serving (1 Riegel* (12.5 g)),per_daily_dose,True,False,True,False,False,False,fast,substring match,mismatch,alias match,mismatch
102.png,Sugars,Sugars,3.9,7.9,g,g,per_serving (1 Riegel* (12.5 g)),per_daily_dose,True,False,True,False,False,False,fast,substring match,mismatch,alias match,mismatch
102.png,Fibre,Fibre,0.6,3.9,g,g,per_serving (1 Riegel* (12.5 g)),per_daily_dose,True,False,True,False,False,False,fast,substring match,mismatch,alias match,mismatch
102.png,Protein,Protein,0.7,0.6,g,g,per_serving (1 Riegel* (12.5 g)),per_daily_dose,True,False,True,False,False,False,fast,substring match,mismatch,alias match,mismatch
102.png,Salt,Salt,0.02,0.7,g,g,per_serving (1 Riegel* (12.5 g)),per_daily_dose,True,False,True,False,False,False,fast,substring match,mismatch,alias match,mismatch
102.png,Fat,Fat,7.7,356,g,kcal,per_100g,per_100g,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
102.png,Fat,Fat,1.0,45,g,kcal,per_serving (1 Riegel* (12.5 g)),per_daily_dose,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
103.jpeg,Fat,Fat,3.7,12,g,g,per_100g,per_serving,True,False,True,False,False,False,fast,substring match,mismatch,alias match,mismatch
103.jpeg,Sugars,Sugars,51,39,g,g,per_100g,per_serving,True,False,True,False,False,False,fast,substring match,mismatch,alias match,mismatch
103.jpeg,Fibre,Fibre,16,3.7,g,g,per_100g,per_100g,True,False,True,True,False,False,fast,substring match,mismatch,alias match,alias match
103.jpeg,Protein,Protein,7.7,0.4,g,g,per_100g,per_100g,True,False,True,True,False,False,fast,substring match,mismatch,alias match,alias match
103.jpeg,Salt,Salt,0,51,g,g,per_100g,per_100g,True,False,True,True,False,False,fast,substring match,mismatch,alias match,alias match
103.jpeg,Saturated Fats,Saturated Fats,0.4,1383,g,kcal,per_100g,per_100g,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
103.jpeg,Carbohydrate,Carbohydrate,51,328,g,kcal,per_100g,per_100g,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
104.jpeg,Carbohydrate,Carbohydrate,72,51,g,g,per_100g,per_serving,True,False,True,False,False,False,fast,substring match,mismatch,alias match,mismatch
104.jpeg,Sugars,Sugars,72,2.6,g,g,per_100g,per_100g,True,False,True,True,False,False,fast,substring match,mismatch,alias match,alias match
104.jpeg,Fibre,Fibre,10,60,g,g,per_100g,per_serving,True,False,True,False,False,False,fast,substring match,mismatch,alias match,mismatch
