image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full3f_pct,full4f_pct
1.png,5,3,3,33,100,100,33,33
101.png,11,9,9,0,44,100,0,0
102.png,18,18,14,14,86,50,14,7
103.jpeg,18,7,7,0,71,71,0,0
104.jpeg,18,9,6,0,67,50,0,0
105.png,18,14,12,0,83,50,0,0
106.png,2,3,2,50,0,0,0,0
107.png,10,0,0,0,0,0,0,0
108.jpeg,11,0,0,0,0,0,0,0
109.jpeg,9,0,0,0,0,0,0,0
110.jpeg,6,0,0,0,0,0,0,0
111.jpeg,1,2,1,100,0,0,0,0
112.jpeg,1,2,1,100,0,0,0,0
113.jpeg,20,0,0,0,0,0,0,0
114.jpeg,20,0,0,0,0,0,0,0
115.png,9,0,0,0,0,0,0,0
116.jpeg,18,0,0,0,0,0,0,0
117.jpeg,9,0,0,0,0,0,0,0
118.jpeg,20,0,0,0,0,0,0,0
119.jpeg,20,0,0,0,0,0,0,0
12.png,16,7,7,29,43,71,29,14
120.jpeg,26,0,0,0,0,0,0,0
121.jpeg,20,0,0,0,0,0,0,0
15.png,42,9,9,100,100,100,100,100
17.png,4,8,4,25,75,100,25,25
2.png,16,12,11,18,64,64,0,0
20.png,48,39,37,3,35,100,3,3
201.jpeg,16,0,0,0,0,0,0,0
26.png,8,7,6,83,100,100,67,67
27.png,13,5,5,0,0,100,0,0
30.png,18,10,10,0,40,100,0,0
33.png,26,12,12,17,58,58,8,8
34.png,40,23,19,5,37,42,5,5
35.jpeg,4,2,2,100,100,100,100,100
4.png,8,18,6,67,100,100,67,67
41.png,8,6,6,17,67,100,17,17
42.png,18,7,7,0,29,43,0,0
45_1.png,18,0,0,0,0,0,0,0
45_2.png,8,0,0,0,0,0,0,0
51.png,18,9,6,0,100,50,0,0
53.png,18,11,10,10,50,60,0,0
56.jpeg,10,2,2,0,100,50,0,0
57.jpeg,10,3,2,0,50,100,0,0
59.png,28,20,20,5,50,90,5,0
6.png,6,6,6,100,100,100,100,100
61.png,22,18,18,11,17,100,11,11
63.png,22,16,16,12,19,100,12,12
64.png,8,8,8,100,75,100,75,75
67.jpeg,4,0,0,0,0,0,0,0
68.jpeg,34,0,0,0,0,0,0,0
78.jpeg,2,2,2,0,0,0,0,0
8.png,18,7,7,14,29,71,0,0
82.jpeg,12,6,6,0,0,50,0,0
88.png,16,14,10,50,90,90,50,50
9.jpeg,4,4,3,33,67,0,0,0
90.png,17,15,14,64,79,86,57,57
91.png,16,11,9,0,89,67,0,0
