image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full3f_pct,full4f_pct
1.png,5,7,4,50,100,0,25,0
101.png,11,10,10,20,30,100,20,20
102.png,18,18,12,8,17,58,8,8
103.jpeg,18,13,12,42,42,58,42,33
104.jpeg,18,14,12,33,33,58,33,17
105.png,18,16,11,18,18,55,18,9
106.png,2,7,2,50,50,50,50,50
107.png,10,15,8,62,38,0,38,0
108.jpeg,11,15,8,25,50,0,25,0
109.jpeg,9,11,7,57,71,100,57,57
110.jpeg,6,6,6,67,67,50,67,33
111.jpeg,1,2,1,0,0,0,0,0
112.jpeg,1,2,1,0,0,0,0,0
113.jpeg,20,30,20,65,80,95,65,65
114.jpeg,20,27,17,88,94,94,88,88
115.png,9,12,7,29,43,100,29,29
116.jpeg,18,19,14,93,93,93,86,86
117.jpeg,9,13,7,0,29,100,0,0
118.jpeg,20,19,11,0,27,36,0,0
119.jpeg,20,10,4,50,50,50,25,0
12.png,16,16,12,83,83,42,83,42
120.jpeg,26,48,26,46,50,0,42,0
121.jpeg,20,28,18,67,89,83,67,67
15.png,42,11,7,14,0,0,0,0
17.png,4,7,4,25,25,100,25,25
2.png,16,11,8,38,75,50,25,12
20.png,48,68,37,35,57,76,27,27
201.jpeg,16,23,13,23,23,46,23,8
26.png,8,11,8,50,75,0,50,0
27.png,13,14,10,40,50,90,10,10
30.png,18,19,16,44,25,88,0,0
33.png,26,17,17,65,65,65,41,18
34.png,40,45,36,67,67,94,64,64
35.jpeg,4,4,2,0,50,0,0,0
4.png,8,17,7,14,14,100,0,0
41.png,8,7,7,57,57,100,57,57
42.png,18,11,11,64,45,64,0,0
45_1.png,18,14,12,58,50,42,0,0
45_2.png,8,8,7,43,43,71,43,43
51.png,18,24,12,33,25,42,0,0
53.png,18,17,14,43,43,43,29,14
56.jpeg,10,3,2,100,100,0,100,0
57.jpeg,10,2,2,0,0,0,0,0
59.png,28,28,18,39,50,67,17,17
6.png,6,7,5,80,100,0,80,0
61.png,22,23,19,42,53,68,42,42
63.png,22,26,20,60,70,80,60,60
64.png,8,7,7,57,71,100,57,57
67.jpeg,4,1,1,0,0,0,0,0
68.jpeg,34,2,0,0,0,0,0,0
78.jpeg,2,2,2,0,0,0,0,0
8.png,18,14,12,58,33,50,0,0
82.jpeg,12,6,6,0,0,83,0,0
88.png,16,37,16,19,44,19,12,0
9.jpeg,4,1,0,0,0,0,0,0
90.png,17,31,16,56,44,44,38,25
91.png,16,18,12,8,33,75,0,0
