image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full3f_pct,full4f_pct
1.png,5,9,4,100,100,100,100,100
101.png,11,11,11,91,91,100,91,91
102.png,18,18,13,62,92,62,62,62
103.jpeg,18,15,15,80,100,87,80,80
104.jpeg,18,16,14,79,86,79,79,79
105.png,18,16,13,69,100,54,69,46
106.png,2,9,2,100,50,0,50,0
107.png,10,16,10,90,50,100,50,50
108.jpeg,11,18,10,70,70,100,70,70
109.jpeg,9,12,9,100,100,100,100,100
110.jpeg,6,6,6,100,100,100,100,100
111.jpeg,1,2,1,100,0,0,0,0
112.jpeg,1,2,1,100,0,0,0,0
113.jpeg,20,24,17,53,88,88,53,53
114.jpeg,20,22,15,80,100,80,80,80
115.png,9,13,8,50,75,100,50,50
116.jpeg,18,17,15,100,80,100,80,80
117.jpeg,9,8,7,57,29,86,14,14
118.jpeg,20,19,14,7,79,43,0,0
119.jpeg,20,15,10,40,100,70,30,30
12.png,16,13,11,91,100,100,82,82
120.jpeg,26,55,25,92,60,100,56,56
121.jpeg,20,24,12,92,83,100,75,75
15.png,42,9,9,100,100,100,100,100
17.png,4,7,4,100,75,100,75,75
2.png,16,14,13,69,69,54,54,31
20.png,48,63,42,40,60,83,26,26
201.jpeg,16,14,7,100,100,57,100,57
26.png,8,11,7,71,86,86,57,57
27.png,13,16,12,42,67,100,0,0
30.png,18,19,15,100,60,100,47,47
33.png,26,20,20,100,90,100,90,90
34.png,40,40,36,100,100,100,100,100
35.jpeg,4,2,2,100,100,100,100,100
4.png,8,22,8,62,88,88,62,62
41.png,8,7,7,57,86,100,57,57
42.png,18,12,12,100,50,92,42,42
45_1.png,18,14,14,71,79,100,43,43
45_2.png,8,7,7,71,71,100,57,57
51.png,18,16,9,89,78,56,0,0
53.png,18,14,11,100,82,45,0,0
56.jpeg,10,6,4,25,100,50,25,25
57.jpeg,10,11,4,75,100,50,75,25
59.png,28,29,23,78,74,100,57,57
6.png,6,6,6,100,100,100,100,100
61.png,22,20,19,100,100,100,100,100
63.png,22,22,19,95,100,95,84,84
64.png,8,8,8,100,75,100,75,75
67.jpeg,4,0,0,0,0,0,0,0
68.jpeg,34,17,2,0,100,50,0,0
78.jpeg,2,5,2,0,0,50,0,0
8.png,18,15,15,27,73,100,7,7
82.jpeg,12,5,5,20,20,80,0,0
88.png,16,17,10,90,100,100,90,90
9.jpeg,4,4,3,100,100,0,100,0
90.png,17,18,16,81,75,81,69,62
91.png,16,19,14,100,86,100,86,86
