image_id,nutrient,gold_value,detected,below,above,category,img_qty_drops,img_qty_dropped
1.png,magnesiumsalzedercitronensaure,420.0,1,0,1,B_only_above,0,—
1.png,magnesiummalat,333.0,1,0,1,B_only_above,0,—
101.png,fat,0.8,1,0,1,B_only_above,1,vitaminb1=0.44
101.png,protein,6.3,1,0,1,B_only_above,1,vitaminb1=0.44
101.png,salt,0.09,1,0,1,B_only_above,1,vitaminb1=0.44
102.png,saturatedfats,0.1,1,0,1,B_only_above,0,—
103.jpeg,energy,39.0,1,0,1,B_only_above,5,"salt=0, energy=166, saturatedfats=0, protein=0.9, salt=0"
103.jpeg,carbohydrate,6.1,1,0,1,B_only_above,5,"salt=0, energy=166, saturatedfats=0, protein=0.9, salt=0"
103.jpeg,sugars,6.1,1,0,1,B_only_above,5,"salt=0, energy=166, saturatedfats=0, protein=0.9, salt=0"
103.jpeg,fibre,1.9,1,0,1,B_only_above,5,"salt=0, energy=166, saturatedfats=0, protein=0.9, salt=0"
104.jpeg,energy,51.0,1,0,1,B_only_above,1,energy=214
104.jpeg,fat,0.0,1,0,1,B_only_above,1,energy=214
104.jpeg,saturatedfats,0.0,1,0,1,B_only_above,1,energy=214
104.jpeg,fibre,1.4,1,0,1,B_only_above,1,energy=214
104.jpeg,salt,0.0,1,0,1,B_only_above,1,energy=214
105.png,energy,38.0,1,0,1,B_only_above,1,carbohydrate=52.1
105.png,fat,0.3,1,0,1,B_only_above,1,carbohydrate=52.1
105.png,saturatedfats,0.0,1,0,1,B_only_above,1,carbohydrate=52.1
107.png,biotin,50.0,1,0,1,B_only_above,1,vitaminb12=2.5
109.jpeg,fat,0.0,1,0,1,B_only_above,0,—
109.jpeg,salt,0.05,1,0,1,B_only_above,0,—
110.jpeg,melissenextrakt,30.0,1,0,1,B_only_above,0,—
110.jpeg,niacin,16.0,1,0,1,B_only_above,0,—
110.jpeg,pantothenicacid,6.0,1,0,1,B_only_above,0,—
113.jpeg,energy,464.0,1,0,1,B_only_above,1,carbohydrate=7.7
113.jpeg,energy,111.0,1,0,1,B_only_above,1,carbohydrate=7.7
113.jpeg,fat,1.3,1,0,1,B_only_above,1,carbohydrate=7.7
113.jpeg,saturatedfats,0.9,1,0,1,B_only_above,1,carbohydrate=7.7
113.jpeg,carbohydrate,2.3,1,0,1,B_only_above,1,carbohydrate=7.7
113.jpeg,fibre,0.6,1,0,1,B_only_above,1,carbohydrate=7.7
113.jpeg,protein,21.8,1,0,1,B_only_above,1,carbohydrate=7.7
113.jpeg,salt,0.17,1,0,1,B_only_above,1,carbohydrate=7.7
113.jpeg,caffeine,80.0,1,0,1,B_only_above,1,carbohydrate=7.7
114.jpeg,energy,462.0,1,0,1,B_only_above,1,fat=1.4
114.jpeg,energy,111.0,1,0,1,B_only_above,1,fat=1.4
114.jpeg,carbohydrate,2.6,1,0,1,B_only_above,1,fat=1.4
114.jpeg,fibre,0.9,1,0,1,B_only_above,1,fat=1.4
114.jpeg,protein,21.0,1,0,1,B_only_above,1,fat=1.4
114.jpeg,salt,0.17,1,0,1,B_only_above,1,fat=1.4
114.jpeg,caffeine,80.0,1,0,1,B_only_above,1,fat=1.4
115.png,saturatedfats,0.2,1,0,1,B_only_above,0,—
116.jpeg,energy,509.0,1,0,1,B_only_above,0,—
116.jpeg,energy,121.0,1,0,1,B_only_above,0,—
116.jpeg,fat,3.5,1,0,1,B_only_above,0,—
116.jpeg,saturatedfats,0.4,1,0,1,B_only_above,0,—
116.jpeg,carbohydrate,8.2,1,0,1,B_only_above,0,—
116.jpeg,fibre,3.7,1,0,1,B_only_above,0,—
116.jpeg,protein,12.0,1,0,1,B_only_above,0,—
116.jpeg,salt,0.61,1,0,1,B_only_above,0,—
117.jpeg,energy,173.0,1,0,1,B_only_above,5,"saturatedfats=1.5, carbohydrate=16.7, sugars=13.5, fibre=4, protein=11"
117.jpeg,fat,6.1,1,0,1,B_only_above,5,"saturatedfats=1.5, carbohydrate=16.7, sugars=13.5, fibre=4, protein=11"
