image_id,n_vectors,avg_dcx,avg_dcy,avg_magnitude,larger,smaller_or_equal
34.png,880,622.1,-37.3,623.2,713,167
101.png,100,1051.7,-133.2,1060.1,79,21
107.png,90,1117.3,-60.3,1118.9,72,18
59.png,252,1228.9,-85.0,1231.9,137,115
121.jpeg,162,484.7,26.1,485.4,101,61
27.png,144,938.0,94.5,942.7,118,26
20.png,1176,1428.6,-27.1,1428.9,719,457
42.png,104,1174.4,-131.3,1181.8,82,22
102.png,162,1141.8,-102.4,1146.4,89,73
109.jpeg,72,308.7,-32.0,310.3,56,16
115.png,81,698.7,-131.4,710.9,66,15
45_2.png,42,1159.1,140.3,1167.6,29,13
12.png,119,865.8,-20.0,866.0,76,43
26.png,49,1115.4,-35.0,1115.9,31,18
108.jpeg,110,434.3,-10.9,434.4,98,12
64.png,64,1128.2,-10.9,1128.3,51,13
118.jpeg,140,659.5,-52.1,661.6,69,71
68.jpeg,168,319.4,86.7,330.9,124,44
53.png,136,1858.9,4.0,1858.9,79,57
30.png,144,891.0,-40.0,891.9,88,56
103.jpeg,112,126.7,-14.9,127.6,69,43
104.jpeg,119,139.5,2.4,139.5,75,44
120.jpeg,1161,442.8,81.0,450.1,897,264
113.jpeg,280,664.0,-7.6,664.1,149,131
51.png,128,1913.6,49.2,1914.3,72,56
119.jpeg,120,736.2,-73.1,739.8,61,59
114.jpeg,264,738.1,-22.6,738.4,145,119
91.png,135,1226.4,-78.3,1228.9,79,56
105.png,153,927.6,-103.8,933.4,100,53
17.png,28,1398.9,49.5,1399.8,12,16
4.png,235,2079.1,10.5,2079.1,126,109
33.png,312,1084.8,26.1,1085.1,223,89
45_1.png,120,1099.8,-139.5,1108.6,86,34
116.jpeg,126,683.4,-24.1,683.9,70,56
90.png,135,1428.6,-29.8,1428.9,73,62
2.png,96,1784.7,35.5,1785.1,57,39
61.png,220,2188.9,-41.5,2189.3,113,107
201.jpeg,96,834.0,-44.1,835.1,57,39
63.png,220,2233.1,-36.4,2233.4,112,108
41.png,35,1662.3,86.1,1664.5,22,13
9.jpeg,9,132.7,17.2,133.8,3,6
57.jpeg,40,205.4,-8.0,205.6,25,15
88.png,105,1414.4,-139.6,1421.3,59,46
8.png,48,996.3,-134.5,1005.4,31,17
6.png,36,1387.8,25.0,1388.1,26,10
117.jpeg,24,675.3,-83.7,680.5,15,9
1.png,20,1664.5,-19.8,1664.6,15,5
82.jpeg,15,165.9,16.7,166.7,10,5
106.png,20,372.0,534.9,651.5,14,6
56.jpeg,16,221.6,-2.6,221.6,8,8
110.jpeg,18,409.3,12.6,409.5,9,9
35.jpeg,4,206.5,-8.2,206.7,2,2
