image_id,nutrient,column,best_quantity,dx,dy,best_deviation,likely_missing
64.png,pantothenic acid,0,3.0,839.5,128.5,3.5827,1
108.jpeg,pantothenic acid,0,6.0,374.5,-40.5,3.2004,1
20.png,vitamin a,1,1000,666.0,-33.0,2.5531,1
201.jpeg,proteinas/proteinas,1,0.02,1147.0,51.5,2.4488,1
201.jpeg,proteinas/proteinas,0,0.05,892.5,48.5,2.4228,1
9.jpeg,vitamin czuachten,1,60,175.0,49.5,2.3597,1
20.png,caffeine (from guarana extract powder,1,6.7,664.0,589.0,2.2047,1
53.png,vitamin b6vitamine b6,2,0.21,2199.5,-32.5,2.1057,1
53.png,vitamin b6vitamine b6,3,0.35,1687.0,-14.0,2.1057,1
51.png,vitamin b1,2,0.21,2221.0,93.5,2.0846,1
121.jpeg,eiweibriegelmitkokos-mandel-geschmackundkokosraspeln,1,12,364.0,206.5,2.016,1
106.png,magnesium,0,250,746.0,-9.5,1.9975,1
88.png,salt,1,0.10,1238.0,-97.0,1.9769,1
4.png,protein,0,0.12,4034.5,17.0,1.9012,1
117.jpeg,carbohydrate,0,0.04,611.5,183.0,1.8994,1
51.png,vitamin b1,1,0.13,1883.5,-48.5,1.8969,1
2.png,salt,1,0.30,2371.5,-42.0,1.8818,1
2.png,salt,0,0.43,1758.5,-33.0,1.8737,1
34.png,vitamins,0,0.2,265.0,539.5,1.8704,1
90.png,salt,1,0.16,1247.5,43.0,1.8558,1
45_2.png,salt,0,1.3,1296.5,12.5,1.8552,1
51.png,vitamin b1,0,0.08,2420.5,-28.0,1.8547,1
88.png,salt,0,0.33,1749.5,-58.0,1.8502,1
53.png,energy,2,0.21,2201.0,878.5,1.839,1
53.png,energy,3,0.35,1688.5,897.0,1.839,1
51.png,energyenergie kj,2,0.21,2216.0,941.0,1.8315,1
101.png,saturated fats,0,3.0,757.5,498.0,1.808,1
41.png,ofwhich sugars,0,0,1400.0,153.0,1.7851,1
4.png,salt,0,0.12,391.5,-2.0,1.7794,1
