image_id,nutrient,quantity,column,dx,dy,deviation,method,image_mean_dev,gt_image_mean
1.png,magnesium,400,0,1657.0,-15.5,0.9142,mahalanobis,1.3082727272727273,0
1.png,magnesium,420,0,1644.0,365.5,0.714,mahalanobis,1.3082727272727273,0
1.png,magnesium,400,0,1643.5,460.0,1.0605,mahalanobis,1.3082727272727273,0
1.png,magnesium,350,0,1645.0,554.0,1.4099,mahalanobis,1.3082727272727273,1
1.png,magnesium,333,0,1641.5,647.0,1.7896,mahalanobis,1.3082727272727273,1
1.png,magnesiumoxid,400,0,1719.5,0.0,1.5507,mahalanobis,1.3082727272727273,1
1.png,magnesiumoxid,350,0,1721.0,94.0,1.4122,mahalanobis,1.3082727272727273,1
1.png,magnesiumoxid,333,0,1717.5,187.0,1.2577,mahalanobis,1.3082727272727273,0
1.png,magnesiumbisglycinat,350,0,1597.5,-24.0,1.6806,mahalanobis,1.3082727272727273,1
1.png,magnesiumbisglycinat,333,0,1594.0,69.0,1.5748,mahalanobis,1.3082727272727273,1
1.png,magnesiummalat,333,0,1686.0,-3.0,1.0268,mahalanobis,1.3082727272727273,0
2.png,energy,1195,0,1347.5,-33.0,1.3364,mahalanobis,1.2893866666666667,1
2.png,energy,1616,0,1494.0,201.0,0.5052,mahalanobis,1.2893866666666667,0
2.png,energy,70,0,1426.0,542.5,0.6735,mahalanobis,1.2893866666666667,0
2.png,energy,33,0,1427.5,678.0,1.1169,mahalanobis,1.2893866666666667,0
2.png,energy,0,0,1443.0,840.0,1.6479,mahalanobis,1.2893866666666667,1
2.png,energy,0.43,0,1393.5,994.5,2.1764,mahalanobis,1.2893866666666667,1
2.png,fat,1616,0,1862.0,43.5,2.1215,mahalanobis,1.2893866666666667,1
2.png,fat,70,0,1794.0,385.0,1.5697,mahalanobis,1.2893866666666667,1
2.png,fat,33,0,1795.5,520.5,1.6771,mahalanobis,1.2893866666666667,1
2.png,fat,0,0,1811.0,682.5,1.9902,mahalanobis,1.2893866666666667,1
2.png,fat,0.43,0,1761.5,837.0,2.1635,mahalanobis,1.2893866666666667,1
