image_id,status,n_nutrients,n_quantities,n_columns,n_vectors,avg_dcx,avg_dcy,avg_magnitude,larger,smaller_or_equal,mean_dev,representative,n_links,n_links_missing,n_nutrients_no_candidate,method
1.png,ok,4,5,1,11,1660.6,212.2,1674.1,8,3,1.3083,1.1433,4,1,0,mahalanobis
2.png,ok,8,12,2,60,1759.9,339.9,1792.4,32,28,1.2894,1.0418,16,6,0,mahalanobis
4.png,ok,47,5,1,139,2041.2,134.7,2045.6,72,67,1.311,1.0537,45,16,2,mahalanobis
6.png,ok,6,6,1,21,1384.1,349.3,1427.5,10,11,1.2702,0.7933,6,1,0,mahalanobis
8.png,ok,8,6,1,22,1028.1,298.5,1070.5,13,9,1.3,0.8056,6,1,2,mahalanobis
9.jpeg,ok,3,3,2,8,136.2,20.8,137.8,3,5,1.3961,1.3723,6,1,0,mahalanobis
12.png,ok,7,17,2,64,903.8,243.7,936.0,32,32,1.3013,0.923,14,2,0,mahalanobis
15.png,degenerate,6,0,0,0,,,,0,0,,,0,0,0,mahalanobis
17.png,ok,4,7,3,19,1461.0,232.9,1479.5,9,10,1.1783,0.8743,10,1,0,mahalanobis
20.png,ok,24,49,2,601,1412.3,456.2,1484.2,349,252,1.2738,0.7025,45,6,0,mahalanobis
26.png,ok,7,7,1,23,1121.5,195.4,1138.4,12,11,1.2501,0.8725,6,1,1,mahalanobis
27.png,ok,12,12,1,88,963.7,488.6,1080.5,41,47,1.2823,0.6781,12,1,0,mahalanobis
30.png,ok,8,18,2,74,942.2,292.1,986.5,42,32,1.3103,0.9636,16,3,0,mahalanobis
33.png,ok,13,24,1,172,1018.3,513.5,1140.4,106,66,1.3232,0.7291,13,1,0,mahalanobis
34.png,ok,22,40,1,442,644.6,580.7,867.6,236,206,1.2908,0.6858,22,2,0,mahalanobis
35.jpeg,ok,2,2,1,3,205.8,-0.5,205.8,1,2,0.5184,0.3982,2,0,0,mahalanobis
41.png,ok,7,5,1,22,1668.5,392.0,1713.9,11,11,1.3076,1.0705,7,2,0,mahalanobis
42.png,ok,8,13,1,49,1166.3,404.1,1234.3,33,16,1.2543,0.6837,8,0,0,mahalanobis
51.png,ok,8,16,3,80,1892.6,300.4,1916.3,41,39,1.3008,1.0867,24,8,0,mahalanobis
53.png,ok,8,17,4,80,1819.3,297.0,1843.4,44,36,1.2918,1.1012,30,7,0,mahalanobis
56.jpeg,ok,2,8,2,10,212.9,12.5,213.3,5,5,1.2339,0.9631,4,0,0,mahalanobis
57.jpeg,ok,4,10,1,22,209.3,22.1,210.4,12,10,1.2696,0.6563,4,0,0,mahalanobis
59.png,ok,12,21,2,124,1219.1,355.9,1270.0,65,59,1.275,0.8169,22,5,1,mahalanobis
61.png,ok,10,22,2,112,2146.8,199.6,2156.1,54,58,1.3109,0.9429,20,3,0,mahalanobis
63.png,ok,10,22,2,112,2195.7,213.1,2206.1,55,57,1.3132,0.9563,20,3,0,mahalanobis
64.png,ok,8,8,1,36,1138.8,306.1,1179.2,23,13,1.1732,1.0139,8,1,0,mahalanobis
67.jpeg,degenerate,0,0,0,0,,,,0,0,,,0,0,0,mahalanobis
68.jpeg,ok,8,21,1,120,312.6,177.6,359.5,69,51,1.2771,0.5343,8,0,0,mahalanobis
78.jpeg,degenerate,5,1,0,0,,,,0,0,,,0,0,0,mahalanobis
82.jpeg,ok,5,3,1,10,166.3,43.5,171.9,7,3,1.2573,0.9157,5,0,0,mahalanobis
88.png,ok,7,15,2,49,1410.5,266.7,1435.5,25,24,1.3042,1.0378,14,2,0,mahalanobis
90.png,ok,9,15,2,76,1411.6,239.0,1431.7,40,36,1.2972,0.9822,17,6,0,mahalanobis
91.png,ok,9,15,1,68,1207.1,270.7,1237.1,36,32,1.3382,0.809,9,0,0,mahalanobis
101.png,ok,10,10,1,47,1062.6,472.5,1162.9,28,19,1.2297,0.756,10,1,0,mahalanobis
102.png,ok,9,18,2,77,1180.8,318.3,1222.9,38,39,1.28,0.8696,17,1,0,mahalanobis
103.jpeg,ok,8,14,1,52,126.2,43.1,133.4,28,24,1.3108,0.7389,7,0,1,mahalanobis
104.jpeg,ok,7,17,1,69,139.2,51.6,148.4,39,30,1.311,0.6469,7,0,0,mahalanobis
105.png,ok,9,17,2,74,940.5,447.3,1041.4,43,31,1.2801,0.8735,17,1,0,mahalanobis
106.png,ok,10,2,1,17,351.1,674.4,760.3,10,7,1.3289,1.2739,10,3,0,mahalanobis
107.png,ok,10,9,1,50,1128.1,447.3,1213.6,29,21,1.29,0.7063,9,0,1,mahalanobis
108.jpeg,ok,10,11,1,62,435.4,190.0,475.1,31,31,1.2136,0.8021,10,1,0,mahalanobis
109.jpeg,ok,8,9,1,37,322.9,130.5,348.3,18,19,1.2658,0.8411,8,2,0,mahalanobis
110.jpeg,ok,3,6,2,12,409.7,48.5,412.5,6,6,1.2349,0.865,6,0,0,mahalanobis
111.jpeg,degenerate,2,1,0,0,,,,0,0,,,0,0,0,mahalanobis
112.jpeg,degenerate,2,1,0,0,,,,0,0,,,0,0,0,mahalanobis
113.jpeg,ok,8,35,3,145,664.0,139.3,678.5,76,69,1.2782,0.5912,17,0,0,mahalanobis
114.jpeg,ok,8,33,2,131,725.9,143.7,739.9,70,61,1.2703,0.589,16,0,0,mahalanobis
115.png,ok,9,9,1,36,750.5,308.2,811.3,18,18,1.2167,0.7268,8,1,1,mahalanobis
116.jpeg,ok,7,18,2,66,686.8,143.6,701.7,35,31,1.3469,1.0254,14,0,0,mahalanobis
117.jpeg,ok,6,4,1,10,675.9,89.5,681.8,7,3,1.2753,1.1596,6,2,0,mahalanobis
118.jpeg,ok,7,20,2,59,657.5,85.2,663.0,27,32,1.2897,0.949,12,3,1,mahalanobis
119.jpeg,ok,6,20,2,43,724.9,84.7,729.9,21,22,1.2789,0.9408,11,2,0,mahalanobis
120.jpeg,ok,27,43,1,668,437.6,413.6,602.1,338,330,1.3507,0.8773,26,2,1,mahalanobis
121.jpeg,ok,9,18,2,100,492.1,123.1,507.3,61,39,1.2269,0.8866,16,2,1,mahalanobis
201.jpeg,ok,6,16,2,48,815.1,132.4,825.7,26,22,1.2706,1.1362,12,2,0,mahalanobis
45_1.png,ok,8,15,1,58,1098.0,379.1,1161.6,36,22,1.3067,0.6716,8,0,0,mahalanobis
45_2.png,ok,7,6,1,27,1085.8,493.1,1192.5,15,12,1.3105,1.04,7,2,0,mahalanobis
