image_id,n_pairs,above_mean,at_or_below_mean,pct_above
110.jpeg,18,12,6,66.7
106.png,20,13,7,65.0
90.png,135,78,57,57.8
8.png,48,27,21,56.2
41.png,35,19,16,54.3
4.png,235,126,109,53.6
82.jpeg,15,8,7,53.3
6.png,36,19,17,52.8
63.png,220,116,104,52.7
57.jpeg,40,21,19,52.5
59.png,252,132,120,52.4
61.png,220,115,105,52.3
42.png,104,54,50,51.9
26.png,49,25,24,51.0
2.png,96,49,47,51.0
51.png,128,65,63,50.8
45_1.png,120,61,59,50.8
88.png,105,53,52,50.5
1.png,20,10,10,50.0
107.png,90,45,45,50.0
35.jpeg,4,2,2,50.0
104.jpeg,119,59,60,49.6
53.png,136,67,69,49.3
113.jpeg,280,138,142,49.3
116.jpeg,126,62,64,49.2
103.jpeg,112,55,57,49.1
27.png,144,70,74,48.6
114.jpeg,264,128,136,48.5
119.jpeg,120,58,62,48.3
20.png,1176,567,609,48.2
68.jpeg,168,81,87,48.2
201.jpeg,96,46,50,47.9
105.png,153,71,82,46.4
33.png,312,144,168,46.2
101.png,100,46,54,46.0
91.png,135,62,73,45.9
118.jpeg,140,64,76,45.7
108.jpeg,110,50,60,45.5
64.png,64,29,35,45.3
45_2.png,42,19,23,45.2
115.png,81,36,45,44.4
109.jpeg,72,32,40,44.4
30.png,144,63,81,43.8
12.png,119,52,67,43.7
34.png,880,384,496,43.6
17.png,28,12,16,42.9
102.png,162,69,93,42.6
120.jpeg,1161,490,671,42.2
117.jpeg,24,10,14,41.7
121.jpeg,162,65,97,40.1
9.jpeg,9,3,6,33.3
56.jpeg,16,4,12,25.0
