image_id,nutrient,gold_value,detected,below,above,category
1.png,magnesiumgesamt,400.0,1,1,1,A_recovered_below
1.png,magnesiumsalzedercitronensaure,420.0,1,0,1,B_only_above
1.png,magnesiumoxid,400.0,1,1,1,A_recovered_below
1.png,magnesiumbisglycinat,350.0,1,1,1,A_recovered_below
1.png,magnesiummalat,333.0,1,0,1,B_only_above
101.png,energy,1625.0,1,1,0,A_recovered_below
101.png,energy,383.0,1,1,0,A_recovered_below
101.png,fat,0.8,1,0,1,B_only_above
101.png,saturatedfats,0.1,1,1,1,A_recovered_below
101.png,carbohydrate,86.1,1,1,0,A_recovered_below
101.png,sugars,8.9,1,1,0,A_recovered_below
101.png,fibre,3.0,1,1,0,A_recovered_below
101.png,protein,6.3,1,0,1,B_only_above
101.png,salt,0.09,1,0,1,B_only_above
101.png,vitaminb1,0.44,0,0,0,D_not_detected_DROP
101.png,sodium,36.0,1,1,0,A_recovered_below
102.png,energy,1502.0,1,1,0,A_recovered_below
102.png,energy,356.0,1,1,0,A_recovered_below
102.png,fat,7.7,1,1,0,A_recovered_below
102.png,saturatedfats,1.1,1,1,0,A_recovered_below
102.png,carbohydrate,63.0,1,1,0,A_recovered_below
102.png,sugars,31.0,1,1,0,A_recovered_below
102.png,fibre,5.1,1,1,0,A_recovered_below
102.png,protein,5.9,1,1,0,A_recovered_below
102.png,salt,0.14,1,1,0,A_recovered_below
102.png,energy,188.0,1,0,0,C_detected_unmatched
102.png,energy,45.0,1,0,0,C_detected_unmatched
102.png,fat,1.0,1,0,0,C_detected_unmatched
102.png,saturatedfats,0.1,1,0,1,B_only_above
102.png,carbohydrate,7.9,1,0,0,C_detected_unmatched
102.png,sugars,3.9,1,0,0,C_detected_unmatched
102.png,fibre,0.6,1,0,0,C_detected_unmatched
102.png,protein,0.7,1,0,0,C_detected_unmatched
102.png,salt,0.02,1,0,0,C_detected_unmatched
103.jpeg,energy,1383.0,1,1,0,A_recovered_below
103.jpeg,energy,328.0,1,1,0,A_recovered_below
103.jpeg,fat,3.7,1,1,0,A_recovered_below
103.jpeg,saturatedfats,0.4,1,1,0,A_recovered_below
103.jpeg,carbohydrate,51.0,1,1,0,A_recovered_below
103.jpeg,sugars,51.0,1,1,0,A_recovered_below
103.jpeg,fibre,16.0,1,1,0,A_recovered_below
103.jpeg,protein,7.7,1,1,0,A_recovered_below
103.jpeg,salt,0.0,0,0,0,D_not_detected_DROP
103.jpeg,energy,166.0,0,0,0,D_not_detected_DROP
103.jpeg,energy,39.0,1,0,1,B_only_above
103.jpeg,fat,0.4,1,1,0,A_recovered_below
103.jpeg,saturatedfats,0.0,0,0,0,D_not_detected_DROP
103.jpeg,carbohydrate,6.1,1,0,1,B_only_above
103.jpeg,sugars,6.1,1,0,1,B_only_above
103.jpeg,fibre,1.9,1,0,1,B_only_above
103.jpeg,protein,0.9,0,0,0,D_not_detected_DROP
103.jpeg,salt,0.0,0,0,0,D_not_detected_DROP
104.jpeg,energy,1528.0,1,1,0,A_recovered_below
104.jpeg,energy,361.0,1,1,0,A_recovered_below
104.jpeg,fat,2.6,1,1,0,A_recovered_below
104.jpeg,saturatedfats,0.6,1,1,0,A_recovered_below
104.jpeg,carbohydrate,72.0,1,1,0,A_recovered_below
104.jpeg,sugars,72.0,1,1,0,A_recovered_below
104.jpeg,fibre,10.0,1,1,1,A_recovered_below
104.jpeg,protein,3.2,1,0,0,C_detected_unmatched
104.jpeg,salt,0.1,1,1,0,A_recovered_below
104.jpeg,energy,214.0,0,0,0,D_not_detected_DROP
104.jpeg,energy,51.0,1,0,1,B_only_above
104.jpeg,fat,0.0,1,0,1,B_only_above
104.jpeg,saturatedfats,0.0,1,0,1,B_only_above
104.jpeg,carbohydrate,10.0,1,1,1,A_recovered_below
104.jpeg,sugars,10.0,1,1,1,A_recovered_below
104.jpeg,fibre,1.4,1,0,1,B_only_above
104.jpeg,protein,0.0,1,0,0,C_detected_unmatched
104.jpeg,salt,0.0,1,0,1,B_only_above
105.png,energy,1320.0,1,1,0,A_recovered_below
105.png,energy,313.0,1,1,0,A_recovered_below
105.png,fat,2.7,1,1,0,A_recovered_below
105.png,saturatedfats,0.4,1,1,0,A_recovered_below
105.png,carbohydrate,52.1,0,0,0,D_not_detected_DROP
105.png,sugars,51.4,1,1,0,A_recovered_below
105.png,fibre,15.5,1,1,0,A_recovered_below
105.png,protein,7.0,1,1,0,A_recovered_below
105.png,salt,0.03,1,1,0,A_recovered_below
105.png,energy,158.0,1,0,0,C_detected_unmatched
105.png,energy,38.0,1,0,1,B_only_above
105.png,fat,0.3,1,0,1,B_only_above
105.png,saturatedfats,0.0,1,0,1,B_only_above
105.png,carbohydrate,6.3,1,0,0,C_detected_unmatched
105.png,sugars,6.2,1,0,0,C_detected_unmatched
105.png,fibre,1.9,1,0,0,C_detected_unmatched
105.png,protein,0.8,1,0,0,C_detected_unmatched
105.png,salt,0.0,1,0,0,C_detected_unmatched
106.png,vitamine,12.0,1,1,1,A_recovered_below
106.png,magnesium,250.0,1,1,0,A_recovered_below
107.png,vitaminb1,1.1,1,1,0,A_recovered_below
107.png,vitaminb2,1.4,1,1,0,A_recovered_below
107.png,vitaminb6,1.4,1,1,0,A_recovered_below
107.png,vitaminb12,2.5,0,0,0,D_not_detected_DROP
107.png,vitaminc,80.0,1,1,0,A_recovered_below
107.png,vitamine,12.0,1,1,0,A_recovered_below
107.png,niacin,16.0,1,1,0,A_recovered_below
107.png,biotin,50.0,1,0,1,B_only_above
