image_id,degenerate,gt_numeric,below_hit,above_hit,any_hit,recall_below_pct,below_trip,above_trip
1.png,False,5,3,5,5,60.0,0,0
2.png,False,16,11,9,14,68.8,0,0
4.png,False,8,5,4,5,62.5,0,0
6.png,False,6,4,2,6,66.7,0,0
8.png,False,18,2,2,4,11.1,0,0
9.jpeg,False,4,2,1,3,50.0,0,0
12.png,False,16,8,4,10,50.0,0,0
15.png,True,42,0,0,0,0.0,0,0
17.png,False,4,4,0,4,100.0,0,0
20.png,False,48,20,10,27,41.7,0,0
26.png,False,8,0,2,2,0.0,0,0
27.png,False,13,12,0,12,92.3,1,0
30.png,False,18,9,9,18,50.0,0,0
33.png,False,26,14,14,22,53.8,0,0
34.png,False,40,40,9,40,100.0,0,0
35.jpeg,False,4,1,1,2,25.0,0,0
41.png,False,8,3,3,4,37.5,0,0
42.png,False,18,11,10,16,61.1,0,0
51.png,False,18,7,5,10,38.9,0,0
53.png,False,18,6,8,12,33.3,0,0
56.jpeg,False,10,2,0,2,20.0,0,0
57.jpeg,False,10,1,2,3,10.0,0,1
59.png,False,28,12,10,20,42.9,1,1
61.png,False,22,13,13,22,59.1,0,0
63.png,False,22,13,12,21,59.1,0,0
64.png,False,8,5,3,8,62.5,0,0
67.jpeg,True,4,0,0,0,0.0,0,0
68.jpeg,False,34,0,0,0,0.0,0,0
78.jpeg,True,2,0,0,0,0.0,0,0
82.jpeg,False,12,0,1,1,0.0,0,0
88.png,False,16,4,5,9,25.0,0,0
90.png,False,17,9,10,14,52.9,0,0
91.png,False,16,7,5,12,43.8,0,0
101.png,False,11,7,4,10,63.6,0,0
102.png,False,18,9,1,10,50.0,0,0
103.jpeg,False,18,9,4,13,50.0,0,0
104.jpeg,False,18,10,8,15,55.6,0,0
105.png,False,18,8,3,11,44.4,0,0
106.png,False,2,2,1,2,100.0,0,0
107.png,False,10,7,1,8,70.0,0,0
108.jpeg,False,11,7,0,7,63.6,0,0
109.jpeg,False,9,7,3,9,77.8,0,0
110.jpeg,False,6,3,3,6,50.0,0,0
111.jpeg,True,1,0,0,0,0.0,0,0
112.jpeg,True,1,0,0,0,0.0,0,0
113.jpeg,False,20,8,9,17,40.0,0,0
114.jpeg,False,20,10,8,17,50.0,0,0
115.png,False,9,2,1,3,22.2,0,0
116.jpeg,False,18,8,11,16,44.4,0,0
117.jpeg,False,9,1,3,4,11.1,0,0
118.jpeg,False,20,1,1,2,5.0,0,0
119.jpeg,False,20,0,2,2,0.0,0,0
120.jpeg,False,26,19,4,19,73.1,0,0
121.jpeg,False,20,3,10,13,15.0,0,0
201.jpeg,False,16,4,5,8,25.0,0,0
45_1.png,False,18,11,10,14,61.1,0,0
45_2.png,False,8,2,4,6,25.0,0,0
