image_id,n_below,below_real,below_real_pct,below_triplet,n_above,above_real,above_real_pct,above_triplet
1.png,3,2,66.7,0,8,6,75.0,0
2.png,28,8,28.6,0,32,8,25.0,0
4.png,67,16,23.9,0,72,12,16.7,0
6.png,11,4,36.4,0,10,2,20.0,0
8.png,9,2,22.2,0,13,2,15.4,0
9.jpeg,5,3,60.0,0,3,2,66.7,0
12.png,32,11,34.4,0,32,4,12.5,0
17.png,10,4,40.0,0,9,0,0.0,0
20.png,252,29,11.5,0,349,12,3.4,0
26.png,11,0,0.0,0,12,2,16.7,0
27.png,47,12,25.5,1,41,0,0.0,0
30.png,32,10,31.2,0,42,9,21.4,0
33.png,66,14,21.2,0,106,16,15.1,0
34.png,206,50,24.3,0,236,8,3.4,0
35.jpeg,2,1,50.0,0,1,1,100.0,0
41.png,11,3,27.3,0,11,4,36.4,0
42.png,16,8,50.0,0,33,11,33.3,0
51.png,39,7,17.9,0,41,5,12.2,0
53.png,36,6,16.7,0,44,8,18.2,0
56.jpeg,5,2,40.0,0,5,0,0.0,0
57.jpeg,10,1,10.0,0,12,2,16.7,1
59.png,59,13,22.0,1,65,11,16.9,1
61.png,58,11,19.0,0,54,13,24.1,0
63.png,57,11,19.3,0,55,12,21.8,0
64.png,13,6,46.2,0,23,3,13.0,0
68.jpeg,51,0,0.0,0,69,0,0.0,0
82.jpeg,3,0,0.0,0,7,1,14.3,0
88.png,24,5,20.8,0,25,6,24.0,0
90.png,36,16,44.4,0,40,20,50.0,0
91.png,32,8,25.0,0,36,6,16.7,0
101.png,19,7,36.8,0,28,4,14.3,0
102.png,39,9,23.1,0,38,1,2.6,0
103.jpeg,24,10,41.7,0,28,5,17.9,0
104.jpeg,30,13,43.3,0,39,10,25.6,0
105.png,31,8,25.8,0,43,4,9.3,0
106.png,7,5,71.4,0,10,2,20.0,0
107.png,21,8,38.1,0,29,1,3.4,0
108.jpeg,31,8,25.8,0,31,0,0.0,0
109.jpeg,19,7,36.8,0,18,3,16.7,0
110.jpeg,6,3,50.0,0,6,3,50.0,0
113.jpeg,69,8,11.6,0,76,9,11.8,0
114.jpeg,61,10,16.4,0,70,10,14.3,0
115.png,18,2,11.1,0,18,1,5.6,0
116.jpeg,31,11,35.5,0,35,14,40.0,0
117.jpeg,3,1,33.3,0,7,3,42.9,0
118.jpeg,32,1,3.1,0,27,1,3.7,0
119.jpeg,22,0,0.0,0,21,2,9.5,0
120.jpeg,330,24,7.3,0,338,6,1.8,0
121.jpeg,39,3,7.7,0,61,10,16.4,0
201.jpeg,22,4,18.2,0,26,6,23.1,0
45_1.png,22,9,40.9,0,36,14,38.9,0
45_2.png,12,2,16.7,0,15,3,20.0,0
