image_id,gt_nutrient,pred_nutrient,gt_qty,pred_qty,gt_unit,pred_unit,gt_context,pred_context,qty_match,unit_match,ctx_match,full_match
1.jpeg,Magnesium (gesamt),Magnesium,400,400,mg,mg,per_daily_dose,,True,True,False,True
101.jpeg,Energie,Energie,1625,,kJ,,per_100g,,False,False,False,False
101.jpeg,Fett,Fett,0.8,0.89,g,,per_100g,,False,False,False,False
101.jpeg,Kohlenhydrate,Kohlenhydrate,86.1,86.19,g,,per_100g,,False,False,False,False
101.jpeg,- davon Zucker,davon Zucker,8.9,86.19,g,,per_100g,,False,False,False,False
101.jpeg,Ballaststoffe,Ballaststoffe,3.0,3.09,g,,per_100g,,False,False,False,False
101.jpeg,Eiweiß,Eiweiß,6.3,6.39,g,,per_100g,,False,False,False,False
101.jpeg,Salz,Salz,0.09,0.099,g,,per_100g,,False,False,False,False
101.jpeg,Thiamin,Thiamin,0.44,,mg,,per_100g,,False,False,False,False
101.jpeg,Natrium,Natrium,36,36,mg,mg,per_100g,,True,True,False,True
102.jpeg,Energie,Energie,1502,7.79,kJ,,per_100g,,False,False,False,False
102.jpeg,Energie,Energie,356,1.09,kcal,,per_100g,,False,False,False,False
102.jpeg,Fett,Fett,7.7,0.19,g,g,per_100g,,False,True,False,False
102.jpeg,Fett,Fett,1.0,1.19,g,g,per_serving,,False,True,False,False
102.jpeg,- davon gesättigte Fettsäuren,davon gesättigte,1.1,0.19,g,g,per_100g,Je 100g,False,True,True,False
102.jpeg,- davon gesättigte Fettsäuren,davon gesättigte,0.1,1.19,g,g,per_serving,Je 100g,False,True,False,False
102.jpeg,Kohlenhydrate,Kohlenhydrate,63,5.19,g,g,per_100g,Je 100g,False,True,True,False
102.jpeg,Kohlenhydrate,Kohlenhydrate,7.9,0.69,g,g,per_serving,Je 100g,False,True,False,False
102.jpeg,- davon Zucker,davon Zucker,31,5.19,g,g,per_100g,Je 100g,False,True,True,False
102.jpeg,- davon Zucker,davon Zucker,3.9,0.69,g,g,per_serving,Je 100g,False,True,False,False
102.jpeg,Ballaststoffe,Ballaststoffe,5.1,5.19,g,,per_100g,Je 100g,False,False,True,False
102.jpeg,Ballaststoffe,Ballaststoffe,0.6,0.69,g,,per_serving,Je 100g,False,False,False,False
102.jpeg,Eiweiß,Eiweiß,5.9,5.19,g,,per_100g,,False,False,False,False
102.jpeg,Eiweiß,Eiweiß,0.7,0.149,g,,per_serving,,False,False,False,False
102.jpeg,Salz,Salz,0.14,0.149,g,,per_100g,,False,False,False,False
102.jpeg,Salz,Salz,0.02,0.029,g,,per_serving,,False,False,False,False
103.jpeg,Energie,Energie,1383,129,kJ,kcal,per_100g,,False,False,False,False
103.jpeg,Energie,Energie,328,0.49,kcal,kcal,per_100g,,False,True,False,False
103.jpeg,Fett,Fett,3.7,0.49,g,kcal,per_100g,,False,False,False,False
103.jpeg,Fett,Fett,0.4,328,g,kcal,per_serving,,False,False,False,False
103.jpeg,davon gesättigte Fettsäuren,Fettsäuren,0.4,6.1,g,g,per_100g,,False,True,False,False
103.jpeg,davon gesättigte Fettsäuren,Fettsäuren,0,519,g,g,per_serving,,False,True,False,False
103.jpeg,Kohlenhydrate,Kohlenhydrate,51,6.19,g,g,per_100g,,False,True,False,False
103.jpeg,Kohlenhydrate,Kohlenhydrate,6.1,6.1,g,g,per_serving,,True,True,False,True
103.jpeg,davon Zucker,davon Zucker,51,6.19,g,g,per_100g,,False,True,False,False
103.jpeg,davon Zucker,davon Zucker,6.1,169,g,g,per_serving,,False,True,False,False
103.jpeg,Ballaststoffe,Ballaststoffe,16,6.19,g,g,per_100g,,False,True,False,False
103.jpeg,Ballaststoffe,Ballaststoffe,1.9,169,g,g,per_serving,,False,True,False,False
103.jpeg,Eiweiß,Eiweiß,7.7,169,g,g,per_100g,,False,True,False,False
103.jpeg,Eiweiß,Eiweiß,0.9,0.99,g,g,per_serving,,False,True,False,False
103.jpeg,Salz,Salz,0,0.99,g,g,per_100g,,False,True,False,False
103.jpeg,Salz,Salz,0,7.7,g,g,per_serving,,False,True,False,False
104.jpeg,Energie,Energie,1528,361,kJ,kcal,per_100g,,False,False,False,False
104.jpeg,Energie,Energie,361,1009,kcal,kcal,per_100g,,False,True,False,False
104.jpeg,Fett,Fett,2.6,361,g,kcal,per_100g,,False,False,False,False
104.jpeg,Fett,Fett,0,2.69,g,kcal,per_serving,,False,False,False,False
104.jpeg,davon gesättigte Fettsäuren,Fettsäuren,0.6,729,g,g,per_100g,,False,True,False,False
104.jpeg,davon gesättigte Fettsäuren,Fettsäuren,0,0.69,g,kcal,per_serving,,False,False,False,False
104.jpeg,Kohlenhydrate,Kohlenhydrate,72,10,g,g,per_100g,,False,True,False,False
104.jpeg,Kohlenhydrate,Kohlenhydrate,10,729,g,g,per_serving,,False,True,False,False
104.jpeg,davon Zucker,davon Zucker,72,109,g,g,per_100g,,False,True,False,False
104.jpeg,davon Zucker,davon Zucker,10,10,g,g,per_serving,,True,True,False,True
104.jpeg,Ballaststoffe,Ballaststoffe,10,3.29,g,g,per_100g,,False,True,False,False
104.jpeg,Ballaststoffe,Ballaststoffe,1.4,109,g,g,per_serving,,False,True,False,False
104.jpeg,Eiweiß,Eiweiß,3.2,3.29,g,g,per_100g,,False,True,False,False
104.jpeg,Eiweiß,Eiweiß,0,109,g,g,per_serving,,False,True,False,False
104.jpeg,Salz,Salz,0.1,3.29,g,g,per_100g,,False,True,False,False
104.jpeg,Salz,Salz,0,0.1,g,g,per_serving,,False,True,False,False
105.jpeg,Kohlenhydrate,Kohlenhydrate,52.1,6.29,g,g,per_100g,Je 700g,False,True,False,False
105.jpeg,Kohlenhydrate,Kohlenhydrate,6.3,1.9,g,g,per_serving,Je 700g,False,True,False,False
105.jpeg,Ballaststoffe,Ballaststoffe,15.5,7.09,g,g,per_100g,Je 700g,False,True,False,False
105.jpeg,Ballaststoffe,Ballaststoffe,1.9,1.9,g,g,per_serving,Je 700g,True,True,False,True
105.jpeg,Eiweiß,Eiweiß,7.0,7.09,g,g,per_100g,Je 700g,False,True,False,False
105.jpeg,Eiweiß,Eiweiß,0.8,1.9,g,g,per_serving,Je 700g,False,True,False,False
107.jpeg,Vitamin B1,Vitamin B1,1.1,1.109,mg,,per_serving,,False,False,False,False
107.jpeg,Vitamin E,Vitamin E,12,,mg α-TE,,per_serving,,False,False,False,False
107.jpeg,Biotin,Biotin,50,,µg,,per_serving,,False,False,False,False
107.jpeg,Pantothensäure,Pantothensäure,6,,mg,,per_serving,,False,False,False,False
108.jpeg,Magnesium,Magnesium,240,,mg,,per_serving,,False,False,False,False
108.jpeg,Biotin,Biotin,50,,µg,,per_serving,,False,False,False,False
108.jpeg,Pantothensäure,Pantothensäure,6.0,,mg,,per_serving,,False,False,False,False
109.jpeg,Fett,Fett,0,0,g,g,per_100g,,True,True,False,True
109.jpeg,- davon gesättigte Fettsäuren,Fettsäuren,0.2,0.29,g,g,per_100g,,False,True,False,False
109.jpeg,Kohlenhydrate,Kohlenhydrate,12.0,12.0,g,g,per_100g,,True,True,False,True
109.jpeg,- davon Zucker,davon Zucker,9.8,989,g,g,per_100g,,False,True,False,False
109.jpeg,Ballaststoffe,Ballaststoffe,1.5,159,g,g,per_100g,,False,True,False,False
109.jpeg,Eiweiß,Eiweiß,11.0,11.0,g,g,per_100g,,True,True,False,True
109.jpeg,Salz,Salz,0.05,0.05,g,g,per_100g,,True,True,False,True
110.jpeg,Niacin,Niacin,8.0,,mg NE,,per_serving,,False,False,False,False
110.jpeg,Pantothensäure,Pantothensäure,3.0,3.0,mg,mg,per_serving,,True,True,False,True
110.jpeg,Pantothensäure,Pantothensäure,6.0,6.0,mg,mg,per_serving,,True,True,False,True
111.jpeg,Vitamin B12,Vitamin B12,17.5,,µg,,per_daily_dose,,False,False,False,False
112.jpeg,Vitamin B12,Vitamin B12,17.5,,µg,,per_daily_dose,,False,False,False,False
113.jpeg,ENERGIE,Energie,1546,,kJ,,per_100g,,False,False,False,False
113.jpeg,FETT,FETT,4.5,4.5,g,g,per_100g,,True,True,False,True
113.jpeg,FETT,FETT,1.3,1.3,g,g,per_serving,,True,True,False,True
113.jpeg,FETT,DAVON GESÄTTIGTE Fettsäuren,5.1,16,g,g,per_serving,,False,True,False,False
113.jpeg,DAVON GESÄTTIGTE FETTSÄUREN,DAVON GESÄTTIGTE Fettsäuren,3.1,0.9,g,g,per_100g,,False,True,False,False
113.jpeg,KOHLENHYDRATE,Kohlenhydrate,7.7,2.3,g,g,per_100g,,False,True,False,False
113.jpeg,KOHLENHYDRATE,Kohlenhydrate,2.3,3.1,g,g,per_serving,,False,True,False,False
113.jpeg,BALLASTSTOFFE,Ballaststoffe,1.9,1.9,g,g,per_100g,,True,True,False,True
113.jpeg,BALLASTSTOFFE,Ballaststoffe,0.6,3.9,g,g,per_serving,,False,True,False,False
113.jpeg,EIWEIß,Eiweiß,72.7,44,g,g,per_100g,,False,True,False,False
113.jpeg,EIWEIß,Eiweiß,21.8,21.8,g,g,per_serving,,True,True,False,True
113.jpeg,KOFFEIN,KOFFEIN,267,80,mg,mg,per_100g,,False,True,False,False
114.jpeg,ENERGIE,Energie,1541,,kJ,,per_100g,,False,False,False,False
114.jpeg,FETT,FETT,4.8,4.8,g,g,per_100g,,True,True,False,True
114.jpeg,FETT,FETT,1.4,1.4,g,g,per_serving,,True,True,False,True
114.jpeg,DAVON GESÄTTIGTE FETTSÄUREN,DAVON GESÄTTIGTE Fettsäuren,3.3,1.0,g,g,per_100g,,False,True,False,False
114.jpeg,DAVON GESÄTTIGTE FETTSÄUREN,DAVON GESÄTTIGTE Fettsäuren,1.0,3.3,g,g,per_serving,,False,True,False,False
114.jpeg,KOHLENHYDRATE,Kohlenhydrate,8.8,8.8,g,g,per_100g,,True,True,False,True
114.jpeg,KOHLENHYDRATE,Kohlenhydrate,2.6,2.6,g,g,per_serving,,True,True,False,True
114.jpeg,DAVON ZUCKER,DAVON ZUCKER,4.1,1.2,g,g,per_100g,,False,True,False,False
114.jpeg,DAVON ZUCKER,DAVON ZUCKER,1.2,4.18,g,g,per_serving,,False,True,False,False
114.jpeg,BALLASTSTOFFE,Ballaststoffe,2.8,42,g,g,per_100g,,False,True,False,False
114.jpeg,BALLASTSTOFFE,Ballaststoffe,0.9,2.8,g,g,per_serving,,False,True,False,False
114.jpeg,EIWEIß,Eiweiß,70.1,140,g,g,per_100g,,False,True,False,False
114.jpeg,EIWEIß,Eiweiß,21.0,70.1,g,g,per_serving,,False,True,False,False
114.jpeg,SALZ,SaLz,0.51,0.17,g,g,per_100g,,False,True,False,False
114.jpeg,SALZ,SaLz,0.17,0.51,g,g,per_serving,,False,True,False,False
114.jpeg,KOFFEIN,KOFFEIN,268,268,mg,mg,per_100g,,True,True,False,True
114.jpeg,KOFFEIN,KOFFEIN,80,80,mg,mg,per_serving,,True,True,False,True
115.jpeg,Fett,Fett,0,,g,,per_100g,,False,False,False,False
115.jpeg,- davon gesättigte Fettsäuren,Fettsäuren,0.2,12.09,g,,per_100g,,False,False,False,False
115.jpeg,Kohlenhydrate,Kohlenhydrate,12.0,10.09,g,,per_100g,,False,False,False,False
115.jpeg,Ballaststoffe,Ballaststoffe,1.6,11.09,g,,per_100g,,False,False,False,False
115.jpeg,Eiweiß,Eiweiß,11.0,0.059,g,,per_100g,,False,False,False,False
115.jpeg,Salz,Salz,0.05,,g,,per_100g,,False,False,False,False
116.jpeg,ENERGIE,Energie kJ/kcal,1696,,kJ,,per_100g,,False,False,False,False
116.jpeg,FETT,Fett,12.0,12.0,g,g,per_100g,,True,True,False,True
116.jpeg,FETT,Fett,3.5,3.5,g,g,per_serving,,True,True,False,True
116.jpeg,- DAVON GESÄTTIGTE FETTSÄUREN,DAVON GESÄTTIGTE,1.4,1.4,g,g,per_100g,,True,True,False,True
116.jpeg,- DAVON GESÄTTIGTE FETTSÄUREN,DAVON GESÄTTIGTE,0.4,0.4,g,g,per_serving,,True,True,False,True
116.jpeg,KOHLENHYDRATE,Kohlenhydrate,27.0,27.0,g,g,per_100g,,True,True,False,True
116.jpeg,KOHLENHYDRATE,Kohlenhydrate,8.2,8.2,g,g,per_serving,,True,True,False,True
116.jpeg,- DAVON ZUCKER,DAVON ZUCKER,4.6,1.4,g,g,per_100g,,False,True,False,False
116.jpeg,- DAVON ZUCKER,DAVON ZUCKER,1.4,4.6,g,g,per_serving,,False,True,False,False
116.jpeg,BALLASTSTOFFE,Ballaststoffe,12.0,12.0,g,g,per_100g,,True,True,False,True
116.jpeg,BALLASTSTOFFE,Ballaststoffe,3.7,3.7,g,g,per_serving,,True,True,False,True
116.jpeg,EIWEIß,Eiweiß,41.0,12.0,g,g,per_100g,,False,True,False,False
116.jpeg,EIWEIß,Eiweiß,12.0,41.0,g,g,per_serving,,False,True,False,False
116.jpeg,SALZ,SALZ,2.02,0.61,g,g,per_100g,,False,True,False,False
116.jpeg,SALZ,SALZ,0.61,2.02,g,g,per_serving,,False,True,False,False
117.jpeg,ENERGIE,ENERGIEkJ /kcal,1617,,kJ,,per_100g,,False,False,False,False
117.jpeg,FETT,FETT,13.6,61,g,g,per_100g,,False,True,False,False
117.jpeg,FETT,DAVON GESÄTTIGTE Fettsäuren,6.1,158,g,g,per_serving,,False,True,False,False
117.jpeg,KOHLENHYDRATE,Kohlenhydrate,37.1,1618,g,g,per_100g,,False,True,False,False
117.jpeg,- DAVON ZUCKER,DAVON ZUCKER,30.1,13.58,g,,per_100g,,False,False,False,False
117.jpeg,BALLASTSTOFFE,Ballaststoffe,9.0,40;,g,,per_100g,,False,False,False,False
117.jpeg,EIWEIß,Eiweiß,24.5,11.08,g,,per_100g,,False,False,False,False
117.jpeg,SALZ,SALZ,0.10,0.048,g,,per_100g,,False,False,False,False
118.jpeg,ENERGIE,ENERGIEkJIkcal,1440,108,kJ,,per_100g,,False,False,False,False
118.jpeg,ENERGIE,ENERGIEkJIkcal,344,806,kcal,,per_100g,,False,False,False,False
118.jpeg,FETT,Fett,10,388,g,g,per_100g,,False,True,False,False
118.jpeg,FETT,Fett,8.0,48,g,g,per_serving,,False,True,False,False
118.jpeg,- DAVON GESÄTTIGTE FETTSÄUREN,Fettsäuren,2.6,48,g,g,per_100g,,False,True,False,False
118.jpeg,- DAVON GESÄTTIGTE FETTSÄUREN,Fettsäuren,2.1,2.68,g,g,per_serving,,False,True,False,False
118.jpeg,KOHLENHYDRATE,Kohlenhydrate,48,4.08,g,g,per_100g,,False,True,False,False
118.jpeg,KOHLENHYDRATE,Kohlenhydrate,38,3.28,g,,per_serving,,False,False,False,False
118.jpeg,BALLASTSTOFFE,Ballaststoffe,3.0,248,g,,per_100g,,False,False,False,False
118.jpeg,BALLASTSTOFFE,Ballaststoffe,2.4,198,g,,per_serving,,False,False,False,False
118.jpeg,EIWEIß,Eiweiß,24,0.70,g,g,per_100g,,False,True,False,False
118.jpeg,EIWEIß,Eiweiß,19,0.568,g,g,per_serving,,False,True,False,False
118.jpeg,SALZ,SALZ,0.70,,g,,per_100g,,False,False,False,False
119.jpeg,FETT,DAYONGESÄTTIGTE Fettsäuren,11,388,g,g,per_100g,,False,True,False,False
119.jpeg,FETT,DAYONGESÄTTIGTE Fettsäuren,8.4,47,g,g,per_serving,,False,True,False,False
119.jpeg,KOHLENHYDRATE,Kohlenhydrate,47,32,g,g,per_100g,,False,True,False,False
119.jpeg,KOHLENHYDRATE,Kohlenhydrate,38,406,g,g,per_serving,,False,True,False,False
119.jpeg,BALLASTSTOFFE,Ballaststoffe,4.5,248,g,,per_100g,,False,False,False,False
120.jpeg,INOSITOL,INOSITOL,100,100,mg,mg,per_serving,,True,True,False,True
120.jpeg,CHOLIN,CHOLIN,20,20,mg,mg,per_serving,,True,True,False,True
120.jpeg,RUTIN,RUTIN,20,20,mg,mg,per_serving,,True,True,False,True
120.jpeg,VITAMIN C,Vitamin C,250,313,mg,mg,per_serving,,False,True,False,False
120.jpeg,NIACIN,Niacin,16,16,mg,mg,per_serving,,True,True,False,True
120.jpeg,VITAMIN E,Vitamin E,30,250,mg,mg,per_serving,,False,True,False,False
120.jpeg,PANTOTHENSÄURE,PANTOTHENSÄURE,5,83,mg,mg,per_serving,,False,True,False,False
120.jpeg,VITAMIN B6,Vitamin B6,0.9,64,mg,mg,per_serving,,False,True,False,False
