image_id,nutrient,quantity,unit,context,nrv_percent,serving_size
3.jpeg,Kalumciuat,,,,,
3.jpeg,de potassium _,,,,,
3.jpeg,acid,,,,,
3.jpeg,und/et/and fructose,,,,,
3.jpeg,Quelle von /source de/of glucose,,,,,
3.jpeg,Kalium /potassium,837,,Per Tube (70g): Natrium /sodium,,
3.jpeg,Kalium /potassium,1195,,Per Tube (70g): Natrium /sodium,28,
3.jpeg,Kalium /potassium,7696,,Per Tube (70g): Natrium /sodium,,
3.jpeg,Fettsäuren,,,,,
3.jpeg,Saturates,,,,,
3.jpeg,carbohydrates,,,,,
3.jpeg,Zuckerarten of which_suqars,,,,,
3.jpeg,SalzIsalt,0.43,g,,,
3.jpeg,antioxydant,,,,,
3.jpeg,ascorbinue,,,,,
3.jpeg,Energiel,7696,,,,
3.jpeg,davon,,,,,
3.jpeg,Kohlenhydrate,,,,,
