image_id,nutrient,quantity,unit,context,nrv_percent,serving_size
1.jpeg,Energiestollwechseln,,,,,
2.jpeg,Fructosehaltiger,,,,,
2.jpeg,mittel Ascorbinsaure,,,,,
2.jpeg,de/of glucose,,,,,
2.jpeg,Kalium /potassium,837 (19,,Per Tube (70g|: Natrium /sodium,,
2.jpeg,Fettsäuren,,,,,
2.jpeg,saturates,70,g,,,
2.jpeg,carbohydrates,70,g,,,
2.jpeg,carbohydrates,259,,,,
2.jpeg,Zuckerarten of which suqars,70,g,,,
2.jpeg,Zuckerarten of which suqars,259,,,,
2.jpeg,Energie,,,,,
2.jpeg,davon,70,g,,,
2.jpeg,davon,0.30,g,,,
2.jpeg,davon,259,,,,
9.jpeg,Vitamin,,,,,
17.jpeg,VItamin 012,,,,,
33.jpeg,Glucosequello,,,,,
33.jpeg,drink powder with carbohydrates and clectrolytes; lamon-orange fiavourd,,,,,
33.jpeg,"sucrose, Waxy ma ze starch hydrolysata (VITARGO",,,,,
34.jpeg,Slow Release Carbohydrate TrainIng MIx with,,,,,
34.jpeg,"sodium citrate , calclum citrate, potasslum",804,,,,
34.jpeg,citrate,,,,,
34.jpeg,"calcium lactate, magnesium cltrate , zinc",,,,,
34.jpeg,"citrate) , resistant doxtrin, natural llavouring",,,,,
34.jpeg,"vitamin mlx (C, 83, 85, B6",,,,,
35.jpeg,Vitamin € Lutsch-,,,,,
35.jpeg,talettenutschtabletten gecken mehr als 50% des Tagesbedarfs an Magnesium,4.79,,,,
35.jpeg,; Tagesbedarfs an Vitamin €,4.79,,,,
35.jpeg,; Tagesbedarfs an Vitamin €,2.1,,,,
35.jpeg,Magnesium _,126 %,,,126,
35.jpeg,Magnesium _,2.1,,,,
35.jpeg,Magnesium _,100.8,mg,,,
35.jpeg,Vitamin €,126 %,,,126,
35.jpeg,Vitamin €,2.1,,,,
35.jpeg,Vitamin €,100.8,mg,,,
35.jpeg,Sorbit; Magnesiumcarbonat ; Ascorbinsäuree Säue-,,,,,
35.jpeg,Magnesiumsalze von Speisefettsäu-,,,,,
35.jpeg,rfMaltodextrin; Enthält eine Phenylalaninquelle,,,,,
35.jpeg,fich scheldet der Korper Magnesium aus,,,,,
35.jpeg,Vitamin,,,,,
35.jpeg,und Vitamin €,,,,,
35.jpeg,chen Bedarf an Magnesium,,,,,
42.jpeg,ENERGIE,100,,,,
42.jpeg,FETT,,,,,
42.jpeg,DAVON ZUCKER,880,,,,
42.jpeg,SAlT,,,,,
42.jpeg,SALT,,,,,
45.jpeg,BOISSON CONTENANT DES GLUCIDES,,,,,
45.jpeg,ENERGIE,,,100g,,
45.jpeg,eNERGY,,,,,
45.jpeg,GRAISSES,,,,,
45.jpeg,FAT,,,,,
45.jpeg,KOHLENHYDRATE,,,100g,,
45.jpeg,SUGARS (0,,,,,
45.jpeg,PROTEIN,,,,,
45.jpeg,SEL,,,,,
45.jpeg,SALT,240,,,,
56.jpeg,Proteines,,,,,
56.jpeg,Energie _,383,kcal,,,
56.jpeg,Energie _,23,kcal,,,
56.jpeg,Glucides _,,,,,
61.jpeg,saturated,100,,,,
61.jpeg,Carbohydrates,100,,,,
61.jpeg,Carbohydrates,060,,,,
61.jpeg,salt,060,,,,
