image_id,nutrient,quantity,unit,context,nrv_percent,serving_size
1.jpeg,Magnesium,400,mg,,,
1.jpeg,Magnesiumbisglycinat,350,mg,,,
1.jpeg,Magnesiumbisglycinat,400,mg,,,
1.jpeg,Energiestollwechseln,,,,,
1.jpeg,Magnesium,,,,,
2.jpeg,Chloride,,,,,
2.jpeg,Kalium /potassium,1120,mg,Per Tube (70g|: Natrium /sodium,,
2.jpeg,Fettsäuren,,,,,
2.jpeg,saturates,70,g,,,
2.jpeg,saturates,50,g,,,
2.jpeg,Carbohydrate,70,g,,,
2.jpeg,Carbohydrate,50,g,,,
2.jpeg,Zuckerarten of which suqars,70,g,,,
2.jpeg,Zuckerarten of which suqars,50,g,,,
2.jpeg,Energie,,,,,
2.jpeg,Kohlenhydrate,70,g,,,
2.jpeg,Kohlenhydrate,50,g,,,
9.jpeg,Vitamin A,,,,,
17.jpeg,Vitamin B12,,,,,
20.jpeg,Magnesiumcitrat,,,,,
20.jpeg,Vitamin B12,,,,,
20.jpeg,Niacin,,,,,
33.jpeg,drink powder with carbohydrates and clectrolytes; lamon-orange fiavourd,,,,,
34.jpeg,Slow Release Carbohydrate TrainIng MIx with,,,,,
34.jpeg,Energy,,,,,
34.jpeg,"sodium citrate , Calcium citrate, potasslum",804,,,,
34.jpeg,"Calcium lactate, Magnesium cltrate , zinc",,,,,
34.jpeg,"Vitamin mlx (C, 83, 85, B6",,,,,
35.jpeg,Vitamin € Lutsch-,,,,,
35.jpeg,talettenutschtabletten gecken mehr als 50% des Tagesbedarfs an Magnesium,4.79,mg,,,
35.jpeg,; Tagesbedarfs an Vitamin €,4.79,mg,,,
35.jpeg,; Tagesbedarfs an Vitamin €,2.1,mg,,,
35.jpeg,Magnesium,126 %,mg,,126,
35.jpeg,Magnesium,2.1,mg,,,
35.jpeg,Vitamin A,126 %,mg,,126,
35.jpeg,Vitamin A,2.1,mg,,,
35.jpeg,Sorbit; Magnesiumcarbonat ; Ascorbinsäuree Säue-,,,,,
35.jpeg,Magnesiumsalze von Speisefettsäu-,,,,,
35.jpeg,rfMaltodextrin; Enthält eine Phenylalaninquelle,,,,,
35.jpeg,fich scheldet der Korper Magnesium aus,,,,,
35.jpeg,Vitamin A,,,,,
35.jpeg,und Vitamin €,,,,,
35.jpeg,chen Bedarf an Magnesium,,,,,
42.jpeg,Energie,100,,,,
42.jpeg,Energy,100,,,,
42.jpeg,FETT,,,,,
42.jpeg,Kohlenhydrate,880,,,,
42.jpeg,DAVON ZUCKER,880,,,,
42.jpeg,Protein,,,,,
42.jpeg,Protein,880,,,,
42.jpeg,SAlT,,,,,
42.jpeg,SALT,,,,,
45.jpeg,Kohlenhydrate,,,,,
45.jpeg,BOISSON CONTENANT DES GLUCIDES,,,,,
45.jpeg,Energie,100,g,,,
45.jpeg,eNERGY,100,g,,,
45.jpeg,GRAISSES,100,g,,,
45.jpeg,FAT,100,g,,,
45.jpeg,Kohlenhydrate,61.,,,,
45.jpeg,Sugars,61.,,,,
45.jpeg,PROTEIN,61.,,,,
45.jpeg,Protein,61.,,,,
45.jpeg,SEL,61.,,,,
45.jpeg,SALT,240,,,,
45.jpeg,Sodium,240,,,,
45.jpeg,Fibre,240,,,,
56.jpeg,Protein,,,,,
56.jpeg,Energie,383,kcal,,,
56.jpeg,Glucides _,,,,,
61.jpeg,Saturates,20,,,,
61.jpeg,Saturates,100,,,,
61.jpeg,Carbohydrate,20,,,,
61.jpeg,Carbohydrate,100,,,,
61.jpeg,Protein,20,mg,,,
61.jpeg,Protein,100,mg,,,
61.jpeg,salt,060,mg,,,
61.jpeg,salt,250,mg,,,
61.jpeg,Lutein,,,,,
